Date Purchased,Player,Year,Set,Category,Condition,Investment
2026-06-05,Gage Miller,2024,Bowman Chrome Draft 1st,Green Lava Auto /99,Raw,21.03
2026-06-04,Juan Flores,2024,Bowman Chrome 1st,Blue Reptilian Auto /150,Raw,23.35
2026-06-02,Ty Southisene,2024,Bowman Draft,Purple Refractor Auto /250,Raw,17.77
2026-06-01,Gino Groover,2024,Bowman,1st Bowman Auto,Raw,27.89
2026-05-29,Mitch Jebb,2024,Bowman Chrome,1st Auto,Raw,3.88
2026-05-23,Ethan Pecko,2025,Bowman Chrome,1st Auto,Raw,17.22
2026-05-21,Khal Stephen,2024,Bowman Chrome,1st Auto,Raw,26.09
2026-05-20,Brock Rodden,2023,Bowman Chrome Draft,1st Auto,Raw,10.32
2026-05-20,Gage Ziehl,2024,Bowman Draft,1st Auto,Raw,4.69
2026-05-20,Matt Wilkinson,2024,Bowman Chrome,1st Auto,Raw,29.29
2026-05-19,Herick Hernandez,2024,Bowman Draft,1st Auto,Raw,17.69
2026-05-19,Alimber Santa,2026,Bowman Chrome,Green Auto /99,Raw,6.88
2026-05-19,Andrew Pinckney,2023,Bowman Chrome 1st,Auto,Raw,7.89
2026-05-19,Jack Hurley,2023,Bowman Chrome,Blue 1st Auto /150,Raw,12.79
2026-05-19,Ethan O'Donnell,2023,Bowman Chrome,Purple 1st Auto /250,Raw,10.07
2026-05-19,Joshua Kuroda-Grauer,2024,Bowman Draft,1st Auto,Raw,32.64
2026-05-19,Cole Messina,2024,Bowman Draft,1st Auto,Raw,6.65
2026-05-19,Joe Whitman,2023,Bowman Draft,1st Auto,Raw,12.01
2026-05-19,Aaron Walton,2025,Bowman Chrome Draft,1st Auto,Raw,33.10
2026-05-18,Ethan Pecko,2025,Bowman Chrome,1st Auto (2nd copy),Raw,21.02
2026-05-18,David Sandlin,2025,Bowman Chrome,1st Auto,Raw,7.36
2026-05-18,Sean Sullivan,2023,Bowman Draft,Refractor 1st Auto /499,Raw,17.71
2026-05-17,Dylan O'Rae,2023,Bowman Chrome,1st Auto,Raw,7.97
