Date Purchased,Player,Year,Set,Category,Condition,Investment
2026-05-19,Alimber Santa,2026,Bowman Chrome,MLB,Raw,6.88
2026-05-18,David Sandlin,2025,Bowman Chrome,MLB,Raw,7.36
2026-05-19,Andrew Pinckney,2023,Bowman Chrome 1st,AAA,Raw,7.89
2026-05-20,Brock Rodden,2023,Bowman Chrome Draft,AAA,Raw,10.32
2026-05-19,Ethan O'Donnell,2023,Bowman Chrome,AAA,Raw,10.07
2026-05-23,Ethan Pecko,2025,Bowman Chrome,AAA,Raw,17.22
2026-05-18,Ethan Pecko,2025,Bowman Chrome,AAA,Raw,21.02
2026-06-05,Gage Miller,2024,Bowman Chrome Draft 1st,AAA,Raw,21.03
2026-06-01,Gino Groover,2024,Bowman,AAA,Raw,27.89
2026-05-19,Jack Hurley,2023,Bowman Chrome,AAA,Raw,12.79
2026-05-19,Joshua Kuroda-Grauer,2024,Bowman Draft,AAA,Raw,32.64
2026-05-20,Matt Wilkinson,2024,Bowman Chrome,AAA,Raw,29.29
2026-05-29,Mitch Jebb,2024,Bowman Chrome,AAA,Raw,3.88
2026-05-18,Sean Sullivan,2023,Bowman Draft,AAA,Raw,17.71
2026-05-19,Cole Messina,2024,Bowman Draft,AA,Raw,6.65
2026-05-17,Dylan O'Rae,2023,Bowman Chrome,AA,Raw,7.97
2026-05-20,Gage Ziehl,2024,Bowman Draft,AA,Raw,4.69
2026-05-19,Herick Hernandez,2024,Bowman Draft,AA,Raw,17.69
2026-05-19,Joe Whitman,2023,Bowman Draft,AA,Raw,12.01
2026-05-21,Khal Stephen,2024,Bowman Chrome,AA,Raw,26.09
2026-05-19,Aaron Walton,2025,Bowman Chrome Draft,A+,Raw,33.10
2026-06-04,Juan Flores,2024,Bowman Chrome 1st,A+,Raw,23.35
2026-06-02,Ty Southisene,2024,Bowman Draft,A+,Raw,17.77
