Player,Level,Org
Alimber Santa,MLB,Houston Astros
David Sandlin,MLB,Chicago White Sox
Andrew Pinckney,AAA,Washington Nationals
Brock Rodden,AAA,Seattle Mariners
Ethan O'Donnell,AAA,Miami Marlins (traded from CIN)
Ethan Pecko,AAA,Houston Astros
Gage Miller,AAA,Miami Marlins
Gino Groover,AAA,Arizona Diamondbacks
Jack Hurley,AAA,Arizona Diamondbacks
Joshua Kuroda-Grauer,AAA,Athletics
Matt Wilkinson,AAA,Cleveland Guardians
Mitch Jebb,AAA,Pittsburgh Pirates
Sean Sullivan,AAA,Colorado Rockies
Cole Messina,AA,Colorado Rockies
Dylan O'Rae,AA,Milwaukee Brewers
Gage Ziehl,AA,New York Yankees
Herick Hernandez,AA,Atlanta Braves
Joe Whitman,AA,San Francisco Giants
Khal Stephen,AA,Toronto Blue Jays
Aaron Walton,A+,Cleveland Guardians
Juan Flores,A+,
Ty Southisene,A+,Chicago Cubs
