player_id,name,card_year,denominator,n_listings,n_auctions,n_fixed,price_min,price_p25,price_median,price_mean,price_p75,price_max,top_listing_url,top_listing_title,has_market,p_MLB_DEBUT,p_ESTABLISHED_MLB,p_ALL_STAR_ONCE,p_ELITE,composite_score,composite_score_raw,grade,percentile,cur_level,is_international,draft_round,draft_pick
draft_2023_ty_johnson_r15p446,Ty Johnson,2024,0,0,0,0,,,,,,,,,0,0.7136,0.5346,,,3.004,12.156,A+,1.0,AAA,0,15,446
draft_2023_ty_johnson_r15p446,Ty Johnson,2024,99,0,0,0,,,,,,,,,0,0.7136,0.5346,,,3.004,12.156,A+,1.0,AAA,0,15,446
draft_2023_ty_johnson_r15p446,Ty Johnson,2024,499,0,0,0,,,,,,,,,0,0.7136,0.5346,,,3.004,12.156,A+,1.0,AAA,0,15,446
ifa_815908,Jesús Made,2024,0,35,0,35,149.99,149.99,179.99,428.5062857142857,535.495,1499.99,https://www.ebay.com/itm/117119132494?_skw=%22Jesus+Made%22+1st+Bowman+Chrome+auto&hash=item1b44d8234e:g:Z60AAeSw4J9pzHPT,Jesus Made Signed Card 1st Bowman Chrome Auto Milwaukee Brewers PSA,1,0.8519,0.2785,,,2.836,6.448,A+,0.9998,AA,1,,
ifa_815908,Jesús Made,2024,99,4,0,4,1050.0,1236.75,1374.5,1399.7475,1537.4975,1799.99,https://www.ebay.com/itm/117124743542?_skw=%22Jesus+Made%22+1st+Bowman+Chrome+auto&hash=item1b452dc176:g:41oAAeSwXBJp0JX8,🔥 2025 Bowman Chrome 1st Green Reptilian Auto Jesus Made /99 – Pirates 🔥,1,0.8519,0.2785,,,2.836,6.448,A+,0.9998,AA,1,,
ifa_815908,Jesús Made,2024,499,1,0,1,725.55,725.55,725.55,725.55,725.55,725.55,https://www.ebay.com/itm/277375163848?_skw=%22Jesus+Made%22+1st+Bowman+Chrome+auto&hash=item4094d91dc8:g:LwcAAeSwxtFompk0,2025 1st Bowman Chrome Refractor Auto Jesus Made /499 Mint 9 Milwaukee Brewers,1,0.8519,0.2785,,,2.836,6.448,A+,0.9998,AA,1,,
ifa_700032,Victor Labrada,2021,0,19,0,19,7.27,9.995000000000001,12.99,18.415263157894735,20.0,59.99,https://www.ebay.com/itm/276230623026?_skw=%22Victor+Labrada%22+1st+Bowman+Chrome+auto&hash=item4050a0cf32:g:jsMAAOSwVvFlfJ~r,Victor Labrada 2022 Bowman Chrome 🔥 1st Bowman Auto 🔥 Seattle Mariners,1,0.7049,0.6253,,,3.111,4.71,A+,0.9997,AAA,1,,
ifa_700032,Victor Labrada,2021,99,2,0,2,29.09,29.314999999999998,29.54,29.54,29.765,29.99,https://www.ebay.com/itm/195783985088?_skw=%22Victor+Labrada%22+1st+Bowman+Chrome+auto&hash=item2d95a287c0:g:w5kAAOSwsERkbk5L,2022 Bowman Chrome Green Refractor VICTOR LABRADA  1st Bowman Auto /99 Mariners,1,0.7049,0.6253,,,3.111,4.71,A+,0.9997,AAA,1,,
ifa_700032,Victor Labrada,2021,499,7,0,7,15.99,17.99,18.0,25.135714285714286,30.490000000000002,45.0,https://www.ebay.com/itm/117179631560?_skw=%22Victor+Labrada%22+1st+Bowman+Chrome+auto&hash=item1b487347c8:g:PX4AAeSwfqVp-gse,2022 Bowman Chrome 1st VICTOR LABRADA Refractor #52/499 AUTO Seattle Mariners,1,0.7049,0.6253,,,3.111,4.71,A+,0.9997,AAA,1,,
ifa_703185,Nelson Rada,2022,0,27,0,27,14.98,21.49,24.99,44.3937037037037,52.495000000000005,159.99,https://www.ebay.com/itm/405882957873?_skw=%22Nelson+Rada%22+1st+Bowman+Chrome+auto&hash=item5e80827031:g:UC0AAOSwn6doLPvD,Nelson Rada IP Autographed 2023 1st Bowman Chrome AUTO In Person Angels Rookie,1,0.844,0.8158,,,3.61,4.259,A+,0.9995,AAA,1,,
