snap_offset,bucket,event,target_rate,score_threshold,k,realized,rate,base_rate,lift,pct_of_cohort,achievable
2,ALL,TOP_100_PROSPECT,0.05,0.9908572594009464,440,22,0.05,0.009364940005853088,5.339062500000001,0.12876792508047996,True
2,ALL,TOP_100_PROSPECT,0.1,5.806084141542214,120,12,0.1,0.009364940005853088,10.678125000000001,0.03511852502194908,True
2,ALL,TOP_100_PROSPECT,0.25,8.500069808177354,28,7,0.25,0.009364940005853088,26.6953125,0.008194322505121452,True
2,ALL,TOP_100_PROSPECT,0.5,8.781059077274232,12,6,0.5,0.009364940005853088,53.390625,0.003511852502194908,True
2,ALL,TOP_100_PROSPECT,0.75,nan,0,0,nan,0.009364940005853088,nan,nan,False
2,ALL,MLB_DEBUT,0.05,-1.0585580305690225,3458,365,0.10555234239444766,0.10555234239444766,1.0,1.0,True
2,ALL,MLB_DEBUT,0.1,-1.0585580305690225,3458,365,0.10555234239444766,0.10555234239444766,1.0,1.0,True
2,ALL,MLB_DEBUT,0.25,0.07044744862007371,1296,324,0.25,0.10555234239444766,2.3684931506849316,0.3747831116252169,True
2,ALL,MLB_DEBUT,0.5,1.2281078179859246,432,216,0.5,0.10555234239444766,4.736986301369863,0.1249277038750723,True
2,ALL,MLB_DEBUT,0.75,7.277705515285826,100,75,0.75,0.10555234239444766,7.105479452054794,0.02891844997108155,True
2,ALL,ESTABLISHED_MLB,0.05,0.06106111485898935,1460,73,0.05,0.021688837478311164,2.3053333333333335,0.42220936957779065,True
2,ALL,ESTABLISHED_MLB,0.1,0.52026142413163,650,65,0.1,0.021688837478311164,4.610666666666667,0.18796992481203006,True
2,ALL,ESTABLISHED_MLB,0.25,5.988965937040759,140,35,0.25,0.021688837478311164,11.526666666666666,0.04048582995951417,True
2,ALL,ESTABLISHED_MLB,0.5,9.336044592075915,14,7,0.5,0.021688837478311164,23.05333333333333,0.004048582995951417,True
2,ALL,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.021688837478311164,nan,nan,False
2,ALL,STAR_PLUS_ELITE,0.05,4.2076681942090355,200,10,0.05,0.00578368999421631,8.645000000000001,0.0578368999421631,True
2,ALL,STAR_PLUS_ELITE,0.1,7.4957916968560525,90,9,0.1,0.00578368999421631,17.290000000000003,0.026026604973973393,True
2,ALL,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.00578368999421631,nan,nan,False
2,ALL,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.00578368999421631,nan,nan,False
2,ALL,STAR_PLUS_ELITE,0.75,nan,0,0,nan,0.00578368999421631,nan,nan,False
2,R1,TOP_100_PROSPECT,0.05,0.05545038173228842,35,10,0.2857142857142857,0.2857142857142857,1.0,1.0,True
2,R1,TOP_100_PROSPECT,0.1,0.05545038173228842,35,10,0.2857142857142857,0.2857142857142857,1.0,1.0,True
2,R1,TOP_100_PROSPECT,0.25,0.05545038173228842,35,10,0.2857142857142857,0.2857142857142857,1.0,1.0,True
2,R1,TOP_100_PROSPECT,0.5,1.186457857452051,20,10,0.5,0.2857142857142857,1.75,0.5714285714285714,True
2,R1,TOP_100_PROSPECT,0.75,nan,0,0,nan,0.2857142857142857,nan,nan,False
2,R1,MLB_DEBUT,0.05,0.05545038173228842,57,33,0.5789473684210527,0.5789473684210527,1.0,1.0,True
2,R1,MLB_DEBUT,0.1,0.05545038173228842,57,33,0.5789473684210527,0.5789473684210527,1.0,1.0,True
2,R1,MLB_DEBUT,0.25,0.05545038173228842,57,33,0.5789473684210527,0.5789473684210527,1.0,1.0,True
2,R1,MLB_DEBUT,0.5,0.05545038173228842,57,33,0.5789473684210527,0.5789473684210527,1.0,1.0,True
2,R1,MLB_DEBUT,0.75,1.3303963723370629,40,30,0.75,0.5789473684210527,1.2954545454545454,0.7017543859649122,True
2,R1,ESTABLISHED_MLB,0.05,0.05545038173228842,57,13,0.22807017543859648,0.22807017543859648,1.0,1.0,True
2,R1,ESTABLISHED_MLB,0.1,0.05545038173228842,57,13,0.22807017543859648,0.22807017543859648,1.0,1.0,True
2,R1,ESTABLISHED_MLB,0.25,0.16519735715662898,52,13,0.25,0.22807017543859648,1.0961538461538463,0.9122807017543859,True
2,R1,ESTABLISHED_MLB,0.5,nan,0,0,nan,0.22807017543859648,nan,nan,False
2,R1,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.22807017543859648,nan,nan,False
2,R1,STAR_PLUS_ELITE,0.05,0.05545038173228842,57,5,0.08771929824561403,0.08771929824561403,1.0,1.0,True
2,R1,STAR_PLUS_ELITE,0.1,0.22847839288680255,50,5,0.1,0.08771929824561403,1.1400000000000001,0.8771929824561403,True
2,R1,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.08771929824561403,nan,nan,False
2,R1,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.08771929824561403,nan,nan,False
