event,horizon_eval,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,1,1,30817,105,0.003407,0.991829,0.541918,159.050379,0.002204,0.002917,0.856214,0.099280,0.000000,0.600000,16,2,30710,89,0.888889,0.152381,0.260163,0.997047,18
MLB_DEBUT,1,1,31046,506,0.016298,0.972590,0.480673,29.492024,0.011061,0.015659,0.960797,0.207290,0.000000,0.600000,92,28,30512,414,0.766667,0.181818,0.293930,0.985763,120
ESTABLISHED_MLB,1,1,31046,3,0.000097,0.993171,0.018596,192.448728,0.000099,0.000233,2.414350,0.016793,0.003087,0.600000,0,0,31043,3,,0.000000,,0.999903,0
STAR_PLUS_ELITE,1,1,31046,1,0.000032,0.989821,0.003155,97.936909,0.000033,0.000140,4.341428,0.009630,0.089747,0.600000,0,0,31045,1,,0.000000,,0.999968,0
TOP_100_PROSPECT,2,2,29829,191,0.006403,0.985829,0.491483,76.756193,0.004391,0.005357,0.836602,0.134238,0.000000,0.600000,38,11,29627,153,0.775510,0.198953,0.316667,0.994502,49
MLB_DEBUT,2,2,30052,993,0.033043,0.964369,0.582234,17.620649,0.019915,0.031375,0.949521,0.287538,0.000000,0.600000,259,75,28984,734,0.775449,0.260826,0.390354,0.973080,334
ESTABLISHED_MLB,2,2,30052,58,0.001930,0.985778,0.220155,114.070490,0.001706,0.001889,0.978575,0.073856,0.000000,0.600000,0,0,29994,58,,0.000000,,0.998070,0
STAR_PLUS_ELITE,2,2,30052,8,0.000266,0.989815,0.219860,825.902216,0.000251,0.000390,1.464997,0.027680,0.000002,0.600000,0,0,30044,8,,0.000000,,0.999734,0
TOP_100_PROSPECT,3,3,28662,242,0.008443,0.983836,0.518366,61.394216,0.005571,0.007056,0.835644,0.153356,0.000000,0.600000,51,13,28407,191,0.796875,0.210744,0.333333,0.992883,64
MLB_DEBUT,3,3,28879,1425,0.049344,0.955606,0.617291,12.510001,0.028310,0.047292,0.958428,0.341828,0.000000,0.600000,432,119,27335,993,0.784029,0.303158,0.437247,0.961495,551
ESTABLISHED_MLB,3,3,28879,165,0.005713,0.980633,0.318904,55.815988,0.004673,0.005592,0.978663,0.125491,0.000000,0.600000,5,0,28714,160,1.000000,0.030303,0.058824,0.994460,5
STAR_PLUS_ELITE,3,3,28879,24,0.000831,0.981019,0.184889,222.474904,0.000772,0.000902,1.085688,0.048016,0.000000,0.600000,0,0,28855,24,,0.000000,,0.999169,0
TOP_100_PROSPECT,4,4,27323,259,0.009479,0.982471,0.509949,53.796690,0.006302,0.008475,0.894037,0.161950,0.000000,0.600000,54,15,27049,205,0.782609,0.208494,0.329268,0.991948,69
MLB_DEBUT,4,4,27529,1721,0.062516,0.950867,0.640672,10.248149,0.034664,0.060524,0.968145,0.378109,0.000000,0.600000,553,150,25658,1168,0.786629,0.321325,0.456271,0.952123,703
