event,yip,pctile_cut,score_floor,n_above,rate_above,base_rate,lift,tp_above
ESTABLISHED_MLB,0,1,0.378446,35,0.514286,0.0338696,15.1843,18
ESTABLISHED_MLB,0,2,0.298022,71,0.464789,0.0338696,13.7229,33
ESTABLISHED_MLB,0,3,0.233095,106,0.415094,0.0338696,12.2557,44
ESTABLISHED_MLB,0,4,0.198263,142,0.366197,0.0338696,10.812,52
ESTABLISHED_MLB,0,5,0.173403,177,0.333333,0.0338696,9.84167,59
ESTABLISHED_MLB,0,6,0.155526,213,0.305164,0.0338696,9.00998,65
ESTABLISHED_MLB,0,7,0.132274,248,0.290323,0.0338696,8.57177,72
ESTABLISHED_MLB,0,8,0.11726,283,0.272085,0.0338696,8.0333,77
ESTABLISHED_MLB,0,9,0.10457,319,0.263323,0.0338696,7.77461,84
ESTABLISHED_MLB,0,10,0.0946534,354,0.251412,0.0338696,7.42295,89
ESTABLISHED_MLB,0,11,0.0847772,390,0.235897,0.0338696,6.96487,92
ESTABLISHED_MLB,0,12,0.0772038,425,0.216471,0.0338696,6.39129,92
ESTABLISHED_MLB,0,13,0.06967,461,0.206074,0.0338696,6.08433,95
ESTABLISHED_MLB,0,14,0.0620345,496,0.195565,0.0338696,5.77404,97
ESTABLISHED_MLB,0,15,0.056464,531,0.184557,0.0338696,5.44906,98
ESTABLISHED_MLB,0,16,0.0513722,567,0.178131,0.0338696,5.2593,101
ESTABLISHED_MLB,0,17,0.0456334,602,0.171096,0.0338696,5.05162,103
ESTABLISHED_MLB,0,18,0.0402623,638,0.164577,0.0338696,4.85913,105
ESTABLISHED_MLB,0,19,0.0367541,673,0.157504,0.0338696,4.6503,106
ESTABLISHED_MLB,0,20,0.0322182,709,0.150917,0.0338696,4.45582,107
ESTABLISHED_MLB,0,25,0.0195444,886,0.125282,0.0338696,3.69896,111
ESTABLISHED_MLB,0,30,0.0138664,1063,0.107244,0.0338696,3.16637,114
ESTABLISHED_MLB,0,40,0.00732026,1417,0.0818631,0.0338696,2.41701,116
ESTABLISHED_MLB,0,50,0.00431624,1772,0.0671558,0.0338696,1.98277,119
ESTABLISHED_MLB,0,60,0.00254015,2126,0.056444,0.0338696,1.66651,120
ESTABLISHED_MLB,0,75,0.00128886,2657,0.0451637,0.0338696,1.33346,120
ESTABLISHED_MLB,0,100,0.00019457,3543,0.0338696,0.0338696,1,120
ESTABLISHED_MLB,1,1,0.479904,35,0.6,0.0290102,20.6824,21
ESTABLISHED_MLB,1,2,0.368942,70,0.471429,0.0290102,16.2504,33
ESTABLISHED_MLB,1,3,0.264471,105,0.371429,0.0290102,12.8034,39
ESTABLISHED_MLB,1,4,0.206601,141,0.340426,0.0290102,11.7347,48
ESTABLISHED_MLB,1,5,0.170419,176,0.318182,0.0290102,10.9679,56
ESTABLISHED_MLB,1,6,0.148369,211,0.293839,0.0290102,10.1288,62
ESTABLISHED_MLB,1,7,0.135585,246,0.268293,0.0290102,9.24821,66
ESTABLISHED_MLB,1,8,0.118145,281,0.24911,0.0290102,8.58698,70
ESTABLISHED_MLB,1,9,0.101639,316,0.240506,0.0290102,8.29039,76
ESTABLISHED_MLB,1,10,0.0872312,352,0.224432,0.0290102,7.7363,79
