event,yip,slab,slab_lo,slab_hi,n,tp,rate,base_rate,lift,score_lo,score_hi,score_mean
ESTABLISHED_MLB,0,0.0-0.5%,0.0,0.5,18,8,0.4444444444444444,0.031223389156968494,14.234343434343433,0.4885304868221283,0.7180604934692383,0.5882568359375
ESTABLISHED_MLB,0,0.5-1.0%,0.5,1.0,17,9,0.5294117647058824,0.031223389156968494,16.95561497326203,0.4047588109970093,0.48569414019584656,0.4493751525878906
ESTABLISHED_MLB,0,1.0-1.5%,1.0,1.5,18,6,0.3333333333333333,0.031223389156968494,10.675757575757574,0.3586525619029999,0.4027099907398224,0.37593773007392883
ESTABLISHED_MLB,0,1.5-2.0%,1.5,2.0,17,7,0.4117647058823529,0.031223389156968494,13.187700534759356,0.27355727553367615,0.35767918825149536,0.31824368238449097
ESTABLISHED_MLB,0,2-3%,2.0,3.0,36,13,0.3611111111111111,0.031223389156968494,11.56540404040404,0.20132915675640106,0.2731572091579437,0.2355925440788269
ESTABLISHED_MLB,0,3-4%,3.0,4.0,35,5,0.14285714285714285,0.031223389156968494,4.575324675324675,0.15938369929790497,0.19912777841091156,0.17896483838558197
ESTABLISHED_MLB,0,4-5%,4.0,5.0,35,10,0.2857142857142857,0.031223389156968494,9.15064935064935,0.13366961479187012,0.15918631851673126,0.1459614634513855
ESTABLISHED_MLB,0,5-10%,5.0,10.0,176,21,0.11931818181818182,0.031223389156968494,3.821435950413223,0.06073903664946556,0.13336396217346191,0.08932413905858994
ESTABLISHED_MLB,0,10-20%,10.0,20.0,353,18,0.05099150141643059,0.031223389156968494,1.633118722637136,0.02351459674537182,0.06073903664946556,0.03774503245949745
ESTABLISHED_MLB,0,20-50%,20.0,50.0,1057,11,0.010406811731315043,0.031223389156968494,0.33330179754020817,0.0051309093832969666,0.023416874930262566,0.010083935223519802
ESTABLISHED_MLB,0,bottom 50%,50.0,100.0,1761,2,0.001135718341851221,0.031223389156968494,0.03637396107583501,0.00029130533221177757,0.005118454806506634,0.001806042855605483
ESTABLISHED_MLB,1,0.0-0.5%,0.0,0.5,17,14,0.8235294117647058,0.02585463947141626,31.852287581699347,0.6134048104286194,0.8253316879272461,0.6631290316581726
ESTABLISHED_MLB,1,0.5-1.0%,0.5,1.0,18,9,0.5,0.02585463947141626,19.33888888888889,0.5509929656982422,0.6023766398429871,0.5763861536979675
ESTABLISHED_MLB,1,1.0-1.5%,1.0,1.5,17,11,0.6470588235294118,0.02585463947141626,25.026797385620917,0.5022374391555786,0.5494018197059631,0.5230436325073242
ESTABLISHED_MLB,1,1.5-2.0%,1.5,2.0,18,5,0.2777777777777778,0.02585463947141626,10.743827160493828,0.4232235848903656,0.49839943647384644,0.45698055624961853
ESTABLISHED_MLB,1,2-3%,2.0,3.0,34,11,0.3235294117647059,0.02585463947141626,12.513398692810458,0.24337470531463623,0.4189733862876892,0.3285095691680908
ESTABLISHED_MLB,1,3-4%,3.0,4.0,35,8,0.22857142857142856,0.02585463947141626,8.84063492063492,0.15717774629592896,0.2420213222503662,0.21030880510807037
ESTABLISHED_MLB,1,4-5%,4.0,5.0,35,6,0.17142857142857143,0.02585463947141626,6.630476190476191,0.1012071892619133,0.15678219497203827,0.12224289774894714
ESTABLISHED_MLB,1,5-10%,5.0,10.0,174,16,0.09195402298850575,0.02585463947141626,3.5565772669220945,0.029232803732156754,0.10050010681152344,0.054235391318798065
ESTABLISHED_MLB,1,10-20%,10.0,20.0,348,5,0.014367816091954023,0.02585463947141626,0.5557151979565773,0.006584345828741789,0.029203156009316444,0.015303884632885456
ESTABLISHED_MLB,1,20-50%,20.0,50.0,1044,3,0.0028735632183908046,0.02585463947141626,0.11114303959131545,0.0009595626033842564,0.006543888244777918,0.0024705964606255293
ESTABLISHED_MLB,1,bottom 50%,50.0,100.0,1741,2,0.0011487650775416428,0.02585463947141626,0.04443168038802732,0.00019796928972937167,0.0009592802380211651,0.0004469837585929781
ESTABLISHED_MLB,2,0.0-0.5%,0.0,0.5,17,16,0.9411764705882353,0.0200990387416254,46.82693947144075,0.6050467491149902,0.8233128786087036,0.6909466981887817
ESTABLISHED_MLB,2,0.5-1.0%,0.5,1.0,17,8,0.47058823529411764,0.0200990387416254,23.413469735720376,0.5043248534202576,0.6048387885093689,0.5459321141242981
ESTABLISHED_MLB,2,1.0-1.5%,1.0,1.5,17,10,0.5882352941176471,0.0200990387416254,29.266837169650472,0.37016236782073975,0.48596397042274475,0.42542800307273865
ESTABLISHED_MLB,2,1.5-2.0%,1.5,2.0,18,4,0.2222222222222222,0.0200990387416254,11.056360708534621,0.3018319308757782,0.36716461181640625,0.33488884568214417
ESTABLISHED_MLB,2,2-3%,2.0,3.0,34,9,0.2647058823529412,0.0200990387416254,13.170076726342712,0.16720426082611084,0.30089154839515686,0.23133492469787598
ESTABLISHED_MLB,2,3-4%,3.0,4.0,34,3,0.08823529411764706,0.0200990387416254,4.390025575447571,0.09991826862096786,0.16335462033748627,0.1312941014766693
ESTABLISHED_MLB,2,4-5%,4.0,5.0,35,5,0.14285714285714285,0.0200990387416254,7.107660455486543,0.05926697701215744,0.09896215051412582,0.07407791912555695
ESTABLISHED_MLB,2,5-10%,5.0,10.0,171,12,0.07017543859649122,0.0200990387416254,3.491482329010933,0.01214218232780695,0.058103419840335846,0.02631000056862831
ESTABLISHED_MLB,2,10-20%,10.0,20.0,344,2,0.005813953488372093,0.0200990387416254,0.28926525109538254,0.002534072147682309,0.012066511437296867,0.005773005075752735
ESTABLISHED_MLB,2,20-50%,20.0,50.0,1029,0,0.0,0.0200990387416254,0.0,0.00040050686220638454,0.0025128077249974012,0.0009324779966846108
ESTABLISHED_MLB,2,bottom 50%,50.0,100.0,1717,0,0.0,0.0200990387416254,0.0,0.00017321911582257599,0.0004004043585155159,0.00030880281701684
ESTABLISHED_MLB,3,0.0-0.5%,0.0,0.5,17,15,0.8823529411764706,0.011356843992827256,77.69349845201238,0.5630978941917419,0.8293618559837341,0.6469794511795044
ESTABLISHED_MLB,3,0.5-1.0%,0.5,1.0,16,6,0.375,0.011356843992827256,33.01973684210526,0.3362533748149872,0.5495542883872986,0.44785821437835693
ESTABLISHED_MLB,3,1.0-1.5%,1.0,1.5,17,5,0.29411764705882354,0.011356843992827256,25.897832817337463,0.24873070418834686,0.3250878155231476,0.29567843675613403
ESTABLISHED_MLB,3,1.5-2.0%,1.5,2.0,17,1,0.058823529411764705,0.011356843992827256,5.179566563467493,0.16663281619548798,0.2482919842004776,0.20267045497894287
ESTABLISHED_MLB,3,2-3%,2.0,3.0,33,3,0.09090909090909091,0.011356843992827256,8.004784688995215,0.06520958244800568,0.16649524867534637,0.11622344702482224
ESTABLISHED_MLB,3,3-4%,3.0,4.0,34,2,0.058823529411764705,0.011356843992827256,5.179566563467493,0.033020246773958206,0.06265296041965485,0.04603388160467148
ESTABLISHED_MLB,3,4-5%,4.0,5.0,33,1,0.030303030303030304,0.011356843992827256,2.668261562998405,0.01633148454129696,0.032694488763809204,0.022607717663049698
ESTABLISHED_MLB,3,5-10%,5.0,10.0,168,5,0.02976190476190476,0.011356843992827256,2.620614035087719,0.004102098755538464,0.016306087374687195,0.008230040781199932
ESTABLISHED_MLB,3,10-20%,10.0,20.0,334,0,0.0,0.011356843992827256,0.0,0.0010563930263742805,0.004090695176273584,0.0021085257176309824
ESTABLISHED_MLB,3,20-50%,20.0,50.0,1004,0,0.0,0.011356843992827256,0.0,0.00033462519058957696,0.001053054933436215,0.00048508442705497146
ESTABLISHED_MLB,3,bottom 50%,50.0,100.0,1673,0,0.0,0.011356843992827256,0.0,0.00011112158972537145,0.0003344819706398994,0.0002491211344022304
ESTABLISHED_MLB,4,0.0-0.5%,0.0,0.5,16,10,0.625,0.0058050717995722576,107.66447368421053,0.40139493346214294,0.7325495481491089,0.5368077158927917
ESTABLISHED_MLB,4,0.5-1.0%,0.5,1.0,17,2,0.11764705882352941,0.0058050717995722576,20.26625386996904,0.17453384399414062,0.3983286917209625,0.2510848641395569
ESTABLISHED_MLB,4,1.0-1.5%,1.0,1.5,16,3,0.1875,0.0058050717995722576,32.29934210526316,0.09563752263784409,0.1663966327905655,0.1282355785369873
ESTABLISHED_MLB,4,1.5-2.0%,1.5,2.0,16,0,0.0,0.0058050717995722576,0.0,0.0559610016644001,0.0944875106215477,0.07646187394857407
ESTABLISHED_MLB,4,2-3%,2.0,3.0,33,2,0.06060606060606061,0.0058050717995722576,10.440191387559809,0.022918466478586197,0.05545016750693321,0.035338662564754486
ESTABLISHED_MLB,4,3-4%,3.0,4.0,33,0,0.0,0.0058050717995722576,0.0,0.010033561848104,0.022895753383636475,0.014738722704350948
ESTABLISHED_MLB,4,4-5%,4.0,5.0,33,1,0.030303030303030304,0.0058050717995722576,5.220095693779904,0.006688958965241909,0.009927392937242985,0.008023375645279884
ESTABLISHED_MLB,4,5-10%,5.0,10.0,163,1,0.006134969325153374,0.0058050717995722576,1.0568291895382629,0.0019944687373936176,0.00664920499548316,0.00345570407807827
ESTABLISHED_MLB,4,10-20%,10.0,20.0,328,0,0.0,0.0058050717995722576,0.0,0.0006119293393567204,0.0019681453704833984,0.0011154969688504934
ESTABLISHED_MLB,4,20-50%,20.0,50.0,981,0,0.0,0.0058050717995722576,0.0,0.00028276589000597596,0.0006105539505369961,0.00035347332595847547
ESTABLISHED_MLB,4,bottom 50%,50.0,100.0,1637,0,0.0,0.0058050717995722576,0.0,0.00010467095853528008,0.0002824969415087253,0.00020974707149434835
