event,snap_offset,mean_fwd_years,n,pos,base_rate,pred_mean,auc,auc_lo,auc_hi,ap,ap_lift,brier,brier_skill,ece,spiegelhalter_p,lift@1%,recall@1%,k@1%,lift@5%,recall@5%,k@5%,lift@10%,recall@10%,k@10%
ESTABLISHED_MLB,0,13.8808,3533,138,0.0390603,0.0372157,0.913061,0.889729,0.931854,0.330367,8.45787,0.0307788,0.179989,0.00497563,0.527174,11.7035,0.115942,35,8.24453,0.413043,177,6.88991,0.688406,353
ESTABLISHED_MLB,1,12.8395,3502,119,0.0339806,0.032266,0.94407,0.930134,0.958379,0.469155,13.8066,0.0237407,0.276768,0.00574135,0.487786,21.0204,0.210084,35,11.2669,0.563025,175,7.48327,0.747899,350
ESTABLISHED_MLB,2,11.8214,3465,98,0.0282828,0.0263466,0.965972,0.95601,0.973364,0.511982,18.1022,0.018806,0.31572,0.00491674,0.362989,25.2551,0.255102,35,13.4889,0.673469,173,8.686,0.867347,346
ESTABLISHED_MLB,3,10.8159,3367,54,0.016038,0.0168805,0.969989,0.947037,0.983316,0.409568,25.5374,0.0114956,0.271547,0.0026121,0.625404,34.8437,0.351852,34,15.588,0.777778,168,9.62106,0.962963,337
ESTABLISHED_MLB,4,9.83074,3273,28,0.00855484,0.0093727,0.982622,0.970781,0.990946,0.379261,44.3329,0.00642902,0.242009,0.00157482,0.552834,46.0487,0.464286,33,17.819,0.892857,164,9.6517,0.964286,327
ESTABLISHED_MLB,5,8.87903,3191,9,0.00282043,0.00299673,0.978665,0.96382,0.990896,0.0934909,33.1477,0.00284107,-0.0101668,0.00121419,0.871222,22.1597,0.222222,32,15.5118,0.777778,160,10.0031,1,319
ESTABLISHED_MLB,6,7.90562,3147,4,0.00127105,0.00112767,0.961024,0.872373,0.995994,0.0723821,56.9466,0.00126627,0.00249412,0.000784752,0.855449,50.7581,0.5,31,15.0334,0.75,157,7.49286,0.75,315
ESTABLISHED_MLB,7,7.40695,2934,1,0.000340832,0.000492865,0.990794,0.987095,0.993522,0.0357143,104.786,0.000342241,-0.00447733,0.000152034,0.768923,101.172,1,29,19.9592,1,147,10.0137,1,293
ESTABLISHED_MLB,8,6.91045,2736,1,0.000365497,0.000298311,0.999634,0.998903,1,0.5,1368,0.000342605,0.0622892,6.71864e-05,0.884334,101.333,1,27,19.9708,1,137,9.9854,1,274
ESTABLISHED_MLB,9,6.36158,2561,0,0,0.000181614,,,,,,,,0.000181614,0.493617,,,26,,,128,,,256
ESTABLISHED_MLB,10,5.83971,2377,0,0,0.000138216,,,,,,,,0.000138216,0.566044,,,24,,,119,,,238
