event,yip,pctile_cut,score_floor,n_above,rate_above,base_rate,lift,tp_above
MLB_DEBUT,0,1,0.793163,34,0.911765,0.151118,6.03347,31
MLB_DEBUT,0,2,0.715724,67,0.865672,0.151118,5.72846,58
MLB_DEBUT,0,3,0.657484,101,0.811881,0.151118,5.37251,82
MLB_DEBUT,0,4,0.618007,134,0.813433,0.151118,5.38278,109
MLB_DEBUT,0,5,0.579184,168,0.779762,0.151118,5.15996,131
MLB_DEBUT,0,6,0.541581,201,0.756219,0.151118,5.00417,152
MLB_DEBUT,0,7,0.510926,235,0.740426,0.151118,4.89966,174
MLB_DEBUT,0,8,0.491572,268,0.708955,0.151118,4.69141,190
MLB_DEBUT,0,9,0.459965,302,0.698675,0.151118,4.62339,211
MLB_DEBUT,0,10,0.440059,336,0.678571,0.151118,4.49035,228
MLB_DEBUT,0,11,0.418617,369,0.661247,0.151118,4.3757,244
MLB_DEBUT,0,12,0.394123,403,0.647643,0.151118,4.28568,261
MLB_DEBUT,0,13,0.370731,436,0.633028,0.151118,4.18897,276
MLB_DEBUT,0,14,0.35024,470,0.621277,0.151118,4.11121,292
MLB_DEBUT,0,15,0.327846,503,0.60835,0.151118,4.02567,306
MLB_DEBUT,0,16,0.3018,537,0.581006,0.151118,3.84472,312
MLB_DEBUT,0,17,0.290409,570,0.564912,0.151118,3.73823,322
MLB_DEBUT,0,18,0.27187,604,0.554636,0.151118,3.67022,335
MLB_DEBUT,0,19,0.253239,637,0.540031,0.151118,3.57358,344
MLB_DEBUT,0,20,0.237901,671,0.517139,0.151118,3.42209,347
MLB_DEBUT,0,25,0.167691,839,0.45888,0.151118,3.03657,385
MLB_DEBUT,0,30,0.115001,1006,0.417495,0.151118,2.76271,420
MLB_DEBUT,0,40,0.0559876,1342,0.342027,0.151118,2.26331,459
MLB_DEBUT,0,50,0.0326924,1678,0.283075,0.151118,1.87321,475
MLB_DEBUT,0,60,0.0177553,2013,0.242424,0.151118,1.60421,488
MLB_DEBUT,0,75,0.00546922,2516,0.199126,0.151118,1.31769,501
MLB_DEBUT,0,100,0.000517146,3355,0.151118,0.151118,1,507
MLB_DEBUT,1,1,0.936278,33,1,0.148325,6.74194,33
MLB_DEBUT,1,2,0.85523,67,0.985075,0.148325,6.64131,66
MLB_DEBUT,1,3,0.797175,100,0.95,0.148325,6.40484,95
MLB_DEBUT,1,4,0.733396,134,0.873134,0.148325,5.88662,117
MLB_DEBUT,1,5,0.696282,167,0.844311,0.148325,5.69229,141
MLB_DEBUT,1,6,0.637197,201,0.825871,0.148325,5.56797,166
MLB_DEBUT,1,7,0.593794,234,0.799145,0.148325,5.38779,187
MLB_DEBUT,1,8,0.551832,268,0.776119,0.148325,5.23255,208
MLB_DEBUT,1,9,0.518456,301,0.760797,0.148325,5.12925,229
MLB_DEBUT,1,10,0.492708,334,0.745509,0.148325,5.02617,249
MLB_DEBUT,1,11,0.456622,368,0.725543,0.148325,4.89157,267
MLB_DEBUT,1,12,0.428908,401,0.700748,0.148325,4.7244,281
MLB_DEBUT,1,13,0.411207,435,0.673563,0.148325,4.54112,293
MLB_DEBUT,1,14,0.383687,468,0.662393,0.148325,4.46581,310
MLB_DEBUT,1,15,0.359111,502,0.64741,0.148325,4.3648,325
MLB_DEBUT,1,16,0.338502,535,0.631776,0.148325,4.25939,338
MLB_DEBUT,1,17,0.317543,568,0.610915,0.148325,4.11875,347
MLB_DEBUT,1,18,0.291991,602,0.594684,0.148325,4.00932,358
MLB_DEBUT,1,19,0.263794,635,0.577953,0.148325,3.89652,367
MLB_DEBUT,1,20,0.239548,669,0.554559,0.148325,3.7388,371
MLB_DEBUT,1,25,0.15288,836,0.492823,0.148325,3.32258,412
MLB_DEBUT,1,30,0.102084,1003,0.438684,0.148325,2.95758,440
MLB_DEBUT,1,40,0.0434122,1338,0.349028,0.148325,2.35313,467
MLB_DEBUT,1,50,0.0244762,1672,0.283493,0.148325,1.91129,474
MLB_DEBUT,1,60,0.0116973,2006,0.242273,0.148325,1.63339,486
MLB_DEBUT,1,75,0.00396743,2508,0.196172,0.148325,1.32258,492
MLB_DEBUT,1,100,0.000483078,3344,0.148325,0.148325,1,496
MLB_DEBUT,2,1,0.95751,33,1,0.13697,7.30088,33
MLB_DEBUT,2,2,0.934369,66,1,0.13697,7.30088,66
MLB_DEBUT,2,3,0.860985,99,0.959596,0.13697,7.0059,95
MLB_DEBUT,2,4,0.798172,132,0.939394,0.13697,6.85841,124
MLB_DEBUT,2,5,0.729005,165,0.890909,0.13697,6.50442,147
MLB_DEBUT,2,6,0.681835,198,0.868687,0.13697,6.34218,172
MLB_DEBUT,2,7,0.628989,231,0.844156,0.13697,6.16308,195
MLB_DEBUT,2,8,0.591612,264,0.818182,0.13697,5.97345,216
MLB_DEBUT,2,9,0.534447,297,0.787879,0.13697,5.75221,234
MLB_DEBUT,2,10,0.504073,330,0.775758,0.13697,5.66372,256
MLB_DEBUT,2,11,0.469759,363,0.743802,0.13697,5.43041,270
MLB_DEBUT,2,12,0.433712,396,0.714646,0.13697,5.21755,283
MLB_DEBUT,2,13,0.411852,429,0.689977,0.13697,5.03744,296
MLB_DEBUT,2,14,0.385192,462,0.664502,0.13697,4.85145,307
MLB_DEBUT,2,15,0.353667,495,0.648485,0.13697,4.73451,321
