event,yip,slab,slab_lo,slab_hi,n,tp,rate,base_rate,lift,score_lo,score_hi,score_mean
MLB_DEBUT,0,0.0-0.5%,0,0.5,18,17,0.944444,0.114028,8.28259,0.83902,0.926273,0.872117
MLB_DEBUT,0,0.5-1.0%,0.5,1,19,17,0.894737,0.114028,7.84666,0.768675,0.83902,0.803162
MLB_DEBUT,0,1.0-1.5%,1,1.5,19,15,0.789474,0.114028,6.92353,0.718928,0.768675,0.746712
MLB_DEBUT,0,1.5-2.0%,1.5,2,18,13,0.722222,0.114028,6.33375,0.68702,0.718928,0.69956
MLB_DEBUT,0,2-3%,2,3,37,23,0.621622,0.114028,5.4515,0.606765,0.68702,0.641641
MLB_DEBUT,0,3-4%,3,4,36,26,0.722222,0.114028,6.33375,0.556874,0.606765,0.579147
MLB_DEBUT,0,4-5%,4,5,37,24,0.648649,0.114028,5.68852,0.523658,0.556874,0.538955
MLB_DEBUT,0,5-10%,5,10,178,72,0.404494,0.114028,3.54734,0.369522,0.523658,0.44334
MLB_DEBUT,0,10-20%,10,20,355,88,0.247887,0.114028,2.17392,0.18359,0.369522,0.263947
MLB_DEBUT,0,20-50%,20,50,1064,90,0.0845865,0.114028,0.741807,0.0367868,0.18359,0.0888079
MLB_DEBUT,0,bottom 50%,50,100,1772,24,0.013544,0.114028,0.118778,0.00128806,0.0367868,0.014326
MLB_DEBUT,1,0.0-0.5%,0,0.5,18,18,1,0.107224,9.32626,0.902955,0.932543,0.919255
MLB_DEBUT,1,0.5-1.0%,0.5,1,19,18,0.947368,0.107224,8.8354,0.860166,0.902955,0.885299
MLB_DEBUT,1,1.0-1.5%,1,1.5,18,17,0.944444,0.107224,8.80813,0.823594,0.860166,0.841522
MLB_DEBUT,1,1.5-2.0%,1.5,2,19,12,0.631579,0.107224,5.89027,0.79442,0.823594,0.810942
MLB_DEBUT,1,2-3%,2,3,36,24,0.666667,0.107224,6.21751,0.703238,0.79442,0.749851
MLB_DEBUT,1,3-4%,3,4,36,20,0.555556,0.107224,5.18126,0.628398,0.703238,0.667732
MLB_DEBUT,1,4-5%,4,5,36,20,0.555556,0.107224,5.18126,0.573398,0.628398,0.597051
MLB_DEBUT,1,5-10%,5,10,177,69,0.389831,0.107224,3.63566,0.399575,0.573398,0.470307
MLB_DEBUT,1,10-20%,10,20,353,88,0.249292,0.107224,2.32496,0.16915,0.399575,0.264635
MLB_DEBUT,1,20-50%,20,50,1055,78,0.0739336,0.107224,0.689524,0.0247341,0.16915,0.0696588
MLB_DEBUT,1,bottom 50%,50,100,1758,18,0.0102389,0.107224,0.0954907,0.00124822,0.0246773,0.00849381
MLB_DEBUT,2,0.0-0.5%,0,0.5,18,18,1,0.0982476,10.1784,0.901739,0.932881,0.915238
MLB_DEBUT,2,0.5-1.0%,0.5,1,18,18,1,0.0982476,10.1784,0.879195,0.901739,0.889194
MLB_DEBUT,2,1.0-1.5%,1,1.5,19,18,0.947368,0.0982476,9.64266,0.839538,0.879195,0.858842
MLB_DEBUT,2,1.5-2.0%,1.5,2,18,18,1,0.0982476,10.1784,0.807024,0.839538,0.822789
MLB_DEBUT,2,2-3%,2,3,36,22,0.611111,0.0982476,6.22011,0.722078,0.807024,0.758574
MLB_DEBUT,2,3-4%,3,4,36,16,0.444444,0.0982476,4.52372,0.667169,0.722078,0.692545
MLB_DEBUT,2,4-5%,4,5,36,16,0.444444,0.0982476,4.52372,0.607623,0.667169,0.635106
MLB_DEBUT,2,5-10%,5,10,175,75,0.428571,0.0982476,4.36216,0.396013,0.607623,0.495183
MLB_DEBUT,2,10-20%,10,20,349,81,0.232092,0.0982476,2.36231,0.133669,0.396013,0.240721
MLB_DEBUT,2,20-50%,20,50,1045,54,0.0516746,0.0982476,0.525963,0.0159531,0.133669,0.0485343
MLB_DEBUT,2,bottom 50%,50,100,1741,12,0.00689259,0.0982476,0.0701553,0.00108223,0.0159531,0.00540701
MLB_DEBUT,3,0.0-0.5%,0,0.5,17,17,1,0.0745873,13.4071,0.904344,0.925076,0.911587
MLB_DEBUT,3,0.5-1.0%,0.5,1,18,18,1,0.0745873,13.4071,0.83941,0.904344,0.873463
MLB_DEBUT,3,1.0-1.5%,1,1.5,18,14,0.777778,0.0745873,10.4278,0.775211,0.83941,0.806742
MLB_DEBUT,3,1.5-2.0%,1.5,2,18,9,0.5,0.0745873,6.70356,0.732679,0.775211,0.753472
MLB_DEBUT,3,2-3%,2,3,35,21,0.6,0.0745873,8.04427,0.66767,0.732679,0.699811
MLB_DEBUT,3,3-4%,3,4,35,17,0.485714,0.0745873,6.51203,0.613025,0.66767,0.640697
MLB_DEBUT,3,4-5%,4,5,35,22,0.628571,0.0745873,8.42733,0.542043,0.613025,0.581258
MLB_DEBUT,3,5-10%,5,10,171,48,0.280702,0.0745873,3.7634,0.281182,0.542043,0.39276
MLB_DEBUT,3,10-20%,10,20,340,49,0.144118,0.0745873,1.9322,0.0814124,0.281182,0.158512
MLB_DEBUT,3,20-50%,20,50,1018,35,0.0343811,0.0745873,0.460952,0.00849848,0.0814124,0.0268792
MLB_DEBUT,3,bottom 50%,50,100,1696,7,0.00412736,0.0745873,0.055336,0.00127126,0.00849646,0.00371005
MLB_DEBUT,4,0.0-0.5%,0,0.5,17,16,0.941176,0.051375,18.3197,0.849811,0.885357,0.864334
MLB_DEBUT,4,0.5-1.0%,0.5,1,18,15,0.833333,0.051375,16.2206,0.771649,0.849811,0.807184
