yip,n_total,n_pos_total,base_rate,threshold,n_above,tp_above,precision,recall,lift_vs_base
0,3355,507,0.151118,0.320648,513,308,0.60039,0.607495,3.97299
1,3344,496,0.148325,0.31035,581,349,0.600688,0.703629,4.0498
2,3300,452,0.13697,0.255626,591,355,0.600677,0.785398,4.38547
3,3180,332,0.104403,0.274177,405,243,0.6,0.731928,5.74699
4,3066,218,0.0711024,0.301186,220,132,0.6,0.605505,8.43853
5,2965,117,0.0394604,0.391817,81,49,0.604938,0.418803,15.3303
6,2910,69,0.0237113,0.362186,43,26,0.604651,0.376812,25.5005
7,2704,36,0.0133136,0.421038,6,4,0.666667,0.111111,50.0741
8,2509,14,0.00557991,0.728181,1,1,1,0.0714286,179.214
9,2354,8,0.00339847,,0,0,,,
10,2187,3,0.00137174,,0,0,,,
