player_id,snap_year,snap_offset,mlb_debut_year,actual_h,t_pred
draft_2005_alex_burnett_r12p375,2005,0,2010,5,5.83159
draft_2005_alex_burnett_r12p375,2006,1,2010,4,5.53049
draft_2005_alex_burnett_r12p375,2007,2,2010,3,4.03318
draft_2005_alex_burnett_r12p375,2008,3,2010,2,3.33496
draft_2005_alex_burnett_r12p375,2009,4,2010,1,1.96759
draft_2005_brett_hayes_r2p79,2005,0,2009,4,5.12961
draft_2005_brett_hayes_r2p79,2006,1,2009,3,3.9406
draft_2005_brett_hayes_r2p79,2007,2,2009,2,3.07283
draft_2005_brett_hayes_r2p79,2008,3,2009,1,2.46676
draft_2005_brett_jackson_r13p400,2005,0,2012,7,5.83228
draft_2005_brett_jackson_r13p400,2006,1,2012,6,5.81574
draft_2005_brett_jackson_r13p400,2007,2,2012,5,5.90871
draft_2005_brett_jackson_r13p400,2008,3,2012,4,5.78448
draft_2005_brett_jackson_r13p400,2009,4,2012,3,3.9728
draft_2005_brett_jackson_r13p400,2010,5,2012,2,2.77819
draft_2005_brett_jackson_r13p400,2011,6,2012,1,2.10822
draft_2005_gaby_sanchez_r4p126,2005,0,2008,3,5.06533
draft_2005_gaby_sanchez_r4p126,2006,1,2008,2,3.53324
draft_2005_gaby_sanchez_r4p126,2007,2,2008,1,3.36718
draft_2005_jay_bruce_r1p12,2005,0,2008,3,5.64982
draft_2005_jay_bruce_r1p12,2006,1,2008,2,3.74946
draft_2005_jay_bruce_r1p12,2007,2,2008,1,1.42475
draft_2005_john_mayberry_r1p19,2005,0,2009,4,5.07213
draft_2005_john_mayberry_r1p19,2006,1,2009,3,3.70372
draft_2005_john_mayberry_r1p19,2007,2,2009,2,2.90206
draft_2005_john_mayberry_r1p19,2008,3,2009,1,1.4879
draft_2005_josh_thole_r13p389,2005,0,2009,4,5.29194
draft_2005_josh_thole_r13p389,2006,1,2009,3,5.26649
draft_2005_josh_thole_r13p389,2007,2,2009,2,4.22596
draft_2005_josh_thole_r13p389,2008,3,2009,1,3.72182
draft_2005_josh_wall_r2p74,2005,0,2012,7,5.23335
draft_2005_josh_wall_r2p74,2006,1,2012,6,5.4275
draft_2005_josh_wall_r2p74,2007,2,2012,5,4.12756
draft_2005_josh_wall_r2p74,2008,3,2012,4,3.40889
draft_2005_josh_wall_r2p74,2009,4,2012,3,2.97404
draft_2005_josh_wall_r2p74,2010,5,2012,2,3.13172
draft_2005_josh_wall_r2p74,2011,6,2012,1,2.05426
draft_2005_kevin_whelan_r4p120,2005,0,2011,6,3.90906
draft_2005_kevin_whelan_r4p120,2006,1,2011,5,3.19472
draft_2005_kevin_whelan_r4p120,2007,2,2011,4,2.26276
draft_2005_kevin_whelan_r4p120,2008,3,2011,3,2.24718
draft_2005_kevin_whelan_r4p120,2009,4,2011,2,1.86679
draft_2005_kevin_whelan_r4p120,2010,5,2011,1,1.89493
draft_2005_michael_brantley_r7p205,2005,0,2009,4,5.48966
draft_2005_michael_brantley_r7p205,2006,1,2009,3,4.40713
draft_2005_michael_brantley_r7p205,2007,2,2009,2,3.07287
draft_2005_michael_brantley_r7p205,2008,3,2009,1,2.05583
draft_2005_mitch_boggs_r5p170,2005,0,2008,3,5.55144
draft_2005_mitch_boggs_r5p170,2006,1,2008,2,3.5868
draft_2005_mitch_boggs_r5p170,2007,2,2008,1,2.56957
draft_2005_scott_van_slyke_r14p436,2005,0,2012,7,5.39655
draft_2005_scott_van_slyke_r14p436,2006,1,2012,6,5.29737
draft_2005_scott_van_slyke_r14p436,2007,2,2012,5,4.27237
draft_2005_scott_van_slyke_r14p436,2008,3,2012,4,3.78674
draft_2005_scott_van_slyke_r14p436,2009,4,2012,3,2.77041
draft_2005_scott_van_slyke_r14p436,2010,5,2012,2,2.13445
draft_2005_scott_van_slyke_r14p436,2011,6,2012,1,2.02287
draft_2006_alejandro_sanabia_r32p965,2006,0,2010,4,5.28244
draft_2006_alejandro_sanabia_r32p965,2007,1,2010,3,4.67265
draft_2006_alejandro_sanabia_r32p965,2008,2,2010,2,4.24439
draft_2006_alejandro_sanabia_r32p965,2009,3,2010,1,3.50755
draft_2006_brian_omogrosso_r6p195,2006,0,2012,6,4.87257
