event,snap_offset,mean_fwd_years,n,pos,base_rate,pred_mean,auc,auc_lo,auc_hi,ap,ap_lift,brier,brier_skill,ece,spiegelhalter_p,lift@1%,recall@1%,k@1%,lift@5%,recall@5%,k@5%,lift@10%,recall@10%,k@10%
MLB_DEBUT,0,13.8934,3528,434,0.123016,0.124999,0.886186,0.868443,0.902866,0.590591,4.80093,0.0733761,0.319855,0.0109199,0.614624,7.66452,0.0760369,35,6.05059,0.301843,176,4.76688,0.476959,353
MLB_DEBUT,1,13.2936,3311,403,0.121715,0.121976,0.91366,0.896634,0.926764,0.678725,5.57632,0.0637752,0.403417,0.00727899,0.945052,8.21588,0.0818859,33,6.73108,0.337469,166,5.31178,0.531017,331
MLB_DEBUT,2,12.7154,3089,366,0.118485,0.119189,0.932407,0.91995,0.945465,0.746448,6.29994,0.0544393,0.478781,0.0115129,0.845156,8.43989,0.0846995,31,7.50821,0.374317,154,6.00898,0.601093,309
MLB_DEBUT,3,12.1396,2823,268,0.0949345,0.0977361,0.944031,0.930831,0.957129,0.773981,8.15279,0.0408212,0.524903,0.00839533,0.415824,10.5336,0.104478,28,9.33828,0.466418,141,7.24651,0.723881,282
MLB_DEBUT,4,11.6426,2549,174,0.0682621,0.0686179,0.936126,0.914171,0.95455,0.728188,10.6675,0.0326015,0.487416,0.0104643,0.915994,14.6494,0.143678,25,11.3043,0.563218,127,7.52578,0.752874,255
MLB_DEBUT,5,11.2055,2292,92,0.0401396,0.0414188,0.935761,0.905388,0.962709,0.624267,15.5524,0.0231788,0.398398,0.00567135,0.680831,23.8299,0.23913,23,12.3482,0.619565,115,7.72413,0.771739,229
MLB_DEBUT,6,10.6897,2082,55,0.0264169,0.0258399,0.948832,0.913712,0.976082,0.639331,24.2016,0.0148951,0.420852,0.0048141,0.834307,36.0519,0.363636,21,14.1955,0.709091,104,8.18969,0.818182,208
MLB_DEBUT,7,10.2057,1867,27,0.0144617,0.0134469,0.970008,0.947349,0.989648,0.515211,35.6259,0.00980691,0.31192,0.00296755,0.678364,36.3938,0.37037,19,16.3576,0.814815,93,8.87463,0.888889,187
MLB_DEBUT,8,9.6784,1676,14,0.00835322,0.00849418,0.964286,0.930118,0.990423,0.413428,49.4932,0.00634758,0.233703,0.00301801,0.949757,49.2941,0.5,17,15.6769,0.785714,84,8.55102,0.857143,168
MLB_DEBUT,9,9.09381,1503,7,0.00465735,0.0051126,0.952254,0.843524,0.997614,0.299748,64.3601,0.00382688,0.17447,0.002542,0.818305,57.2571,0.571429,15,17.1771,0.857143,75,8.58857,0.857143,150
MLB_DEBUT,10,8.51437,1322,2,0.00151286,0.00331513,0.892614,0.802734,0.968956,0.013876,9.17202,0.00167213,-0.106952,0.00180227,0.318914,0,0,13,10.0152,0.5,66,5.00758,0.5,132
