event,yip,pctile_cut,score_floor,n_above,rate_above,base_rate,lift,tp_above
STAR_PLUS_ELITE,0,1,0.127099,35,0.171429,0.0115721,14.8139,6
STAR_PLUS_ELITE,0,2,0.0952702,71,0.183099,0.0115721,15.8224,13
STAR_PLUS_ELITE,0,3,0.0695178,106,0.179245,0.0115721,15.4894,19
STAR_PLUS_ELITE,0,4,0.0554517,142,0.169014,0.0115721,14.6053,24
STAR_PLUS_ELITE,0,5,0.0452226,177,0.135593,0.0115721,11.7172,24
STAR_PLUS_ELITE,0,6,0.0379807,213,0.112676,0.0115721,9.73686,24
STAR_PLUS_ELITE,0,7,0.031863,248,0.100806,0.0115721,8.71115,25
STAR_PLUS_ELITE,0,8,0.0264548,283,0.0883392,0.0115721,7.6338,25
STAR_PLUS_ELITE,0,9,0.0212722,319,0.0909091,0.0115721,7.85588,29
STAR_PLUS_ELITE,0,10,0.0186974,354,0.0819209,0.0115721,7.07916,29
STAR_PLUS_ELITE,0,11,0.0165002,390,0.0769231,0.0115721,6.64728,30
STAR_PLUS_ELITE,0,12,0.0138015,425,0.0729412,0.0115721,6.30319,31
STAR_PLUS_ELITE,0,13,0.0112933,461,0.0694143,0.0115721,5.99841,32
STAR_PLUS_ELITE,0,14,0.00997763,496,0.0645161,0.0115721,5.57514,32
STAR_PLUS_ELITE,0,15,0.00872602,531,0.0621469,0.0115721,5.3704,33
STAR_PLUS_ELITE,0,16,0.00778317,567,0.0599647,0.0115721,5.18183,34
STAR_PLUS_ELITE,0,17,0.00681171,602,0.0564784,0.0115721,4.88056,34
STAR_PLUS_ELITE,0,18,0.00619011,638,0.0548589,0.0115721,4.74061,35
STAR_PLUS_ELITE,0,19,0.00562304,673,0.0520059,0.0115721,4.49407,35
STAR_PLUS_ELITE,0,20,0.00513086,709,0.0507757,0.0115721,4.38777,36
STAR_PLUS_ELITE,0,25,0.00365459,886,0.0440181,0.0115721,3.8038,39
STAR_PLUS_ELITE,0,30,0.00274722,1063,0.0385701,0.0115721,3.33302,41
STAR_PLUS_ELITE,0,40,0.00167853,1417,0.0289344,0.0115721,2.50035,41
STAR_PLUS_ELITE,0,50,0.00113822,1772,0.0231377,0.0115721,1.99944,41
STAR_PLUS_ELITE,0,60,0.00087453,2126,0.019285,0.0115721,1.66651,41
STAR_PLUS_ELITE,0,75,0.000511961,2657,0.0154309,0.0115721,1.33346,41
STAR_PLUS_ELITE,0,100,0.000100834,3543,0.0115721,0.0115721,1,41
STAR_PLUS_ELITE,1,1,0.17616,35,0.257143,0.00910125,28.2536,9
STAR_PLUS_ELITE,1,2,0.102014,70,0.2,0.00910125,21.975,14
STAR_PLUS_ELITE,1,3,0.0667171,105,0.142857,0.00910125,15.6964,15
STAR_PLUS_ELITE,1,4,0.047411,141,0.148936,0.00910125,16.3644,21
STAR_PLUS_ELITE,1,5,0.0388399,176,0.130682,0.00910125,14.3587,23
STAR_PLUS_ELITE,1,6,0.0329203,211,0.113744,0.00910125,12.4976,24
