event,yip,slab,slab_lo,slab_hi,n,tp,rate,base_rate,lift,score_lo,score_hi,score_mean
STAR_PLUS_ELITE,0,0.0-0.5%,0,0.5,18,2,0.111111,0.0115721,9.60163,0.159668,0.263399,0.211335
STAR_PLUS_ELITE,0,0.5-1.0%,0.5,1,19,5,0.263158,0.0115721,22.7407,0.126463,0.159668,0.140007
STAR_PLUS_ELITE,0,1.0-1.5%,1,1.5,19,4,0.210526,0.0115721,18.1926,0.107766,0.126463,0.118659
STAR_PLUS_ELITE,0,1.5-2.0%,1.5,2,18,3,0.166667,0.0115721,14.4024,0.0952702,0.107766,0.101395
STAR_PLUS_ELITE,0,2-3%,2,3,37,6,0.162162,0.0115721,14.0132,0.0694861,0.0952702,0.0792265
STAR_PLUS_ELITE,0,3-4%,3,4,36,5,0.138889,0.0115721,12.002,0.0554517,0.0694861,0.0607332
STAR_PLUS_ELITE,0,4-5%,4,5,37,0,0,0.0115721,0,0.045038,0.0554517,0.0507152
STAR_PLUS_ELITE,0,5-10%,5,10,178,5,0.0280899,0.0115721,2.42738,0.0186716,0.045038,0.0297892
STAR_PLUS_ELITE,0,10-20%,10,20,355,7,0.0197183,0.0115721,1.70395,0.00513086,0.0186716,0.00986232
STAR_PLUS_ELITE,0,20-50%,20,50,1064,5,0.00469925,0.0115721,0.406084,0.00113822,0.00513086,0.00241041
STAR_PLUS_ELITE,0,bottom 50%,50,100,1772,0,0,0.0115721,0,0.000100834,0.00113822,0.000564754
STAR_PLUS_ELITE,1,0.0-0.5%,0,0.5,18,7,0.388889,0.00910125,42.7292,0.206092,0.252615,0.219261
STAR_PLUS_ELITE,1,0.5-1.0%,0.5,1,19,2,0.105263,0.00910125,11.5658,0.175351,0.206092,0.188108
STAR_PLUS_ELITE,1,1.0-1.5%,1,1.5,18,1,0.0555556,0.00910125,6.10417,0.133719,0.175351,0.152807
STAR_PLUS_ELITE,1,1.5-2.0%,1.5,2,19,4,0.210526,0.00910125,23.1316,0.0992961,0.133719,0.114059
STAR_PLUS_ELITE,1,2-3%,2,3,36,1,0.0277778,0.00910125,3.05208,0.0662928,0.0992961,0.0801096
STAR_PLUS_ELITE,1,3-4%,3,4,36,6,0.166667,0.00910125,18.3125,0.047411,0.0662928,0.0565726
STAR_PLUS_ELITE,1,4-5%,4,5,36,2,0.0555556,0.00910125,6.10417,0.0388399,0.047411,0.0427504
STAR_PLUS_ELITE,1,5-10%,5,10,177,5,0.0282486,0.00910125,3.10381,0.0162051,0.0388399,0.0261732
STAR_PLUS_ELITE,1,10-20%,10,20,353,2,0.00566572,0.00910125,0.622521,0.00379545,0.0162051,0.00832602
STAR_PLUS_ELITE,1,20-50%,20,50,1055,2,0.00189573,0.00910125,0.208294,0.00055273,0.00379545,0.00150185
STAR_PLUS_ELITE,1,bottom 50%,50,100,1758,0,0,0.00910125,0,7.58121e-05,0.000551464,0.000249078
STAR_PLUS_ELITE,2,0.0-0.5%,0,0.5,18,7,0.388889,0.00775639,50.1379,0.17833,0.230842,0.205914
STAR_PLUS_ELITE,2,0.5-1.0%,0.5,1,18,3,0.166667,0.00775639,21.4877,0.127893,0.17833,0.152876
STAR_PLUS_ELITE,2,1.0-1.5%,1,1.5,19,3,0.157895,0.00775639,20.3567,0.0903493,0.127893,0.106975
STAR_PLUS_ELITE,2,1.5-2.0%,1.5,2,18,2,0.111111,0.00775639,14.3251,0.0752907,0.0903493,0.0819074
STAR_PLUS_ELITE,2,2-3%,2,3,36,3,0.0833333,0.00775639,10.7438,0.0545637,0.0752907,0.06516
STAR_PLUS_ELITE,2,3-4%,3,4,36,3,0.0833333,0.00775639,10.7438,0.041658,0.0545637,0.0482851
STAR_PLUS_ELITE,2,4-5%,4,5,36,1,0.0277778,0.00775639,3.58128,0.0340764,0.041658,0.038284
STAR_PLUS_ELITE,2,5-10%,5,10,175,2,0.0114286,0.00775639,1.47344,0.0115143,0.0340764,0.0211212
STAR_PLUS_ELITE,2,10-20%,10,20,349,2,0.00573066,0.00775639,0.738831,0.00225219,0.0115143,0.00522722
