event,snap_offset,mean_fwd_years,n,pos,base_rate,pred_mean,auc,auc_lo,auc_hi,ap,ap_lift,brier,brier_skill,ece,spiegelhalter_p,lift@1%,recall@1%,k@1%,lift@5%,recall@5%,k@5%,lift@10%,recall@10%,k@10%
STAR_PLUS_ELITE,0,13.8879,3543,41,0.0115721,0.0081646,0.924562,0.898848,0.950426,0.119527,10.3289,0.0107767,0.0578353,0.00444365,0.0857475,12.3449,0.121951,35,10.7408,0.536585,177,6.83506,0.682927,354
STAR_PLUS_ELITE,1,12.8527,3516,32,0.00910125,0.00781823,0.954542,0.930828,0.973815,0.246267,27.0586,0.00805531,0.106793,0.00274653,0.453754,25.1143,0.25,35,13.7344,0.6875,176,8.74006,0.875,352
STAR_PLUS_ELITE,2,11.8348,3481,27,0.00775639,0.00611433,0.964915,0.941945,0.986763,0.394043,50.8024,0.00647668,0.158461,0.00164206,0.281869,36.836,0.37037,35,16.301,0.814815,174,8.89144,0.888889,348
STAR_PLUS_ELITE,3,10.8384,3392,13,0.00383255,0.00324332,0.975824,0.949318,0.993374,0.197281,51.4751,0.00346061,0.0935729,0.000606666,0.628249,46.0452,0.461538,34,16.8833,0.846154,170,9.23622,0.923077,339
STAR_PLUS_ELITE,4,9.86099,3309,6,0.00181324,0.00171155,0.968362,0.930546,0.996734,0.106772,58.8849,0.00170072,0.0603516,0.000101683,0.910211,50.1364,0.5,33,13.3697,0.666667,165,8.33082,0.833333,331
STAR_PLUS_ELITE,5,8.91019,3229,1,0.000309693,0.000424619,0.924102,0.915442,0.933055,0.00406504,13.126,0.000317919,-0.0268773,0.000114925,0.805128,0,0,32,0,0,161,9.9969,1,323
STAR_PLUS_ELITE,6,7.94132,3187,1,0.000313775,0.000198042,0.978657,0.973007,0.984518,0.0144928,46.1884,0.000314291,-0.00196062,0.000115733,0.771498,0,0,32,20.044,1,159,9.9906,1,319
STAR_PLUS_ELITE,7,7.44086,2976,1,0.000336022,0.000122278,0.962353,0.95516,0.968067,0.00884956,26.3363,0.000335814,0.000281991,0.000213744,0.585434,0,0,30,19.9732,1,149,9.98658,1,298
STAR_PLUS_ELITE,8,6.93916,2778,1,0.000359971,9.98302e-05,0.988837,0.984253,0.992696,0.03125,86.8125,0.00035953,0.000865728,0.000260141,0.521848,0,0,28,19.9856,1,139,9.99281,1,278
STAR_PLUS_ELITE,9,6.38624,2602,0,0,8.81516e-05,,,,,,,,8.81516e-05,0.631832,,,26,,,130,,,260
STAR_PLUS_ELITE,10,5.86098,2417,0,0,8.08099e-05,,,,,,,,8.08099e-05,0.658401,,,24,,,121,,,242
