event,yip,pctile_cut,score_floor,n_above,rate_above,base_rate,lift,tp_above
TOP_100_PROSPECT,0,1,0.412731,35,0.714286,0.0275334,25.9426,25
TOP_100_PROSPECT,0,2,0.252527,70,0.528571,0.0275334,19.1975,37
TOP_100_PROSPECT,0,3,0.191684,106,0.471698,0.0275334,17.1319,50
TOP_100_PROSPECT,0,4,0.152059,141,0.439716,0.0275334,15.9703,62
TOP_100_PROSPECT,0,5,0.13108,176,0.392045,0.0275334,14.2389,69
TOP_100_PROSPECT,0,6,0.109671,211,0.327014,0.0275334,11.877,69
TOP_100_PROSPECT,0,7,0.0932773,247,0.287449,0.0275334,10.44,71
TOP_100_PROSPECT,0,8,0.080157,282,0.269504,0.0275334,9.78826,76
TOP_100_PROSPECT,0,9,0.0691663,317,0.249211,0.0275334,9.05125,79
TOP_100_PROSPECT,0,10,0.0566227,352,0.227273,0.0275334,8.25445,80
TOP_100_PROSPECT,0,11,0.0484128,388,0.208763,0.0275334,7.58218,81
TOP_100_PROSPECT,0,12,0.0395119,423,0.200946,0.0275334,7.29826,85
TOP_100_PROSPECT,0,13,0.0342772,458,0.189956,0.0275334,6.89914,87
TOP_100_PROSPECT,0,14,0.028664,493,0.178499,0.0275334,6.48301,88
TOP_100_PROSPECT,0,15,0.0251328,528,0.170455,0.0275334,6.19084,90
TOP_100_PROSPECT,0,16,0.022324,564,0.163121,0.0275334,5.92447,92
TOP_100_PROSPECT,0,17,0.020083,599,0.153589,0.0275334,5.5783,92
TOP_100_PROSPECT,0,18,0.0185489,634,0.146688,0.0275334,5.32764,93
TOP_100_PROSPECT,0,19,0.0164008,669,0.139013,0.0275334,5.04891,93
TOP_100_PROSPECT,0,20,0.0151128,705,0.133333,0.0275334,4.84261,94
TOP_100_PROSPECT,0,25,0.00992554,881,0.107832,0.0275334,3.91641,95
TOP_100_PROSPECT,0,30,0.00616312,1057,0.0908231,0.0275334,3.29866,96
TOP_100_PROSPECT,0,40,0.0032419,1409,0.0681334,0.0275334,2.47458,96
TOP_100_PROSPECT,0,50,0.00168162,1762,0.0544835,0.0275334,1.97882,96
TOP_100_PROSPECT,0,60,0.00097092,2114,0.0454115,0.0275334,1.64933,96
TOP_100_PROSPECT,0,75,0.000489549,2642,0.0367146,0.0275334,1.33346,97
TOP_100_PROSPECT,0,100,0.000177547,3523,0.0275334,0.0275334,1,97
TOP_100_PROSPECT,1,1,0.391801,35,0.628571,0.0192473,32.6576,22
TOP_100_PROSPECT,1,2,0.208526,70,0.485714,0.0192473,25.2354,34
TOP_100_PROSPECT,1,3,0.132359,104,0.423077,0.0192473,21.9811,44
TOP_100_PROSPECT,1,4,0.0978914,139,0.338129,0.0192473,17.5676,47
TOP_100_PROSPECT,1,5,0.0786333,174,0.287356,0.0192473,14.9297,50
TOP_100_PROSPECT,1,6,0.0621969,209,0.244019,0.0192473,12.6781,51
TOP_100_PROSPECT,1,7,0.0532466,244,0.217213,0.0192473,11.2854,53
TOP_100_PROSPECT,1,8,0.0441658,278,0.190647,0.0192473,9.90513,53
TOP_100_PROSPECT,1,9,0.0380851,313,0.175719,0.0192473,9.12951,55
TOP_100_PROSPECT,1,10,0.0306741,348,0.16092,0.0192473,8.36061,56
TOP_100_PROSPECT,1,11,0.0249132,383,0.148825,0.0192473,7.73224,57
TOP_100_PROSPECT,1,12,0.0191676,418,0.141148,0.0192473,7.33339,59
TOP_100_PROSPECT,1,13,0.0164921,453,0.130243,0.0192473,6.7668,59
TOP_100_PROSPECT,1,14,0.0139145,487,0.12115,0.0192473,6.29437,59
TOP_100_PROSPECT,1,15,0.0115153,522,0.116858,0.0192473,6.0714,61
TOP_100_PROSPECT,1,16,0.00980051,557,0.111311,0.0192473,5.78317,62
TOP_100_PROSPECT,1,17,0.00798294,592,0.108108,0.0192473,5.61678,64
TOP_100_PROSPECT,1,18,0.00658786,627,0.102073,0.0192473,5.30324,64
TOP_100_PROSPECT,1,19,0.0054279,661,0.096823,0.0192473,5.03046,64
TOP_100_PROSPECT,1,20,0.0047466,696,0.091954,0.0192473,4.77749,64
TOP_100_PROSPECT,1,25,0.00252901,870,0.0747126,0.0192473,3.88171,65
TOP_100_PROSPECT,1,30,0.00154392,1044,0.0632184,0.0192473,3.28453,66
TOP_100_PROSPECT,1,40,0.000993665,1392,0.0481322,0.0192473,2.50072,67
TOP_100_PROSPECT,1,50,0.000613356,1740,0.0385057,0.0192473,2.00057,67
TOP_100_PROSPECT,1,60,0.000402244,2089,0.0320728,0.0192473,1.66635,67
TOP_100_PROSPECT,1,75,0.00030132,2611,0.0256607,0.0192473,1.33321,67
TOP_100_PROSPECT,1,100,0.000143082,3481,0.0192473,0.0192473,1,67
TOP_100_PROSPECT,2,1,0.283249,34,0.617647,0.0119429,51.7166,21
TOP_100_PROSPECT,2,2,0.110277,69,0.347826,0.0119429,29.1241,24
TOP_100_PROSPECT,2,3,0.0804906,103,0.252427,0.0119429,21.1362,26
TOP_100_PROSPECT,2,4,0.0589458,137,0.211679,0.0119429,17.7242,29
TOP_100_PROSPECT,2,5,0.045188,172,0.19186,0.0119429,16.0648,33
TOP_100_PROSPECT,2,6,0.0317125,206,0.165049,0.0119429,13.8198,34
TOP_100_PROSPECT,2,7,0.0226038,240,0.141667,0.0119429,11.862,34
TOP_100_PROSPECT,2,8,0.0155898,275,0.130909,0.0119429,10.9612,36
TOP_100_PROSPECT,2,9,0.0114696,309,0.116505,0.0119429,9.75515,36
TOP_100_PROSPECT,2,10,0.00954084,343,0.104956,0.0119429,8.78817,36
TOP_100_PROSPECT,2,11,0.0078136,378,0.0952381,0.0119429,7.97445,36
TOP_100_PROSPECT,2,12,0.00622668,412,0.0873786,0.0119429,7.31636,36
TOP_100_PROSPECT,2,13,0.00515719,446,0.0807175,0.0119429,6.75861,36
TOP_100_PROSPECT,2,14,0.00396188,481,0.0769231,0.0119429,6.4409,37
TOP_100_PROSPECT,2,15,0.00340821,515,0.0718447,0.0119429,6.01568,37
TOP_100_PROSPECT,2,16,0.00276736,549,0.0710383,0.0119429,5.94815,39
TOP_100_PROSPECT,2,17,0.00231512,584,0.0667808,0.0119429,5.59167,39
TOP_100_PROSPECT,2,18,0.0019924,618,0.0647249,0.0119429,5.41953,40
TOP_100_PROSPECT,2,19,0.00173436,652,0.0628834,0.0119429,5.26534,41
TOP_100_PROSPECT,2,20,0.00148885,687,0.0596798,0.0119429,4.99709,41
TOP_100_PROSPECT,2,25,0.000933921,858,0.0477855,0.0119429,4.00117,41
TOP_100_PROSPECT,2,30,0.000763809,1030,0.0398058,0.0119429,3.33301,41
TOP_100_PROSPECT,2,40,0.000473787,1373,0.0298616,0.0119429,2.50036,41
TOP_100_PROSPECT,2,50,0.000316326,1716,0.0238928,0.0119429,2.00058,41
TOP_100_PROSPECT,2,60,0.000250281,2060,0.0199029,0.0119429,1.6665,41
TOP_100_PROSPECT,2,75,0.000200908,2575,0.0159223,0.0119429,1.3332,41
TOP_100_PROSPECT,2,100,0.000107546,3433,0.0119429,0.0119429,1,41
TOP_100_PROSPECT,3,1,0.11727,33,0.363636,0.00508069,71.5722,12
TOP_100_PROSPECT,3,2,0.0633266,67,0.19403,0.00508069,38.1896,13
TOP_100_PROSPECT,3,3,0.0240254,100,0.14,0.00508069,27.5553,14
TOP_100_PROSPECT,3,4,0.0135155,134,0.104478,0.00508069,20.5637,14
TOP_100_PROSPECT,3,5,0.0095638,167,0.0838323,0.00508069,16.5002,14
TOP_100_PROSPECT,3,6,0.00699032,201,0.0696517,0.00508069,13.7091,14
TOP_100_PROSPECT,3,7,0.00489711,234,0.0641026,0.00508069,12.6169,15
TOP_100_PROSPECT,3,8,0.00367781,268,0.0559701,0.00508069,11.0162,15
TOP_100_PROSPECT,3,9,0.00285431,301,0.0498339,0.00508069,9.80848,15
TOP_100_PROSPECT,3,10,0.00210511,335,0.0447761,0.00508069,8.81299,15
TOP_100_PROSPECT,3,11,0.00174453,368,0.0407609,0.00508069,8.0227,15
TOP_100_PROSPECT,3,12,0.00135965,402,0.0373134,0.00508069,7.34416,15
TOP_100_PROSPECT,3,13,0.00111478,435,0.0367816,0.00508069,7.23949,16
TOP_100_PROSPECT,3,14,0.000987932,468,0.034188,0.00508069,6.72901,16
TOP_100_PROSPECT,3,15,0.000868894,502,0.0318725,0.00508069,6.27326,16
TOP_100_PROSPECT,3,16,0.000765419,535,0.0299065,0.00508069,5.88631,16
TOP_100_PROSPECT,3,17,0.00067704,569,0.0281195,0.00508069,5.53458,16
TOP_100_PROSPECT,3,18,0.000616611,602,0.0265781,0.00508069,5.23119,16
TOP_100_PROSPECT,3,19,0.000569933,636,0.0251572,0.00508069,4.95154,16
