event,yip,slab,slab_lo,slab_hi,n,tp,rate,base_rate,lift,score_lo,score_hi,score_mean
TOP_100_PROSPECT,0,0.0-0.5%,0,0.5,18,13,0.722222,0.0276039,26.1638,0.588902,0.788235,0.689242
TOP_100_PROSPECT,0,0.5-1.0%,0.5,1,19,8,0.421053,0.0276039,15.2534,0.478913,0.588902,0.528294
TOP_100_PROSPECT,0,1.0-1.5%,1,1.5,18,9,0.5,0.0276039,18.1134,0.398464,0.478913,0.427555
TOP_100_PROSPECT,0,1.5-2.0%,1.5,2,20,11,0.55,0.0276039,19.9247,0.344062,0.398464,0.371238
TOP_100_PROSPECT,0,2-3%,2,3,36,10,0.277778,0.0276039,10.063,0.231383,0.344062,0.28708
TOP_100_PROSPECT,0,3-4%,3,4,36,10,0.277778,0.0276039,10.063,0.178485,0.231383,0.202689
TOP_100_PROSPECT,0,4-5%,4,5,36,5,0.138889,0.0276039,5.0315,0.143508,0.178485,0.160857
TOP_100_PROSPECT,0,5-10%,5,10,177,18,0.101695,0.0276039,3.68408,0.0577575,0.143508,0.0890703
TOP_100_PROSPECT,0,10-20%,10,20,352,11,0.03125,0.0276039,1.13209,0.0122303,0.0577575,0.0276772
TOP_100_PROSPECT,0,20-50%,20,50,1056,5,0.00473485,0.0276039,0.171528,0.0019349,0.0122303,0.00526478
TOP_100_PROSPECT,0,bottom 50%,50,100,1758,1,0.000568828,0.0276039,0.0206068,0.000160015,0.0019349,0.000722481
TOP_100_PROSPECT,1,0.0-0.5%,0,0.5,18,12,0.666667,0.0190311,35.0303,0.514302,0.711327,0.602772
TOP_100_PROSPECT,1,0.5-1.0%,0.5,1,18,10,0.555556,0.0190311,29.1919,0.406093,0.514302,0.459413
TOP_100_PROSPECT,1,1.0-1.5%,1,1.5,19,5,0.263158,0.0190311,13.8278,0.286965,0.406093,0.336985
TOP_100_PROSPECT,1,1.5-2.0%,1.5,2,18,9,0.5,0.0190311,26.2727,0.215899,0.286965,0.253401
TOP_100_PROSPECT,1,2-3%,2,3,36,5,0.138889,0.0190311,7.29798,0.116964,0.215899,0.153804
TOP_100_PROSPECT,1,3-4%,3,4,35,5,0.142857,0.0190311,7.50649,0.0886765,0.116964,0.10139
TOP_100_PROSPECT,1,4-5%,4,5,36,4,0.111111,0.0190311,5.83838,0.07026,0.0886765,0.0803734
TOP_100_PROSPECT,1,5-10%,5,10,174,12,0.0689655,0.0190311,3.62382,0.0221639,0.07026,0.0404973
TOP_100_PROSPECT,1,10-20%,10,20,348,3,0.00862069,0.0190311,0.452978,0.00360297,0.0221639,0.0088093
TOP_100_PROSPECT,1,20-50%,20,50,1041,2,0.00192123,0.0190311,0.100952,0.000515228,0.00360297,0.00124037
TOP_100_PROSPECT,1,bottom 50%,50,100,1734,1,0.000576701,0.0190311,0.030303,9.42114e-05,0.000514602,0.000263336
TOP_100_PROSPECT,2,0.0-0.5%,0,0.5,18,16,0.888889,0.0119918,74.1247,0.370705,0.721281,0.51416
TOP_100_PROSPECT,2,0.5-1.0%,0.5,1,18,5,0.277778,0.0119918,23.164,0.175983,0.370705,0.257382
