event,snap_offset,mean_fwd_years,n,pos,base_rate,pred_mean,auc,auc_lo,auc_hi,ap,ap_lift,brier,brier_skill,ece,spiegelhalter_p,lift@1%,recall@1%,k@1%,lift@5%,recall@5%,k@5%,lift@10%,recall@10%,k@10%
TOP_100_PROSPECT,0,13.8597,3514,97,0.0276039,0.0257509,0.951947,0.929791,0.969189,0.458082,16.5948,0.0191657,0.285979,0.0032534,0.409906,21.7361,0.216495,35,12.9675,0.649485,176,8.25682,0.824742,351
TOP_100_PROSPECT,1,12.8587,3468,66,0.0190311,0.0150511,0.95936,0.935986,0.976226,0.497374,26.1347,0.0129876,0.304319,0.00543887,0.0318629,33.0286,0.333333,35,14.5791,0.727273,173,9.08567,0.909091,347
TOP_100_PROSPECT,2,11.8438,3419,41,0.0119918,0.00784851,0.977205,0.961379,0.990052,0.610063,50.8733,0.00759515,0.358951,0.0041433,0.00539759,51.5057,0.512195,34,16.0929,0.804878,171,9.50941,0.95122,342
TOP_100_PROSPECT,3,10.8424,3324,17,0.00511432,0.00378376,0.976343,0.944193,0.995915,0.350052,68.4454,0.00405649,0.20276,0.00234414,0.216822,71.1016,0.705882,33,18.8462,0.941176,166,9.4231,0.941176,332
TOP_100_PROSPECT,4,9.84388,3241,7,0.00215983,0.00186092,0.987146,0.962172,0.999179,0.38502,178.264,0.001675,0.222796,0.0014036,0.669125,86.8125,0.857143,32,17.1481,0.857143,162,10.0031,1,324
TOP_100_PROSPECT,5,8.88423,3170,1,0.000315457,0.000249247,1,1,1,1,3170,0.00026359,0.164156,6.62102e-05,0.854236,99.0625,1,32,20.0633,1,158,10,1,317
TOP_100_PROSPECT,6,7.90137,3133,0,0,0.000162145,,,,,,,,0.000162145,0.473193,,,31,,,157,,,313
TOP_100_PROSPECT,7,7.40499,2926,0,0,0.000127129,,,,,,,,0.000127129,0.541611,,,29,,,146,,,293
TOP_100_PROSPECT,8,6.90982,2728,0,0,0.000113116,,,,,,,,0.000113116,0.578309,,,27,,,136,,,273
TOP_100_PROSPECT,9,6.35734,2555,0,0,9.89766e-05,,,,,,,,9.89766e-05,0.614899,,,26,,,128,,,256
TOP_100_PROSPECT,10,5.83347,2372,0,0,9.39225e-05,,,,,,,,9.39225e-05,0.636819,,,24,,,119,,,237
