event,bucket,mean_fwd_years,n,pos,base_rate,pred_mean,auc,auc_lo,auc_hi,ap,ap_lift,brier,brier_skill,ece,spiegelhalter_p,lift@1%,recall@1%,k@1%,lift@5%,recall@5%,k@5%,lift@10%,recall@10%,k@10%
TOP_100_PROSPECT,ALL,11.8438,3419,41,0.0119918,0.00784851,0.977205,0.961379,0.990052,0.610063,50.8733,0.00759515,0.358951,0.0041433,0.00539759,51.5057,0.512195,34,16.0929,0.804878,171,9.50941,0.95122,342
TOP_100_PROSPECT,R1,11.9184,49,13,0.265306,0.127944,0.899573,0.777377,0.990907,0.824483,3.10767,0.1338,0.313561,0.150186,0.00157768,3.76923,0.0769231,1,3.76923,0.153846,2,3.76923,0.384615,5
TOP_100_PROSPECT,R2-R3,10.2717,92,10,0.108696,0.0581504,0.859756,0.696864,0.991259,0.65228,6.00098,0.0641158,0.3382,0.056677,0.0308134,9.2,0.1,1,7.36,0.4,5,7.15556,0.7,9
TOP_100_PROSPECT,R4-R10,10.863,270,4,0.0148148,0.012718,0.93797,0.862428,1,0.424043,28.6229,0.0117745,0.193266,0.00643979,0.776173,22.5,0.25,3,9.64286,0.5,14,5,0.5,27
TOP_100_PROSPECT,R10+,11.3176,1162,2,0.00172117,0.00217203,0.905603,0.790524,1,0.504525,293.129,0.00111164,0.353023,0.00115583,0.741267,48.4167,0.5,12,10.0172,0.5,58,5.00862,0.5,116
TOP_100_PROSPECT,IFA,12.3949,1846,12,0.00650054,0.00501473,0.983097,0.971072,0.992169,0.423711,65.1809,0.00489823,0.241559,0.00303094,0.391978,51.2778,0.5,18,16.721,0.833333,92,9.97838,1,185
MLB_DEBUT,ALL,11.8214,3465,366,0.105628,0.107744,0.931874,0.917363,0.945562,0.729686,6.90809,0.0502672,0.467906,0.00782579,0.523538,9.46721,0.0956284,35,8.04439,0.401639,173,6.18379,0.617486,346
MLB_DEBUT,R1,10.8904,73,52,0.712329,0.675352,0.945055,0.887577,0.986292,0.976989,1.37154,0.0889346,0.565996,0.119469,0.123945,1.40385,0.0192308,1,1.40385,0.0769231,4,1.40385,0.134615,7
MLB_DEBUT,R2-R3,10.3663,101,55,0.544554,0.540277,0.875494,0.800772,0.927888,0.910615,1.67222,0.147717,0.404404,0.110199,0.863907,1.83636,0.0181818,1,1.83636,0.0909091,5,1.83636,0.181818,10
MLB_DEBUT,R4-R10,10.8819,271,65,0.239852,0.267856,0.842868,0.793297,0.890594,0.691888,2.88464,0.127659,0.299823,0.0809016,0.0748668,4.16923,0.0461538,3,3.87143,0.2,14,3.55157,0.353846,27
