========================================================================================
DEBUT LASSO -> OUTCOME REPORT
========================================================================================
lasso model: models/debut_lasso_universe_v1.17_prod.pkl
snap_offset evaluated: 2
buckets: ALL, R1, R2-R3, R4-R10, R10+, IFA
events: TOP_100_PROSPECT, MLB_DEBUT, ESTABLISHED_MLB, STAR_PLUS_ELITE

CURVE: per (bucket, event), realized rate by lasso-score percentile band
       (bands are within-cohort percentiles; top-of-list first)

--- event: TOP_100_PROSPECT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  ALL           0-10%   342   25   7.3%   7.81    +3.315   +10.063     +5.114
  ALL          10-20%   341    2   0.6%   0.63    +1.701    +3.315     +2.331
  ALL          20-30%   342    2   0.6%   0.62    +1.008    +1.695     +1.325
  ALL          30-40%   342    1   0.3%   0.31    +0.623    +1.007     +0.808
  ALL          40-50%   341    1   0.3%   0.31    +0.382    +0.623     +0.492
  ALL          50-60%   342    0   0.0%   0.00    +0.230    +0.381     +0.300
  ALL          60-70%   342    0   0.0%   0.00    +0.147    +0.229     +0.186
  ALL          70-80%   342    0   0.0%   0.00    +0.086    +0.147     +0.116
  ALL          80-90%   341    1   0.3%   0.31    +0.027    +0.086     +0.053
  ALL          90-95%   171    0   0.0%   0.00    -0.021    +0.027     +0.007
  ALL          95-99%   137    0   0.0%   0.00    -0.125    -0.021     -0.057
  ALL         99-100%    34    0   0.0%   0.00    -0.517    -0.125     -0.276
  R1            0-10%     4    4 100.0%   3.50    +8.646   +10.063     +9.251
  R1           10-20%     3    3 100.0%   3.50    +7.844    +8.603     +8.167
  R1           20-30%     3    0   0.0%   0.00    +7.297    +7.693     +7.559
  R1           30-40%     4    2  50.0%   1.75    +5.984    +6.489     +6.244
  R1           40-50%     4    1  25.0%   0.88    +4.751    +5.952     +5.461
  R1           50-60%     3    0   0.0%   0.00    +4.219    +4.693     +4.494
  R1           60-70%     3    0   0.0%   0.00    +3.526    +3.761     +3.658
  R1           70-80%     4    0   0.0%   0.00    +2.388    +2.695     +2.566
  R1           80-90%     4    0   0.0%   0.00    +1.602    +2.269     +1.835
  R1           90-95%     1    0   0.0%   0.00    +1.437    +1.437     +1.437
  R1           95-99%     2    0   0.0%   0.00    -0.020    +0.149     +0.065
  R2-R3         0-10%     9    3  33.3%   6.13    +7.106    +8.177     +7.629
  R2-R3        10-20%     9    0   0.0%   0.00    +6.450    +7.078     +6.643
  R2-R3        20-30%    10    1  10.0%   1.84    +6.075    +6.437     +6.245
  R2-R3        30-40%     9    1  11.1%   2.04    +5.560    +5.985     +5.820
  R2-R3        40-50%     9    0   0.0%   0.00    +5.128    +5.554     +5.296
  R2-R3        50-60%     9    0   0.0%   0.00    +4.578    +5.114     +4.854
  R2-R3        60-70%     9    0   0.0%   0.00    +3.594    +4.533     +4.127
  R2-R3        70-80%    10    0   0.0%   0.00    +2.416    +3.528     +2.901
  R2-R3        80-90%     9    0   0.0%   0.00    +0.964    +2.346     +1.587
  R2-R3        90-95%     4    0   0.0%   0.00    +0.613    +0.805     +0.714
  R2-R3        95-99%     4    0   0.0%   0.00    +0.204    +0.324     +0.282
  R2-R3       99-100%     1    0   0.0%   0.00    +0.005    +0.005     +0.005
  R4-R10        0-10%    28    1   3.6%   4.96    +5.463    +8.143     +6.226
  R4-R10       10-20%    28    0   0.0%   0.00    +4.426    +5.421     +4.844
  R4-R10       20-30%    27    0   0.0%   0.00    +3.636    +4.412     +4.075
  R4-R10       30-40%    28    0   0.0%   0.00    +2.978    +3.632     +3.294
  R4-R10       40-50%    28    1   3.6%   4.96    +2.222    +2.864     +2.560
  R4-R10       50-60%    28    0   0.0%   0.00    +1.726    +2.218     +1.969
  R4-R10       60-70%    28    0   0.0%   0.00    +1.153    +1.725     +1.486
  R4-R10       70-80%    27    0   0.0%   0.00    +0.834    +1.152     +1.008
  R4-R10       80-90%    28    0   0.0%   0.00    +0.439    +0.834     +0.612
  R4-R10       90-95%    14    0   0.0%   0.00    +0.215    +0.437     +0.329
  R4-R10       95-99%    11    0   0.0%   0.00    +0.045    +0.213     +0.149
  R4-R10      99-100%     3    0   0.0%   0.00    -0.046    +0.027     +0.002
  R10+          0-10%   118    1   0.8%   4.98    +2.180    +7.408     +3.458
  R10+         10-20%   117    0   0.0%   0.00    +1.341    +2.179     +1.733
  R10+         20-30%   117    0   0.0%   0.00    +0.926    +1.339     +1.111
  R10+         30-40%   118    0   0.0%   0.00    +0.643    +0.925     +0.777
  R10+         40-50%   118    0   0.0%   0.00    +0.440    +0.643     +0.535
  R10+         50-60%   117    0   0.0%   0.00    +0.247    +0.434     +0.339
  R10+         60-70%   117    0   0.0%   0.00    +0.114    +0.247     +0.176
  R10+         70-80%   118    1   0.8%   4.98    +0.031    +0.114     +0.053
  R10+         80-90%   118    0   0.0%   0.00    +0.005    +0.031     +0.011
  R10+         90-95%    58    0   0.0%   0.00    -0.047    +0.005     -0.017
  R10+         95-99%    47    0   0.0%   0.00    -0.099    -0.047     -0.064
  R10+        99-100%    12    0   0.0%   0.00    -0.125    -0.099     -0.104
  IFA           0-10%   184    9   4.9%   6.91    +1.926    +8.689     +3.902
  IFA          10-20%   183    2   1.1%   1.54    +1.069    +1.919     +1.477
  IFA          20-30%   184    1   0.5%   0.77    +0.598    +1.066     +0.805
  IFA          30-40%   184    1   0.5%   0.77    +0.362    +0.596     +0.460
  IFA          40-50%   183    0   0.0%   0.00    +0.247    +0.360     +0.299
  IFA          50-60%   184    0   0.0%   0.00    +0.175    +0.247     +0.207
  IFA          60-70%   184    0   0.0%   0.00    +0.130    +0.175     +0.151
  IFA          70-80%   184    0   0.0%   0.00    +0.091    +0.130     +0.109
  IFA          80-90%   183    0   0.0%   0.00    +0.048    +0.091     +0.071
  IFA          90-95%    92    0   0.0%   0.00    +0.006    +0.047     +0.031
  IFA          95-99%    74    0   0.0%   0.00    -0.249    +0.005     -0.077
  IFA         99-100%    18    0   0.0%   0.00    -0.517    -0.252     -0.349

--- event: MLB_DEBUT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  ALL           0-10%   346  211  61.0%   5.78    +3.523   +10.063     +5.555
  ALL          10-20%   346   94  27.2%   2.57    +1.774    +3.521     +2.496
  ALL          20-30%   345   30   8.7%   0.82    +1.058    +1.764     +1.386
  ALL          30-40%   346   13   3.8%   0.36    +0.647    +1.058     +0.839
  ALL          40-50%   346    6   1.7%   0.16    +0.394    +0.646     +0.508
  ALL          50-60%   346    0   0.0%   0.00    +0.236    +0.394     +0.308
  ALL          60-70%   346    4   1.2%   0.11    +0.149    +0.235     +0.189
  ALL          70-80%   345    1   0.3%   0.03    +0.087    +0.149     +0.118
  ALL          80-90%   346    2   0.6%   0.05    +0.029    +0.087     +0.055
  ALL          90-95%   173    2   1.2%   0.11    -0.018    +0.028     +0.008
  ALL          95-99%   138    2   1.4%   0.14    -0.122    -0.020     -0.056
  ALL         99-100%    35    0   0.0%   0.00    -0.517    -0.125     -0.271
  R1            0-10%     6    6 100.0%   1.73    +9.111   +10.063     +9.537
  R1           10-20%     5    5 100.0%   1.73    +8.646    +9.057     +8.790
  R1           20-30%     6    6 100.0%   1.73    +8.226    +8.629     +8.465
  R1           30-40%     6    4  66.7%   1.15    +7.844    +8.224     +8.060
  R1           40-50%     5    3  60.0%   1.04    +7.297    +7.693     +7.577
  R1           50-60%     6    5  83.3%   1.44    +5.901    +6.489     +6.138
  R1           60-70%     6    2  33.3%   0.58    +4.219    +5.239     +4.640
  R1           70-80%     6    2  33.3%   0.58    +2.695    +3.761     +3.411
  R1           80-90%     5    0   0.0%   0.00    +1.776    +2.694     +2.323
  R1           90-95%     3    0   0.0%   0.00    +1.437    +1.694     +1.578
  R1           95-99%     2    0   0.0%   0.00    +0.149    +1.266     +0.708
  R1          99-100%     1    0   0.0%   0.00    -0.020    -0.020     -0.020
  R2-R3         0-10%    10   10 100.0%   1.75    +7.434    +8.731     +7.988
  R2-R3        10-20%    10    9  90.0%   1.58    +6.558    +7.323     +6.879
  R2-R3        20-30%     9    9 100.0%   1.75    +6.206    +6.538     +6.378
  R2-R3        30-40%    10    6  60.0%   1.05    +5.824    +6.184     +6.007
  R2-R3        40-50%    10    9  90.0%   1.58    +5.201    +5.728     +5.478
  R2-R3        50-60%    10    3  30.0%   0.53    +4.683    +5.174     +4.992
  R2-R3        60-70%    10    5  50.0%   0.88    +3.654    +4.644     +4.277
  R2-R3        70-80%     9    2  22.2%   0.39    +2.658    +3.594     +3.069
  R2-R3        80-90%    10    1  10.0%   0.18    +0.988    +2.565     +1.830
  R2-R3        90-95%     5    1  20.0%   0.35    +0.613    +0.964     +0.764
  R2-R3        95-99%     4    0   0.0%   0.00    +0.204    +0.324     +0.282
  R2-R3       99-100%     1    1 100.0%   1.75    +0.005    +0.005     +0.005
