snap_offset,bucket,event,target_rate,score_threshold,k,realized,rate,base_rate,lift,pct_of_cohort,achievable
2,ALL,TOP_100_PROSPECT,0.05,2.115808967914996,540,27,0.05,0.009364940005853088,5.339062500000001,0.15803336259877085,True
2,ALL,TOP_100_PROSPECT,0.1,4.104301270693547,250,25,0.1,0.009364940005853088,10.678125000000001,0.07316359379572725,True
2,ALL,TOP_100_PROSPECT,0.25,5.88124482587994,100,25,0.25,0.009364940005853088,26.6953125,0.029265437518290898,True
2,ALL,TOP_100_PROSPECT,0.5,7.204547982188426,32,16,0.5,0.009364940005853088,53.390625,0.009364940005853088,True
2,ALL,TOP_100_PROSPECT,0.75,7.766559619932022,16,12,0.75,0.009364940005853088,80.0859375,0.004682470002926544,True
2,ALL,MLB_DEBUT,0.05,-0.5165441371660486,3458,365,0.10555234239444766,0.10555234239444766,1.0,1.0,True
2,ALL,MLB_DEBUT,0.1,-0.5165441371660486,3458,365,0.10555234239444766,0.10555234239444766,1.0,1.0,True
2,ALL,MLB_DEBUT,0.25,0.6352817347393658,1392,348,0.25,0.10555234239444766,2.3684931506849316,0.4025448235974552,True
2,ALL,MLB_DEBUT,0.5,2.231118426454085,550,275,0.5,0.10555234239444766,4.736986301369863,0.15905147484094853,True
2,ALL,MLB_DEBUT,0.75,4.96740087533046,192,144,0.75,0.10555234239444766,7.105479452054794,0.055523423944476576,True
2,ALL,ESTABLISHED_MLB,0.05,0.5671175717576971,1480,74,0.05,0.021688837478311164,2.3053333333333335,0.42799305957200695,True
2,ALL,ESTABLISHED_MLB,0.1,1.7087808610523234,720,72,0.1,0.021688837478311164,4.610666666666667,0.20821283979178715,True
2,ALL,ESTABLISHED_MLB,0.25,5.090367874331039,184,46,0.25,0.021688837478311164,11.526666666666666,0.05320994794679005,True
2,ALL,ESTABLISHED_MLB,0.5,nan,0,0,nan,0.021688837478311164,nan,nan,False
2,ALL,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.021688837478311164,nan,nan,False
2,ALL,STAR_PLUS_ELITE,0.05,3.877301876603435,300,15,0.05,0.00578368999421631,8.645000000000001,0.08675534991324466,True
2,ALL,STAR_PLUS_ELITE,0.1,5.884975563461905,130,13,0.1,0.00578368999421631,17.290000000000003,0.03759398496240601,True
2,ALL,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.00578368999421631,nan,nan,False
2,ALL,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.00578368999421631,nan,nan,False
2,ALL,STAR_PLUS_ELITE,0.75,nan,0,0,nan,0.00578368999421631,nan,nan,False
2,R1,TOP_100_PROSPECT,0.05,-0.020257644174127676,35,10,0.2857142857142857,0.2857142857142857,1.0,1.0,True
2,R1,TOP_100_PROSPECT,0.1,-0.020257644174127676,35,10,0.2857142857142857,0.2857142857142857,1.0,1.0,True
2,R1,TOP_100_PROSPECT,0.25,-0.020257644174127676,35,10,0.2857142857142857,0.2857142857142857,1.0,1.0,True
2,R1,TOP_100_PROSPECT,0.5,4.571241253953458,20,10,0.5,0.2857142857142857,1.75,0.5714285714285714,True
2,R1,TOP_100_PROSPECT,0.75,6.383443482233302,12,9,0.75,0.2857142857142857,2.625,0.34285714285714286,True
2,R1,MLB_DEBUT,0.05,-0.020257644174127676,57,33,0.5789473684210527,0.5789473684210527,1.0,1.0,True
2,R1,MLB_DEBUT,0.1,-0.020257644174127676,57,33,0.5789473684210527,0.5789473684210527,1.0,1.0,True
2,R1,MLB_DEBUT,0.25,-0.020257644174127676,57,33,0.5789473684210527,0.5789473684210527,1.0,1.0,True
2,R1,MLB_DEBUT,0.5,-0.020257644174127676,57,33,0.5789473684210527,0.5789473684210527,1.0,1.0,True
2,R1,MLB_DEBUT,0.75,3.5261630825209944,44,33,0.75,0.5789473684210527,1.2954545454545454,0.7719298245614035,True
2,R1,ESTABLISHED_MLB,0.05,-0.020257644174127676,57,13,0.22807017543859648,0.22807017543859648,1.0,1.0,True
2,R1,ESTABLISHED_MLB,0.1,-0.020257644174127676,57,13,0.22807017543859648,0.22807017543859648,1.0,1.0,True
2,R1,ESTABLISHED_MLB,0.25,1.694462022630113,52,13,0.25,0.22807017543859648,1.0961538461538463,0.9122807017543859,True
2,R1,ESTABLISHED_MLB,0.5,nan,0,0,nan,0.22807017543859648,nan,nan,False
2,R1,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.22807017543859648,nan,nan,False
2,R1,STAR_PLUS_ELITE,0.05,-0.020257644174127676,57,5,0.08771929824561403,0.08771929824561403,1.0,1.0,True
2,R1,STAR_PLUS_ELITE,0.1,2.269269185489717,50,5,0.1,0.08771929824561403,1.1400000000000001,0.8771929824561403,True
2,R1,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.08771929824561403,nan,nan,False
2,R1,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.08771929824561403,nan,nan,False
2,R1,STAR_PLUS_ELITE,0.75,nan,0,0,nan,0.08771929824561403,nan,nan,False
2,R2-R3,TOP_100_PROSPECT,0.05,0.005404272443600033,92,5,0.05434782608695652,0.05434782608695652,1.0,1.0,True
2,R2-R3,TOP_100_PROSPECT,0.1,4.9376008429666225,50,5,0.1,0.05434782608695652,1.84,0.5434782608695652,True
2,R2-R3,TOP_100_PROSPECT,0.25,6.669959021077405,12,3,0.25,0.05434782608695652,4.6000000000000005,0.13043478260869565,True
2,R2-R3,TOP_100_PROSPECT,0.5,nan,0,0,nan,0.05434782608695652,nan,nan,False
2,R2-R3,TOP_100_PROSPECT,0.75,nan,0,0,nan,0.05434782608695652,nan,nan,False
2,R2-R3,MLB_DEBUT,0.05,0.005404272443600033,98,56,0.5714285714285714,0.5714285714285714,1.0,1.0,True
2,R2-R3,MLB_DEBUT,0.1,0.005404272443600033,98,56,0.5714285714285714,0.5714285714285714,1.0,1.0,True
2,R2-R3,MLB_DEBUT,0.25,0.005404272443600033,98,56,0.5714285714285714,0.5714285714285714,1.0,1.0,True
2,R2-R3,MLB_DEBUT,0.5,0.005404272443600033,98,56,0.5714285714285714,0.5714285714285714,1.0,1.0,True
2,R2-R3,MLB_DEBUT,0.75,3.9213834923217683,68,51,0.75,0.5714285714285714,1.3125,0.6938775510204082,True
2,R2-R3,ESTABLISHED_MLB,0.05,0.005404272443600033,98,16,0.16326530612244897,0.16326530612244897,1.0,1.0,True
2,R2-R3,ESTABLISHED_MLB,0.1,0.005404272443600033,98,16,0.16326530612244897,0.16326530612244897,1.0,1.0,True
2,R2-R3,ESTABLISHED_MLB,0.25,4.643844008671675,60,15,0.25,0.16326530612244897,1.5312500000000002,0.6122448979591837,True
2,R2-R3,ESTABLISHED_MLB,0.5,nan,0,0,nan,0.16326530612244897,nan,nan,False
2,R2-R3,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.16326530612244897,nan,nan,False
2,R2-R3,STAR_PLUS_ELITE,0.05,5.728137583980534,40,2,0.05,0.02040816326530612,2.45,0.40816326530612246,True
2,R2-R3,STAR_PLUS_ELITE,0.1,6.558419163512849,20,2,0.1,0.02040816326530612,4.9,0.20408163265306123,True
2,R2-R3,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.02040816326530612,nan,nan,False
2,R2-R3,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.02040816326530612,nan,nan,False
2,R2-R3,STAR_PLUS_ELITE,0.75,nan,0,0,nan,0.02040816326530612,nan,nan,False
2,R4-R10,TOP_100_PROSPECT,0.05,5.693165846328298,20,1,0.05,0.007194244604316547,6.95,0.07194244604316546,True
