event,horizon_eval,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,1,1,33417,105,0.003142,0.987412,0.364124,115.885043,0.002431,0.002604,0.828657,0.094496,0.000000,0.500000,17,13,33299,88,0.566667,0.161905,0.251852,0.996978,30
MLB_DEBUT,1,1,33646,520,0.015455,0.971870,0.452832,29.299948,0.010800,0.014483,0.937103,0.201635,0.000000,0.500000,129,75,33051,391,0.632353,0.248077,0.356354,0.986150,204
ESTABLISHED_MLB,1,1,33646,3,0.000089,0.993243,0.022917,257.022463,0.000090,0.000173,1.945353,0.016133,0.003082,0.500000,0,0,33643,3,,0.000000,,0.999911,0
STAR_PLUS_ELITE,1,1,33646,1,0.000030,0.992986,0.004219,141.966245,0.000030,0.000104,3.503083,0.009310,0.087692,0.500000,0,0,33645,1,,0.000000,,0.999970,0
TOP_100_PROSPECT,2,2,32343,191,0.005905,0.984155,0.430724,72.936685,0.004257,0.004773,0.808271,0.128504,0.000000,0.500000,40,24,32128,151,0.625000,0.209424,0.313725,0.994589,64
MLB_DEBUT,2,2,32566,1018,0.031260,0.961288,0.567955,18.168969,0.019252,0.029921,0.957188,0.278073,0.000000,0.500000,336,133,31415,682,0.716418,0.330059,0.451917,0.974974,469
ESTABLISHED_MLB,2,2,32566,59,0.001812,0.984406,0.127701,70.486808,0.001690,0.001548,0.854594,0.071359,0.000000,0.500000,0,0,32507,59,,0.000000,,0.998188,0
STAR_PLUS_ELITE,2,2,32566,8,0.000246,0.991849,0.069515,282.979122,0.000239,0.000324,1.317367,0.026701,0.000001,0.500000,0,0,32558,8,,0.000000,,0.999754,0
TOP_100_PROSPECT,3,3,31071,242,0.007789,0.981971,0.471194,60.497829,0.005343,0.006529,0.838338,0.146772,0.000000,0.500000,56,29,30800,186,0.658824,0.231405,0.342508,0.993080,85
MLB_DEBUT,3,3,31288,1460,0.046663,0.953003,0.604632,12.957346,0.027441,0.045736,0.980121,0.330981,0.000000,0.500000,545,229,29599,915,0.704134,0.373288,0.487914,0.963436,774
ESTABLISHED_MLB,3,3,31288,169,0.005401,0.976713,0.233433,43.216805,0.004637,0.004551,0.842629,0.121039,0.000000,0.500000,4,8,31111,165,0.333333,0.023669,0.044199,0.994471,12
STAR_PLUS_ELITE,3,3,31288,24,0.000767,0.984166,0.068729,89.600208,0.000741,0.000787,1.025978,0.046434,0.000000,0.500000,0,0,31264,24,,0.000000,,0.999233,0
TOP_100_PROSPECT,4,4,29609,259,0.008747,0.981187,0.456318,52.166523,0.006062,0.007886,0.901494,0.155215,0.000000,0.500000,58,35,29315,201,0.623656,0.223938,0.329545,0.992029,93
MLB_DEBUT,4,4,29815,1762,0.059098,0.947831,0.622609,10.535242,0.033904,0.058949,0.997483,0.365816,0.000000,0.500000,696,293,27760,1066,0.703741,0.395006,0.505998,0.954419,989
ESTABLISHED_MLB,4,4,29815,301,0.010096,0.970715,0.313938,31.096550,0.008065,0.008887,0.880287,0.163009,0.000000,0.500000,18,10,29504,283,0.642857,0.059801,0.109422,0.990173,28
STAR_PLUS_ELITE,4,4,29815,56,0.001878,0.971427,0.097407,51.860529,0.001781,0.001585,0.844090,0.070709,0.000000,0.500000,0,0,29759,56,,0.000000,,0.998122,0
TOP_100_PROSPECT,5,5,27951,256,0.009159,0.980686,0.451437,49.289469,0.006350,0.008816,0.962530,0.158626,0.000000,0.500000,60,36,27659,196,0.625000,0.234375,0.340909,0.991700,96
MLB_DEBUT,5,5,28144,1916,0.068078,0.946726,0.638884,9.384528,0.037909,0.068630,1.008103,0.389786,0.000000,0.500000,783,353,25875,1133,0.689261,0.408664,0.513106,0.947200,1136
ESTABLISHED_MLB,5,5,28144,423,0.015030,0.964487,0.341555,22.725094,0.011636,0.013591,0.904262,0.195773,0.000000,0.500000,35,21,27700,388,0.625000,0.082742,0.146138,0.985468,56
STAR_PLUS_ELITE,5,5,28144,90,0.003198,0.964327,0.099140,31.002126,0.003025,0.002619,0.819039,0.090813,0.000000,0.500000,0,1,28053,90,0.000000,0.000000,,0.996767,1
TOP_100_PROSPECT,6,6,26093,239,0.009160,0.980674,0.444199,48.495796,0.006389,0.009423,1.028745,0.158628,0.000000,0.500000,59,34,25820,180,0.634409,0.246862,0.355422,0.991799,93
MLB_DEBUT,6,6,26273,1942,0.073916,0.946066,0.647783,8.763743,0.040446,0.075993,1.028104,0.404282,0.000000,0.500000,849,396,23935,1093,0.681928,0.437178,0.532789,0.943326,1245
