event,bucket,n_total,n_pos_total,base_rate,threshold,n_above,tp_above,precision,recall,lift_vs_base
TOP_100_PROSPECT,ALL,33850,229,0.00676514,0.351329,138,83,0.601449,0.362445,88.9042
TOP_100_PROSPECT,R1,374,80,0.213904,0.0984337,115,69,0.6,0.8625,2.805
TOP_100_PROSPECT,R2-R3,691,61,0.0882779,0.534651,13,8,0.615385,0.131148,6.971
TOP_100_PROSPECT,R4-R10,2423,20,0.00825423,,0,0,,,
TOP_100_PROSPECT,R10+,11671,9,0.000771142,0.222456,5,3,0.6,0.333333,778.067
TOP_100_PROSPECT,IFA,18691,59,0.0031566,0.463498,18,11,0.611111,0.186441,193.598
MLB_DEBUT,ALL,34086,1842,0.0540398,0.325519,1838,1103,0.600109,0.598806,11.1049
MLB_DEBUT,R1,469,251,0.535181,0.00324692,418,251,0.600478,1,1.12201
MLB_DEBUT,R2-R3,730,264,0.361644,0.122739,411,247,0.600973,0.935606,1.66178
MLB_DEBUT,R4-R10,2426,306,0.126134,0.486745,220,132,0.6,0.431373,4.75686
MLB_DEBUT,R10+,11673,431,0.0369228,0.402842,193,116,0.601036,0.269142,16.2782
MLB_DEBUT,IFA,18788,590,0.031403,0.373906,500,300,0.6,0.508475,19.1064
ESTABLISHED_MLB,ALL,34086,452,0.0132606,0.427966,175,105,0.6,0.232301,45.2469
ESTABLISHED_MLB,R1,469,92,0.196162,0.376411,90,54,0.6,0.586957,3.0587
ESTABLISHED_MLB,R2-R3,730,68,0.0931507,0.725445,1,1,1,0.0147059,10.7353
ESTABLISHED_MLB,R4-R10,2426,91,0.0375103,0.404218,18,11,0.611111,0.120879,16.2918
ESTABLISHED_MLB,R10+,11673,74,0.00633942,0.457833,6,4,0.666667,0.0540541,105.162
ESTABLISHED_MLB,IFA,18788,127,0.00675963,0.385991,70,42,0.6,0.330709,88.7622
STAR_PLUS_ELITE,ALL,34086,128,0.00375521,0.419652,1,1,1,0.0078125,266.297
STAR_PLUS_ELITE,R1,469,35,0.0746269,0.419652,1,1,1,0.0285714,13.4
STAR_PLUS_ELITE,R2-R3,730,16,0.0219178,0.247189,5,3,0.6,0.1875,27.375
STAR_PLUS_ELITE,R4-R10,2426,21,0.00865622,0.213414,3,2,0.666667,0.0952381,77.0159
STAR_PLUS_ELITE,R10+,11673,18,0.00154202,0.107732,5,3,0.6,0.166667,389.1
STAR_PLUS_ELITE,IFA,18788,38,0.00202257,,0,0,,,
