event,cur_level,n_total,n_pos_total,base_rate,threshold,n_above,tp_above,precision,recall,lift_vs_base
TOP_100_PROSPECT,ALL,34164,230,0.00673223,0.336936,130,78,0.6,0.33913,89.1235
TOP_100_PROSPECT,RK,3928,65,0.0165479,0.227008,43,26,0.604651,0.4,36.5395
TOP_100_PROSPECT,A-,987,19,0.0192503,0.292926,8,5,0.625,0.263158,32.4671
TOP_100_PROSPECT,A,1503,45,0.0299401,0.340493,33,20,0.606061,0.444444,20.2424
TOP_100_PROSPECT,A+,1510,29,0.0192053,0.359527,20,12,0.6,0.413793,31.2414
TOP_100_PROSPECT,AA,1390,33,0.023741,0.234895,31,19,0.612903,0.575758,25.8162
TOP_100_PROSPECT,AAA,1809,12,0.0066335,0.284565,11,7,0.636364,0.583333,95.9318
TOP_100_PROSPECT,NONE,23037,27,0.00117203,0.376385,10,6,0.6,0.222222,511.933
MLB_DEBUT,ALL,34430,1747,0.0507406,0.454666,1288,773,0.600155,0.442473,11.8279
MLB_DEBUT,RK,3932,242,0.0615463,0.432288,153,92,0.601307,0.380165,9.77
MLB_DEBUT,A-,989,126,0.127401,0.528129,50,30,0.6,0.238095,4.70952
MLB_DEBUT,A,1528,256,0.167539,0.472665,201,121,0.60199,0.472656,3.59313
MLB_DEBUT,A+,1541,260,0.168722,0.475687,210,126,0.6,0.484615,3.55615
MLB_DEBUT,AA,1478,376,0.254398,0.361415,395,237,0.6,0.630319,2.35851
MLB_DEBUT,AAA,1865,296,0.158713,0.534229,166,100,0.60241,0.337838,3.79559
MLB_DEBUT,NONE,23097,191,0.00826947,0.417358,85,51,0.6,0.267016,72.556
ESTABLISHED_MLB,ALL,34430,385,0.0111821,0.502873,66,40,0.606061,0.103896,54.1991
ESTABLISHED_MLB,RK,3932,63,0.0160224,,0,0,,,
ESTABLISHED_MLB,A-,989,24,0.0242669,,0,0,,,
ESTABLISHED_MLB,A,1528,69,0.0451571,0.508029,13,8,0.615385,0.115942,13.6276
ESTABLISHED_MLB,A+,1541,71,0.046074,0.481936,18,11,0.611111,0.15493,13.2637
ESTABLISHED_MLB,AA,1478,99,0.0669824,0.46765,45,27,0.6,0.272727,8.95758
ESTABLISHED_MLB,AAA,1865,49,0.0262735,0.46228,13,8,0.615385,0.163265,23.4223
ESTABLISHED_MLB,NONE,23097,10,0.000432957,,0,0,,,
STAR_PLUS_ELITE,ALL,34430,123,0.00357247,0.267373,8,5,0.625,0.0406504,174.949
STAR_PLUS_ELITE,RK,3932,23,0.00584944,,0,0,,,
STAR_PLUS_ELITE,A-,989,5,0.00505561,,0,0,,,
STAR_PLUS_ELITE,A,1528,22,0.0143979,,0,0,,,
STAR_PLUS_ELITE,A+,1541,21,0.0136275,0.303528,1,1,1,0.047619,73.381
STAR_PLUS_ELITE,AA,1478,32,0.0216509,0.236183,8,5,0.625,0.15625,28.8672
STAR_PLUS_ELITE,AAA,1865,14,0.0075067,0.21045,3,2,0.666667,0.142857,88.8095
STAR_PLUS_ELITE,NONE,23097,6,0.000259774,,0,0,,,
