event,yip,n_total,n_pos_total,base_rate,threshold,n_above,tp_above,precision,recall,lift_vs_base
TOP_100_PROSPECT,0,3523,97,0.0275334,0.292902,60,36,0.6,0.371134,21.7918
TOP_100_PROSPECT,1,3481,67,0.0192473,0.346566,38,23,0.605263,0.343284,31.4466
TOP_100_PROSPECT,2,3433,41,0.0119429,0.251237,36,22,0.611111,0.536585,51.1694
TOP_100_PROSPECT,3,3346,17,0.00508069,0.589119,1,1,1,0.0588235,196.824
TOP_100_PROSPECT,4,3273,7,0.00213871,,0,0,,,
TOP_100_PROSPECT,5,3204,1,0.00031211,0.177904,1,1,1,1,3204
TOP_100_PROSPECT,6,3170,0,0,,0,0,,,
TOP_100_PROSPECT,7,2965,0,0,,0,0,,,
TOP_100_PROSPECT,8,2767,0,0,,0,0,,,
TOP_100_PROSPECT,9,2593,0,0,,0,0,,,
TOP_100_PROSPECT,10,2409,0,0,,0,0,,,
MLB_DEBUT,0,3543,404,0.114028,0.407949,308,185,0.600649,0.457921,5.26758
MLB_DEBUT,1,3516,377,0.107224,0.444329,290,174,0.6,0.461538,5.59576
MLB_DEBUT,2,3481,342,0.0982476,0.450518,296,178,0.601351,0.520468,6.12077
MLB_DEBUT,3,3392,253,0.0745873,0.465927,208,125,0.600962,0.494071,8.05716
MLB_DEBUT,4,3309,170,0.051375,0.41948,133,80,0.601504,0.470588,11.7081
MLB_DEBUT,5,3229,90,0.0278724,0.628796,28,17,0.607143,0.188889,21.7829
MLB_DEBUT,6,3187,55,0.0172576,0.409151,26,16,0.615385,0.290909,35.6587
MLB_DEBUT,7,2976,29,0.00974462,0.527508,1,1,1,0.0344828,102.621
MLB_DEBUT,8,2778,16,0.00575954,,0,0,,,
MLB_DEBUT,9,2602,8,0.00307456,0.148669,5,3,0.6,0.375,195.15
MLB_DEBUT,10,2417,3,0.00124121,0.29566,1,1,1,0.333333,805.667
ESTABLISHED_MLB,0,3543,120,0.0338696,0.498338,13,8,0.615385,0.0666667,18.1692
ESTABLISHED_MLB,1,3516,102,0.0290102,0.468197,40,24,0.6,0.235294,20.6824
ESTABLISHED_MLB,2,3481,83,0.0238437,0.428235,38,23,0.605263,0.277108,25.3846
ESTABLISHED_MLB,3,3392,45,0.0132665,0.521691,3,2,0.666667,0.0444444,50.2519
ESTABLISHED_MLB,4,3309,24,0.00725295,0.358347,15,9,0.6,0.375,82.725
ESTABLISHED_MLB,5,3229,6,0.00185816,,0,0,,,
ESTABLISHED_MLB,6,3187,3,0.000941324,,0,0,,,
ESTABLISHED_MLB,7,2976,1,0.000336022,,0,0,,,
ESTABLISHED_MLB,8,2778,1,0.000359971,,0,0,,,
ESTABLISHED_MLB,9,2602,0,0,,0,0,,,
ESTABLISHED_MLB,10,2417,0,0,,0,0,,,
STAR_PLUS_ELITE,0,3543,41,0.0115721,,0,0,,,
STAR_PLUS_ELITE,1,3516,32,0.00910125,0.221861,5,3,0.6,0.09375,65.925
STAR_PLUS_ELITE,2,3481,27,0.00775639,0.208215,8,5,0.625,0.185185,80.5787
STAR_PLUS_ELITE,3,3392,13,0.00383255,0.121896,1,1,1,0.0769231,260.923
STAR_PLUS_ELITE,4,3309,6,0.00181324,,0,0,,,
STAR_PLUS_ELITE,5,3229,1,0.000309693,,0,0,,,
STAR_PLUS_ELITE,6,3187,1,0.000313775,,0,0,,,
STAR_PLUS_ELITE,7,2976,1,0.000336022,,0,0,,,
STAR_PLUS_ELITE,8,2778,1,0.000359971,,0,0,,,
STAR_PLUS_ELITE,9,2602,0,0,,0,0,,,
STAR_PLUS_ELITE,10,2417,0,0,,0,0,,,
