event,snap_offset,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,0,6,3594,103,0.028659,0.942137,0.392456,13.694055,0.020739,0.029063,1.014108,0.255542,0.000000,0.500000,24,15,3476,79,0.615385,0.233010,0.338028,0.973845,39
TOP_100_PROSPECT,1,6,3363,75,0.022302,0.959027,0.465679,20.881039,0.015245,0.022392,1.004077,0.234800,0.000000,0.500000,20,13,3275,55,0.606061,0.266667,0.370370,0.979780,33
TOP_100_PROSPECT,2,6,3098,40,0.012912,0.962811,0.548537,42.484228,0.008357,0.013288,1.029126,0.180993,0.000000,0.500000,13,5,3053,27,0.722222,0.325000,0.448276,0.989671,18
TOP_100_PROSPECT,3,6,2805,16,0.005704,0.990028,0.449130,78.738018,0.004140,0.006011,1.053749,0.127839,0.000000,0.500000,2,0,2789,14,1.000000,0.125000,0.222222,0.995009,2
TOP_100_PROSPECT,4,6,2529,5,0.001977,0.990808,0.456469,230.881820,0.001336,0.002658,1.344437,0.075524,0.000144,0.500000,0,1,2523,5,0.000000,0.000000,,0.997628,1
TOP_100_PROSPECT,5,6,2280,0,0.000000,,,,0.000004,0.000310,,,,0.500000,0,0,2280,0,,,,1.000000,0
TOP_100_PROSPECT,6,6,2071,0,0.000000,,,,0.000000,0.000112,,,,0.500000,0,0,2071,0,,,,1.000000,0
TOP_100_PROSPECT,7,6,1866,0,0.000000,,,,0.000000,0.000071,,,,0.500000,0,0,1866,0,,,,1.000000,0
TOP_100_PROSPECT,8,6,1670,0,0.000000,,,,0.000000,0.000065,,,,0.500000,0,0,1670,0,,,,1.000000,0
TOP_100_PROSPECT,9,6,1499,0,0.000000,,,,0.000000,0.000066,,,,0.500000,0,0,1499,0,,,,1.000000,0
TOP_100_PROSPECT,10,6,1318,0,0.000000,,,,0.000000,0.000065,,,,0.500000,0,0,1318,0,,,,1.000000,0
