event,horizon_eval,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,1,1,32955,89,0.002701,0.994492,0.495434,183.449809,0.001833,0.002346,0.868630,0.088899,0.000000,0.600000,15,3,32863,74,0.833333,0.168539,0.280374,0.997663,18
MLB_DEBUT,1,1,33187,433,0.013047,0.978201,0.489706,37.533191,0.008714,0.012544,0.961451,0.187979,0.000000,0.600000,84,36,32718,349,0.700000,0.193995,0.303797,0.988399,120
ESTABLISHED_MLB,1,1,33187,2,0.000060,0.998403,0.038767,643.276709,0.000061,0.000216,3.576127,0.013403,0.014622,0.600000,0,0,33185,2,,0.000000,,0.999940,0
STAR_PLUS_ELITE,1,1,33187,1,0.000030,0.999397,0.047619,1580.333333,0.000030,0.000095,3.165028,0.009496,0.083646,0.600000,0,0,33186,1,,0.000000,,0.999970,0
TOP_100_PROSPECT,2,2,31881,159,0.004987,0.990132,0.535612,107.395319,0.003191,0.004332,0.868644,0.119605,0.000000,0.600000,38,15,31707,121,0.716981,0.238994,0.358491,0.995734,53
MLB_DEBUT,2,2,32107,827,0.025758,0.969548,0.602357,23.385570,0.014977,0.024763,0.961375,0.257666,0.000000,0.600000,239,60,31220,588,0.799331,0.288996,0.424512,0.979817,299
ESTABLISHED_MLB,2,2,32107,42,0.001308,0.989392,0.130662,99.884673,0.001209,0.001180,0.902418,0.061276,0.000000,0.600000,0,0,32065,42,,0.000000,,0.998692,0
STAR_PLUS_ELITE,2,2,32107,7,0.000218,0.994735,0.096706,443.560634,0.000210,0.000225,1.033604,0.025303,0.000006,0.600000,0,0,32100,7,,0.000000,,0.999782,0
TOP_100_PROSPECT,3,3,30609,200,0.006534,0.989092,0.566183,86.651445,0.004038,0.005684,0.869854,0.136505,0.000000,0.600000,54,18,30391,146,0.750000,0.270000,0.397059,0.994642,72
MLB_DEBUT,3,3,30829,1173,0.038049,0.960639,0.628940,16.529929,0.021492,0.037480,0.985067,0.305279,0.000000,0.600000,389,92,29564,784,0.808732,0.331628,0.470375,0.971585,481
ESTABLISHED_MLB,3,3,30829,142,0.004606,0.985132,0.304566,66.122942,0.003770,0.004000,0.868417,0.113792,0.000000,0.600000,1,0,30687,141,1.000000,0.007042,0.013986,0.995426,1
STAR_PLUS_ELITE,3,3,30829,17,0.000551,0.989424,0.097375,176.586743,0.000527,0.000560,1.015461,0.039802,0.000000,0.600000,0,0,30812,17,,0.000000,,0.999449,0
TOP_100_PROSPECT,4,4,29147,213,0.007308,0.987326,0.536430,73.405253,0.004649,0.006678,0.913853,0.143784,0.000000,0.600000,59,17,28917,154,0.776316,0.276995,0.408304,0.994133,76
MLB_DEBUT,4,4,29356,1405,0.047861,0.955580,0.641873,13.411257,0.026621,0.047791,0.998541,0.336895,0.000000,0.600000,476,118,27833,929,0.801347,0.338790,0.476238,0.964334,594
ESTABLISHED_MLB,4,4,29356,256,0.008721,0.980241,0.345262,39.591826,0.006827,0.007522,0.862603,0.154675,0.000000,0.600000,6,2,29098,250,0.750000,0.023438,0.045455,0.991416,8
STAR_PLUS_ELITE,4,4,29356,38,0.001294,0.983552,0.165333,127.724215,0.001194,0.001039,0.802500,0.060228,0.000000,0.600000,0,0,29318,38,,0.000000,,0.998706,0
TOP_100_PROSPECT,5,5,27489,209,0.007603,0.987170,0.546089,71.825051,0.004761,0.007376,0.970172,0.146591,0.000000,0.600000,61,19,27261,148,0.762500,0.291866,0.422145,0.993925,80
MLB_DEBUT,5,5,27685,1511,0.054578,0.953743,0.655056,12.002142,0.029711,0.055073,1.009059,0.357045,0.000000,0.600000,521,135,26039,990,0.794207,0.344805,0.480849,0.959364,656
ESTABLISHED_MLB,5,5,27685,360,0.013003,0.974826,0.369989,28.453180,0.009873,0.011459,0.881239,0.186343,0.000000,0.600000,8,3,27322,352,0.727273,0.022222,0.043127,0.987177,11
STAR_PLUS_ELITE,5,5,27685,61,0.002203,0.980731,0.148630,67.455981,0.002017,0.001686,0.765026,0.078083,0.000000,0.600000,0,0,27624,61,,0.000000,,0.997797,0
TOP_100_PROSPECT,6,6,25631,192,0.007491,0.987495,0.545733,72.852478,0.004700,0.007776,1.038028,0.145611,0.000000,0.600000,57,20,25419,135,0.740260,0.296875,0.423792,0.993953,77
