event,horizon_eval,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,1,1,33268,90,0.002705,0.993621,0.463316,171.262017,0.002025,0.001559,0.576295,0.088819,0.000000,0.600000,5,0,33178,85,1.000000,0.055556,0.105263,0.997445,5
MLB_DEBUT,1,1,33530,402,0.011989,0.972039,0.406824,33.932392,0.008822,0.013251,1.105269,0.177969,0.000000,0.600000,65,36,33092,337,0.643564,0.161692,0.258449,0.988876,101
ESTABLISHED_MLB,1,1,33530,2,0.000060,0.996317,0.011702,196.181345,0.000061,0.000172,2.876832,0.013278,0.015041,0.600000,0,0,33528,2,,0.000000,,0.999940,0
STAR_PLUS_ELITE,1,1,33530,1,0.000030,0.990605,0.003165,106.107595,0.000030,0.000109,3.651917,0.009281,0.089234,0.600000,0,0,33529,1,,0.000000,,0.999970,0
TOP_100_PROSPECT,2,2,32192,160,0.004970,0.988117,0.458968,92.344339,0.003673,0.002917,0.586939,0.118910,0.000000,0.600000,7,0,32032,153,1.000000,0.043750,0.083832,0.995247,7
MLB_DEBUT,2,2,32448,769,0.023699,0.962989,0.520639,21.968392,0.015630,0.026883,1.134333,0.243962,0.000000,0.600000,209,98,31581,560,0.680782,0.271782,0.388476,0.979721,307
ESTABLISHED_MLB,2,2,32448,35,0.001079,0.985828,0.174291,161.582760,0.000974,0.001377,1.276631,0.055243,0.000000,0.600000,0,0,32413,35,,0.000000,,0.998921,0
STAR_PLUS_ELITE,2,2,32448,7,0.000216,0.989625,0.165321,766.335553,0.000210,0.000274,1.269364,0.024909,0.000007,0.600000,0,0,32441,7,,0.000000,,0.999784,0
TOP_100_PROSPECT,3,3,30916,201,0.006501,0.986263,0.478252,73.560343,0.004677,0.004049,0.622837,0.135379,0.000000,0.600000,10,3,30712,191,0.769231,0.049751,0.093458,0.993725,13
MLB_DEBUT,3,3,31166,1090,0.034974,0.953033,0.558437,15.967193,0.022237,0.040465,1.156991,0.288312,0.000000,0.600000,342,136,29940,748,0.715481,0.313761,0.436224,0.971636,478
ESTABLISHED_MLB,3,3,31166,106,0.003401,0.980567,0.296177,87.081510,0.002850,0.004015,1.180534,0.096921,0.000000,0.600000,1,0,31060,105,1.000000,0.009434,0.018692,0.996631,1
STAR_PLUS_ELITE,3,3,31166,16,0.000513,0.983118,0.060217,117.294579,0.000501,0.000622,1.212028,0.037910,0.000000,0.600000,0,0,31150,16,,0.000000,,0.999487,0
TOP_100_PROSPECT,4,4,29449,214,0.007267,0.985365,0.466714,64.225580,0.005205,0.005048,0.694642,0.142806,0.000000,0.600000,18,5,29230,196,0.782609,0.084112,0.151899,0.993175,23
MLB_DEBUT,4,4,29688,1306,0.043991,0.947108,0.573446,13.035583,0.027568,0.052532,1.194161,0.317626,0.000000,0.600000,423,164,28218,883,0.720613,0.323890,0.446910,0.964733,587
ESTABLISHED_MLB,4,4,29688,184,0.006198,0.976274,0.316626,51.086891,0.005008,0.007044,1.136522,0.129484,0.000000,0.600000,6,1,29503,178,0.857143,0.032609,0.062827,0.993971,7
STAR_PLUS_ELITE,4,4,29688,36,0.001213,0.971728,0.176534,145.581745,0.001132,0.001081,0.891589,0.056869,0.000000,0.600000,0,0,29652,36,,0.000000,,0.998787,0
TOP_100_PROSPECT,5,5,27782,210,0.007559,0.984922,0.483080,63.909193,0.005314,0.005610,0.742237,0.145493,0.000000,0.600000,20,5,27567,190,0.800000,0.095238,0.170213,0.992981,25
MLB_DEBUT,5,5,28007,1406,0.050202,0.944751,0.582358,11.600361,0.031096,0.060836,1.211824,0.336421,0.000000,0.600000,454,182,26419,952,0.713836,0.322902,0.444662,0.959510,636
ESTABLISHED_MLB,5,5,28007,259,0.009248,0.973422,0.330047,35.689657,0.007366,0.010693,1.156325,0.156978,0.000000,0.600000,11,2,27746,248,0.846154,0.042471,0.080882,0.991074,13
STAR_PLUS_ELITE,5,5,28007,58,0.002071,0.968611,0.108798,52.536290,0.001948,0.001786,0.862443,0.073796,0.000000,0.600000,0,0,27949,58,,0.000000,,0.997929,0
TOP_100_PROSPECT,6,6,25911,193,0.007449,0.985133,0.468314,62.872934,0.005268,0.005912,0.793689,0.144499,0.000000,0.600000,21,6,25712,172,0.777778,0.108808,0.190909,0.993130,27
MLB_DEBUT,6,6,26122,1402,0.053671,0.944810,0.587503,10.946321,0.033053,0.066811,1.244813,0.347262,0.000000,0.600000,461,193,24527,941,0.704893,0.328816,0.448444,0.956588,654
ESTABLISHED_MLB,6,6,26122,322,0.012327,0.967695,0.329551,26.734570,0.009838,0.014425,1.170223,0.178766,0.000000,0.600000,19,7,25793,303,0.730769,0.059006,0.109195,0.988133,26
STAR_PLUS_ELITE,6,6,26122,74,0.002833,0.967289,0.123904,43.738111,0.002633,0.002537,0.895405,0.086035,0.000000,0.600000,0,0,26048,74,,0.000000,,0.997167,0
TOP_100_PROSPECT,7,7,23842,183,0.007676,0.984378,0.463795,60.425152,0.005427,0.006240,0.813028,0.146439,0.000000,0.600000,21,6,23653,162,0.777778,0.114754,0.200000,0.992954,27
MLB_DEBUT,7,7,24034,1349,0.056129,0.943666,0.585071,10.423725,0.034539,0.070561,1.257121,0.353749,0.000000,0.600000,452,195,22490,897,0.698609,0.335063,0.452906,0.954564,647
ESTABLISHED_MLB,7,7,24034,355,0.014771,0.965700,0.333212,22.558946,0.011673,0.018084,1.224321,0.194611,0.000000,0.600000,27,16,23663,328,0.627907,0.076056,0.135678,0.985687,43
STAR_PLUS_ELITE,7,7,24034,84,0.003495,0.966915,0.141322,40.434788,0.003196,0.003380,0.967053,0.095454,0.000000,0.600000,0,0,23950,84,,0.000000,,0.996505,0
TOP_100_PROSPECT,8,8,21766,171,0.007856,0.983300,0.451067,57.414750,0.005596,0.006493,0.826483,0.147810,0.000000,0.600000,17,6,21589,154,0.739130,0.099415,0.175258,0.992649,23
MLB_DEBUT,8,8,21938,1257,0.057298,0.943156,0.572457,9.990899,0.035630,0.072822,1.270931,0.356783,0.000000,0.600000,414,186,20495,843,0.690000,0.329356,0.445880,0.953095,600
ESTABLISHED_MLB,8,8,21938,365,0.016638,0.963901,0.342524,20.587105,0.013141,0.021001,1.262274,0.205552,0.000000,0.600000,33,19,21554,332,0.634615,0.090411,0.158273,0.984000,52
STAR_PLUS_ELITE,8,8,21938,92,0.004194,0.966328,0.161241,38.448975,0.003783,0.004121,0.982751,0.104391,0.000000,0.600000,0,0,21846,92,,0.000000,,0.995806,0
TOP_100_PROSPECT,9,9,19658,157,0.007987,0.982474,0.440111,55.106333,0.005740,0.006683,0.836807,0.148766,0.000000,0.600000,15,5,19496,142,0.750000,0.095541,0.169492,0.992522,20
MLB_DEBUT,9,9,19810,1142,0.057648,0.940849,0.555582,9.637541,0.036560,0.074253,1.288056,0.355941,0.000000,0.600000,368,185,18483,774,0.665461,0.322242,0.434218,0.951590,553
ESTABLISHED_MLB,9,9,19810,356,0.017971,0.962262,0.335223,18.653865,0.014319,0.023491,1.307159,0.212728,0.000000,0.600000,34,24,19430,322,0.586207,0.095506,0.164251,0.982534,58
STAR_PLUS_ELITE,9,9,19810,101,0.005098,0.963931,0.155060,30.413247,0.004609,0.004821,0.945549,0.114460,0.000000,0.600000,0,0,19709,101,,0.000000,,0.994902,0
TOP_100_PROSPECT,10,10,17462,144,0.008246,0.982361,0.433285,52.541764,0.005934,0.006975,0.845812,0.151112,0.000000,0.600000,14,5,17313,130,0.736842,0.097222,0.171779,0.992269,19
MLB_DEBUT,10,10,17588,1020,0.057994,0.938621,0.547225,9.435868,0.037224,0.075313,1.298628,0.355139,0.000000,0.600000,325,168,16400,695,0.659229,0.318627,0.429610,0.950932,493
ESTABLISHED_MLB,10,10,17588,334,0.018990,0.962067,0.345428,18.189778,0.014921,0.024473,1.288692,0.218473,0.000000,0.600000,31,22,17232,303,0.584906,0.092814,0.160207,0.981521,53
STAR_PLUS_ELITE,10,10,17588,104,0.005913,0.964121,0.163828,27.705791,0.005314,0.005146,0.870248,0.123266,0.000000,0.600000,0,0,17484,104,,0.000000,,0.994087,0
