event,snap_offset,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,0,6,3504,86,0.024543,0.960483,0.444228,18.099703,0.017715,0.019330,0.787576,0.246817,0.000000,0.600000,12,6,3412,74,0.666667,0.139535,0.230769,0.977169,18
TOP_100_PROSPECT,1,6,3269,59,0.018048,0.971149,0.592168,32.810127,0.011749,0.013444,0.744867,0.217277,0.000000,0.600000,6,0,3210,53,1.000000,0.101695,0.184615,0.983787,6
TOP_100_PROSPECT,2,6,3021,31,0.010262,0.979070,0.572491,55.790187,0.006851,0.008855,0.862966,0.167246,0.000000,0.600000,3,0,2990,28,1.000000,0.096774,0.176471,0.990732,3
TOP_100_PROSPECT,3,6,2760,13,0.004710,0.974714,0.283683,60.228065,0.004196,0.003581,0.760324,0.112594,0.000000,0.600000,0,0,2747,13,,0.000000,,0.995290,0
TOP_100_PROSPECT,4,6,2513,4,0.001592,0.977381,0.185565,116.581510,0.001485,0.001246,0.782916,0.065924,0.000944,0.600000,0,0,2509,4,,0.000000,,0.998408,0
TOP_100_PROSPECT,5,6,2288,0,0.000000,,,,0.000003,0.000355,,,,0.600000,0,0,2288,0,,,,1.000000,0
TOP_100_PROSPECT,6,6,2092,0,0.000000,,,,0.000000,0.000166,,,,0.600000,0,0,2092,0,,,,1.000000,0
TOP_100_PROSPECT,7,6,1891,0,0.000000,,,,0.000000,0.000109,,,,0.600000,0,0,1891,0,,,,1.000000,0
TOP_100_PROSPECT,8,6,1702,0,0.000000,,,,0.000000,0.000098,,,,0.600000,0,0,1702,0,,,,1.000000,0
TOP_100_PROSPECT,9,6,1528,0,0.000000,,,,0.000000,0.000073,,,,0.600000,0,0,1528,0,,,,1.000000,0
TOP_100_PROSPECT,10,6,1343,0,0.000000,,,,0.000000,0.000068,,,,0.600000,0,0,1343,0,,,,1.000000,0
MLB_DEBUT,0,6,3524,337,0.095630,0.883085,0.494241,5.168266,0.063586,0.107719,1.126415,0.390262,0.000000,0.600000,60,27,3160,277,0.689655,0.178042,0.283019,0.913734,87
MLB_DEBUT,1,6,3297,321,0.097361,0.912686,0.601955,6.182692,0.057643,0.112262,1.153043,0.423799,0.000000,0.600000,94,39,2937,227,0.706767,0.292835,0.414097,0.919321,133
MLB_DEBUT,2,6,3062,284,0.092750,0.937802,0.678787,7.318475,0.050967,0.126765,1.366737,0.439935,0.000000,0.600000,138,55,2723,146,0.715026,0.485915,0.578616,0.934357,193
MLB_DEBUT,3,6,2796,194,0.069385,0.951544,0.689419,9.936169,0.038460,0.097257,1.401704,0.397473,0.000000,0.600000,89,31,2571,105,0.741667,0.458763,0.566879,0.951359,120
MLB_DEBUT,4,6,2541,124,0.048800,0.950248,0.643327,13.183017,0.028781,0.064640,1.324589,0.336037,0.000000,0.600000,53,25,2392,71,0.679487,0.427419,0.524752,0.962220,78
MLB_DEBUT,5,6,2304,63,0.027344,0.945199,0.494101,18.069964,0.019519,0.036915,1.350047,0.251509,0.000000,0.600000,18,7,2234,45,0.720000,0.285714,0.409091,0.977431,25
MLB_DEBUT,6,6,2104,37,0.017586,0.955256,0.382358,21.742763,0.014025,0.021048,1.196871,0.207287,0.000000,0.600000,7,5,2062,30,0.583333,0.189189,0.285714,0.983365,12
MLB_DEBUT,7,6,1899,21,0.011058,0.966530,0.270061,24.421199,0.009628,0.010685,0.966269,0.169006,0.000000,0.600000,1,2,1876,20,0.333333,0.047619,0.083333,0.988415,3
MLB_DEBUT,8,6,1710,12,0.007018,0.949892,0.243370,34.680248,0.006499,0.006675,0.951250,0.130096,0.000000,0.600000,1,1,1697,11,0.500000,0.083333,0.142857,0.992982,2
MLB_DEBUT,9,6,1535,7,0.004560,0.971298,0.284190,62.318912,0.004028,0.003982,0.873150,0.109999,0.000016,0.600000,0,1,1527,7,0.000000,0.000000,,0.994788,1
MLB_DEBUT,10,6,1350,2,0.001481,0.920623,0.067285,45.417165,0.001855,0.002971,2.005124,0.056042,0.039513,0.600000,0,0,1348,2,,0.000000,,0.998519,0
ESTABLISHED_MLB,0,6,3524,84,0.023837,0.923052,0.288264,12.093344,0.019558,0.022065,0.925668,0.223546,0.000000,0.600000,2,1,3439,82,0.666667,0.023810,0.045977,0.976447,3
ESTABLISHED_MLB,1,6,3297,85,0.025781,0.940528,0.399109,15.480726,0.019319,0.026080,1.011604,0.241848,0.000000,0.600000,6,2,3210,79,0.750000,0.070588,0.129032,0.975432,8
ESTABLISHED_MLB,2,6,3062,77,0.025147,0.960117,0.409912,16.300658,0.018797,0.030757,1.223108,0.249558,0.000000,0.600000,6,3,2982,71,0.666667,0.077922,0.139535,0.975833,9
ESTABLISHED_MLB,3,6,2796,43,0.015379,0.966396,0.316014,20.548249,0.012901,0.021315,1.385975,0.198813,0.000000,0.600000,3,0,2753,40,1.000000,0.069767,0.130435,0.985694,3
ESTABLISHED_MLB,4,6,2541,23,0.009052,0.979245,0.358446,39.600495,0.007267,0.013376,1.477704,0.157230,0.000000,0.600000,2,1,2517,21,0.666667,0.086957,0.153846,0.991342,3
ESTABLISHED_MLB,5,6,2304,5,0.002170,0.979730,0.080408,37.052063,0.002900,0.006509,2.999384,0.077332,0.000203,0.600000,0,0,2299,5,,0.000000,,0.997830,0
ESTABLISHED_MLB,6,6,2104,3,0.001426,0.966365,0.045899,32.190738,0.001638,0.002858,2.004427,0.060960,0.005156,0.600000,0,0,2101,3,,0.000000,,0.998574,0
ESTABLISHED_MLB,7,6,1899,1,0.000527,0.976291,0.021739,41.282609,0.000586,0.001121,2.129378,0.037852,0.099150,0.600000,0,0,1898,1,,0.000000,,0.999473,0
ESTABLISHED_MLB,8,6,1710,1,0.000585,0.991223,0.062500,106.875000,0.000597,0.000683,1.168602,0.041138,0.089013,0.600000,0,0,1709,1,,0.000000,,0.999415,0
ESTABLISHED_MLB,9,6,1535,0,0.000000,,,,0.000009,0.000376,,,,0.600000,0,0,1535,0,,,,1.000000,0
ESTABLISHED_MLB,10,6,1350,0,0.000000,,,,0.000009,0.000312,,,,0.600000,0,0,1350,0,,,,1.000000,0
STAR_PLUS_ELITE,0,6,3524,23,0.006527,0.930144,0.060696,9.299623,0.006481,0.004668,0.715263,0.119986,0.000000,0.600000,0,0,3501,23,,0.000000,,0.993473,0
STAR_PLUS_ELITE,1,6,3297,19,0.005763,0.943724,0.195932,33.999418,0.005209,0.004796,0.832169,0.116350,0.000000,0.600000,0,0,3278,19,,0.000000,,0.994237,0
