event,horizon_eval,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,1,1,33268,90,0.002705,0.995670,0.525007,194.065937,0.001732,0.002576,0.952127,0.089187,0.000000,0.600000,18,8,33170,72,0.692308,0.200000,0.310345,0.997595,26
MLB_DEBUT,1,1,33530,402,0.011989,0.974015,0.450991,37.616213,0.008481,0.011857,0.988978,0.178715,0.000000,0.600000,47,13,33115,355,0.783333,0.116915,0.203463,0.989025,60
ESTABLISHED_MLB,1,1,33530,2,0.000060,0.998658,0.031513,528.308824,0.000063,0.000206,3.452937,0.013341,0.014571,0.600000,0,0,33528,2,,0.000000,,0.999940,0
STAR_PLUS_ELITE,1,1,33530,1,0.000030,0.999075,0.031250,1047.812500,0.000030,0.000100,3.341088,0.009441,0.083846,0.600000,0,0,33529,1,,0.000000,,0.999970,0
TOP_100_PROSPECT,2,2,32192,160,0.004970,0.989891,0.522677,105.162680,0.003176,0.004525,0.910406,0.119342,0.000000,0.600000,40,14,32018,120,0.740741,0.250000,0.373832,0.995837,54
MLB_DEBUT,2,2,32448,769,0.023699,0.964896,0.550846,23.242961,0.014985,0.023624,0.996826,0.244967,0.000000,0.600000,165,39,31640,604,0.808824,0.214564,0.339157,0.980184,204
ESTABLISHED_MLB,2,2,32448,35,0.001079,0.988706,0.184166,170.738026,0.000956,0.001136,1.053265,0.055570,0.000000,0.600000,0,0,32413,35,,0.000000,,0.998921,0
STAR_PLUS_ELITE,2,2,32448,7,0.000216,0.989083,0.056954,264.007076,0.000211,0.000286,1.323881,0.024882,0.000007,0.600000,0,0,32441,7,,0.000000,,0.999784,0
TOP_100_PROSPECT,3,3,30916,201,0.006501,0.988297,0.565049,86.910708,0.004008,0.005957,0.916231,0.135945,0.000000,0.600000,59,16,30699,142,0.786667,0.293532,0.427536,0.994889,75
MLB_DEBUT,3,3,31166,1090,0.034974,0.955866,0.578106,16.529595,0.021426,0.035407,1.012382,0.290115,0.000000,0.600000,289,73,30003,801,0.798343,0.265138,0.398072,0.971957,362
ESTABLISHED_MLB,3,3,31166,106,0.003401,0.984110,0.268269,78.876047,0.002844,0.003174,0.933138,0.097635,0.000000,0.600000,0,1,31059,106,0.000000,0.000000,,0.996567,1
STAR_PLUS_ELITE,3,3,31166,16,0.000513,0.979843,0.058581,114.108592,0.000506,0.000635,1.236644,0.037653,0.000000,0.600000,0,0,31150,16,,0.000000,,0.999487,0
TOP_100_PROSPECT,4,4,29449,214,0.007267,0.987374,0.544391,74.914807,0.004603,0.006989,0.961758,0.143397,0.000000,0.600000,64,19,29216,150,0.771084,0.299065,0.430976,0.994261,83
MLB_DEBUT,4,4,29688,1306,0.043991,0.950133,0.591946,13.456111,0.026442,0.044727,1.016734,0.319774,0.000000,0.600000,367,98,28284,939,0.789247,0.281011,0.414455,0.965070,465
ESTABLISHED_MLB,4,4,29688,184,0.006198,0.979805,0.297862,48.059455,0.005005,0.005872,0.947456,0.130444,0.000000,0.600000,6,4,29500,178,0.600000,0.032609,0.061856,0.993870,10
STAR_PLUS_ELITE,4,4,29688,36,0.001213,0.978262,0.155735,128.429542,0.001116,0.001220,1.005915,0.057657,0.000000,0.600000,0,0,29652,36,,0.000000,,0.998787,0
TOP_100_PROSPECT,5,5,27782,210,0.007559,0.987063,0.544288,72.006774,0.004766,0.007715,1.020685,0.146136,0.000000,0.600000,61,21,27551,149,0.743902,0.290476,0.417808,0.993881,82
MLB_DEBUT,5,5,28007,1406,0.050202,0.947777,0.601874,11.989104,0.029643,0.051265,1.021172,0.338710,0.000000,0.600000,399,116,26485,1007,0.774757,0.283784,0.415409,0.959903,515
ESTABLISHED_MLB,5,5,28007,259,0.009248,0.976658,0.319262,34.523459,0.007286,0.008787,0.950155,0.158051,0.000000,0.600000,6,4,27744,253,0.600000,0.023166,0.044610,0.990824,10
STAR_PLUS_ELITE,5,5,28007,58,0.002071,0.976810,0.139634,67.426524,0.001900,0.001866,0.900943,0.075087,0.000000,0.600000,0,0,27949,58,,0.000000,,0.997929,0
TOP_100_PROSPECT,6,6,25911,193,0.007449,0.987433,0.529559,71.095386,0.004782,0.008089,1.086013,0.145184,0.000000,0.600000,55,22,25696,138,0.714286,0.284974,0.407407,0.993825,77
MLB_DEBUT,6,6,26122,1402,0.053671,0.946942,0.604567,11.264258,0.031477,0.055586,1.035670,0.348926,0.000000,0.600000,407,123,24597,995,0.767925,0.290300,0.421325,0.957201,530
ESTABLISHED_MLB,6,6,26122,322,0.012327,0.972573,0.328189,26.624045,0.009601,0.011491,0.932206,0.180630,0.000000,0.600000,11,5,25795,311,0.687500,0.034161,0.065089,0.987903,16
STAR_PLUS_ELITE,6,6,26122,74,0.002833,0.973731,0.149115,52.637764,0.002576,0.002486,0.877498,0.087221,0.000000,0.600000,0,0,26048,74,,0.000000,,0.997167,0
TOP_100_PROSPECT,7,7,23842,183,0.007676,0.986877,0.532776,69.412289,0.004908,0.008508,1.108437,0.147194,0.000000,0.600000,53,21,23638,130,0.716216,0.289617,0.412451,0.993667,74
MLB_DEBUT,7,7,24034,1349,0.056129,0.945243,0.601964,10.724696,0.032864,0.058125,1.035563,0.355007,0.000000,0.600000,399,124,22561,950,0.762906,0.295775,0.426282,0.955313,523
ESTABLISHED_MLB,7,7,24034,355,0.014771,0.970283,0.343922,23.284022,0.011313,0.013990,0.947165,0.196526,0.000000,0.600000,13,7,23672,342,0.650000,0.036620,0.069333,0.985479,20
STAR_PLUS_ELITE,7,7,24034,84,0.003495,0.972452,0.159319,45.584082,0.003154,0.003112,0.890467,0.096586,0.000000,0.600000,0,0,23950,84,,0.000000,,0.996505,0
TOP_100_PROSPECT,8,8,21766,171,0.007856,0.986314,0.541513,68.927314,0.005006,0.008856,1.127195,0.148732,0.000000,0.600000,50,19,21576,121,0.724638,0.292398,0.416667,0.993568,69
MLB_DEBUT,8,8,21938,1257,0.057298,0.943917,0.590537,10.306444,0.033849,0.059721,1.042291,0.357395,0.000000,0.600000,372,126,20555,885,0.746988,0.295943,0.423932,0.953916,498
ESTABLISHED_MLB,8,8,21938,365,0.016638,0.968371,0.338742,20.359809,0.012758,0.016045,0.964360,0.207532,0.000000,0.600000,11,8,21565,354,0.578947,0.030137,0.057292,0.983499,19
STAR_PLUS_ELITE,8,8,21938,92,0.004194,0.971360,0.170805,40.729502,0.003751,0.003620,0.863184,0.105518,0.000000,0.600000,0,0,21846,92,,0.000000,,0.995806,0
TOP_100_PROSPECT,9,9,19658,157,0.007987,0.985772,0.540079,67.623375,0.005108,0.009207,1.152867,0.149783,0.000000,0.600000,46,18,19483,111,0.718750,0.292994,0.416290,0.993438,64
MLB_DEBUT,9,9,19810,1142,0.057648,0.941522,0.575551,9.983938,0.034531,0.060950,1.057280,0.356484,0.000000,0.600000,342,119,18549,800,0.741866,0.299475,0.426700,0.953609,461
ESTABLISHED_MLB,9,9,19810,356,0.017971,0.966241,0.334395,18.607781,0.013800,0.017703,0.985092,0.214559,0.000000,0.600000,11,10,19444,345,0.523810,0.030899,0.058355,0.982080,21
STAR_PLUS_ELITE,9,9,19810,101,0.005098,0.969140,0.172516,33.837034,0.004568,0.004008,0.786163,0.115745,0.000000,0.600000,0,0,19709,101,,0.000000,,0.994902,0
TOP_100_PROSPECT,10,10,17462,144,0.008246,0.985705,0.537943,65.233041,0.005289,0.009633,1.168192,0.152160,0.000000,0.600000,44,18,17300,100,0.709677,0.305556,0.427184,0.993242,62
MLB_DEBUT,10,10,17588,1020,0.057994,0.938471,0.569202,9.814829,0.035188,0.062216,1.072797,0.355017,0.000000,0.600000,306,115,16453,714,0.726841,0.300000,0.424705,0.952866,421
ESTABLISHED_MLB,10,10,17588,334,0.018990,0.965912,0.340955,17.954249,0.014422,0.018884,0.994380,0.220291,0.000000,0.600000,12,13,17241,322,0.480000,0.035928,0.066852,0.980953,25
STAR_PLUS_ELITE,10,10,17588,104,0.005913,0.968193,0.177342,29.991225,0.005288,0.004293,0.725981,0.124347,0.000000,0.600000,0,0,17484,104,,0.000000,,0.994087,0
