event,snap_offset,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,0,6,3504,86,0.024543,0.956843,0.461010,18.783478,0.017308,0.027770,1.131463,0.244866,0.000000,0.600000,24,18,3400,62,0.571429,0.279070,0.375000,0.977169,42
TOP_100_PROSPECT,1,6,3269,59,0.018048,0.978352,0.621325,34.425625,0.010593,0.018749,1.038804,0.220598,0.000000,0.600000,17,3,3207,42,0.850000,0.288136,0.430380,0.986234,20
TOP_100_PROSPECT,2,6,3021,31,0.010262,0.985176,0.654344,63.766892,0.005721,0.010301,1.003824,0.169378,0.000000,0.600000,12,0,2990,19,1.000000,0.387097,0.558140,0.993711,12
TOP_100_PROSPECT,3,6,2760,13,0.004710,0.983815,0.499320,106.009384,0.003060,0.004772,1.013098,0.114752,0.000000,0.600000,2,1,2746,11,0.666667,0.153846,0.250000,0.995652,3
TOP_100_PROSPECT,4,6,2513,4,0.001592,0.991530,0.553431,347.693260,0.001145,0.002173,1.365298,0.067878,0.000662,0.600000,0,0,2509,4,,0.000000,,0.998408,0
TOP_100_PROSPECT,5,6,2288,0,0.000000,,,,0.000005,0.000273,,,,0.600000,0,0,2288,0,,,,1.000000,0
TOP_100_PROSPECT,6,6,2092,0,0.000000,,,,0.000001,0.000111,,,,0.600000,0,0,2092,0,,,,1.000000,0
TOP_100_PROSPECT,7,6,1891,0,0.000000,,,,0.000000,0.000065,,,,0.600000,0,0,1891,0,,,,1.000000,0
TOP_100_PROSPECT,8,6,1702,0,0.000000,,,,0.000000,0.000067,,,,0.600000,0,0,1702,0,,,,1.000000,0
TOP_100_PROSPECT,9,6,1528,0,0.000000,,,,0.000000,0.000056,,,,0.600000,0,0,1528,0,,,,1.000000,0
TOP_100_PROSPECT,10,6,1343,0,0.000000,,,,0.000000,0.000056,,,,0.600000,0,0,1343,0,,,,1.000000,0
MLB_DEBUT,0,6,3524,337,0.095630,0.892824,0.510430,5.337551,0.061725,0.101265,1.058930,0.400183,0.000000,0.600000,64,25,3162,273,0.719101,0.189911,0.300469,0.915437,89
MLB_DEBUT,1,6,3297,321,0.097361,0.913309,0.603448,6.198031,0.056824,0.100131,1.028447,0.424439,0.000000,0.600000,94,33,2943,227,0.740157,0.292835,0.419643,0.921140,127
MLB_DEBUT,2,6,3062,284,0.092750,0.938276,0.678462,7.314967,0.048015,0.095904,1.034009,0.440412,0.000000,0.600000,108,37,2741,176,0.744828,0.380282,0.503497,0.930438,145
MLB_DEBUT,3,6,2796,194,0.069385,0.952346,0.701455,10.109630,0.035415,0.072959,1.051518,0.398180,0.000000,0.600000,76,14,2588,118,0.844444,0.391753,0.535211,0.952790,90
MLB_DEBUT,4,6,2541,124,0.048800,0.949915,0.673754,13.806532,0.026196,0.051097,1.047079,0.335788,0.000000,0.600000,49,9,2408,75,0.844828,0.395161,0.538462,0.966942,58
MLB_DEBUT,5,6,2304,63,0.027344,0.935013,0.477877,17.476644,0.018993,0.028380,1.037913,0.245755,0.000000,0.600000,10,4,2237,53,0.714286,0.158730,0.259740,0.975260,14
MLB_DEBUT,6,6,2104,37,0.017586,0.946979,0.416910,23.707511,0.012939,0.017184,0.977143,0.203518,0.000000,0.600000,4,1,2066,33,0.800000,0.108108,0.190476,0.983840,5
MLB_DEBUT,7,6,1899,21,0.011058,0.971525,0.454527,41.102265,0.008079,0.009641,0.871790,0.170816,0.000000,0.600000,1,0,1878,20,1.000000,0.047619,0.090909,0.989468,1
MLB_DEBUT,8,6,1710,12,0.007018,0.935169,0.312717,44.562177,0.005876,0.005971,0.850883,0.125838,0.000000,0.600000,1,0,1698,11,1.000000,0.083333,0.153846,0.993567,1
MLB_DEBUT,9,6,1535,7,0.004560,0.968306,0.290994,63.810857,0.004101,0.002902,0.636330,0.109301,0.000018,0.600000,0,0,1528,7,,0.000000,,0.995440,0
MLB_DEBUT,10,6,1350,2,0.001481,0.877596,0.025943,17.511327,0.001545,0.002232,1.506410,0.050309,0.064613,0.600000,0,0,1348,2,,0.000000,,0.998519,0
ESTABLISHED_MLB,0,6,3524,84,0.023837,0.929970,0.251063,10.532688,0.020020,0.021561,0.904515,0.227202,0.000000,0.600000,1,1,3439,83,0.500000,0.011905,0.023256,0.976163,2
ESTABLISHED_MLB,1,6,3297,85,0.025781,0.942759,0.345596,13.405053,0.019814,0.023732,0.920521,0.243073,0.000000,0.600000,4,2,3210,81,0.666667,0.047059,0.087912,0.974826,6
ESTABLISHED_MLB,2,6,3062,77,0.025147,0.962740,0.387896,15.425165,0.018476,0.022053,0.876955,0.250981,0.000000,0.600000,3,2,2983,74,0.600000,0.038961,0.073171,0.975180,5
ESTABLISHED_MLB,3,6,2796,43,0.015379,0.975798,0.400227,26.024094,0.011519,0.014794,0.961960,0.202821,0.000000,0.600000,2,0,2753,41,1.000000,0.046512,0.088889,0.985336,2
ESTABLISHED_MLB,4,6,2541,23,0.009052,0.981991,0.493995,54.575734,0.006558,0.008736,0.965188,0.158131,0.000000,0.600000,1,0,2518,22,1.000000,0.043478,0.083333,0.991342,1
ESTABLISHED_MLB,5,6,2304,5,0.002170,0.987734,0.130379,60.078470,0.002070,0.003485,1.605837,0.078622,0.000158,0.600000,0,0,2299,5,,0.000000,,0.997830,0
ESTABLISHED_MLB,6,6,2104,3,0.001426,0.971284,0.196846,138.054393,0.001318,0.001802,1.263679,0.061603,0.004703,0.600000,0,0,2101,3,,0.000000,,0.998574,0
ESTABLISHED_MLB,7,6,1899,1,0.000527,0.998946,0.333333,633.000000,0.000482,0.000858,1.629829,0.039652,0.084080,0.600000,0,0,1898,1,,0.000000,,0.999473,0
ESTABLISHED_MLB,8,6,1710,1,0.000585,0.995319,0.111111,190.000000,0.000590,0.000503,0.859840,0.041481,0.086379,0.600000,0,0,1709,1,,0.000000,,0.999415,0
ESTABLISHED_MLB,9,6,1535,0,0.000000,,,,0.000001,0.000199,,,,0.600000,0,0,1535,0,,,,1.000000,0
ESTABLISHED_MLB,10,6,1350,0,0.000000,,,,0.000002,0.000180,,,,0.600000,0,0,1350,0,,,,1.000000,0
STAR_PLUS_ELITE,0,6,3524,23,0.006527,0.940514,0.122453,18.761900,0.006092,0.005719,0.876230,0.122878,0.000000,0.600000,0,0,3501,23,,0.000000,,0.993473,0
STAR_PLUS_ELITE,1,6,3297,19,0.005763,0.962975,0.198626,34.466900,0.005062,0.005618,0.974894,0.121398,0.000000,0.600000,0,0,3278,19,,0.000000,,0.994237,0
STAR_PLUS_ELITE,2,6,3062,18,0.005879,0.969174,0.250776,42.659724,0.005214,0.004356,0.741017,0.124245,0.000000,0.600000,0,0,3044,18,,0.000000,,0.994121,0
STAR_PLUS_ELITE,3,6,2796,8,0.002861,0.972785,0.166921,58.338853,0.002616,0.002669,0.932724,0.087480,0.000004,0.600000,0,0,2788,8,,0.000000,,0.997139,0
STAR_PLUS_ELITE,4,6,2541,4,0.001574,0.975562,0.082827,52.615831,0.001506,0.001348,0.856593,0.065311,0.000987,0.600000,0,0,2537,4,,0.000000,,0.998426,0
STAR_PLUS_ELITE,5,6,2304,0,0.000000,,,,0.000010,0.000476,,,,0.600000,0,0,2304,0,,,,1.000000,0
STAR_PLUS_ELITE,6,6,2104,0,0.000000,,,,0.000004,0.000236,,,,0.600000,0,0,2104,0,,,,1.000000,0
STAR_PLUS_ELITE,7,6,1899,1,0.000527,0.980506,0.026316,49.973684,0.000526,0.000092,0.175243,0.038187,0.096194,0.600000,0,0,1898,1,,0.000000,,0.999473,0
