player_id,name,card_year,denominator,n_listings,n_auctions,n_fixed,price_min,price_p25,price_median,price_mean,price_p75,price_max,lowest_buynow_price,lowest_buynow_url,top_listing_url,top_listing_title,has_market,snapshot_date
draft_2022_karson_milbrandt_r3p90,Karson Milbrandt,2023,0,5,0,5,15.0,20.0,24.99,41.994,49.99,99.99,15.0,https://www.ebay.com/itm/358768395700?_skw=%22Karson+Milbrandt%22+1st+Bowman+Chrome+auto&hash=item53884345b4:g:3wsAAeSwYclqTWkn,https://www.ebay.com/itm/358768395700?_skw=%22Karson+Milbrandt%22+1st+Bowman+Chrome+auto&hash=item53884345b4:g:3wsAAeSwYclqTWkn,Karson Milbrandt IP signed Marlins 1st Bowman Chrome refractor auto ,1,2026-07-19
ifa_672487,Helcris Olivárez,2017,0,0,0,0,,,,,,,,,,,0,2026-07-19
ifa_702910,Jhancarlos Lara,2022,0,0,0,0,,,,,,,,,,,0,2026-07-19
draft_2021_nathan_lavender_r14p412,Nathan Lavender,2022,0,0,0,0,,,,,,,,,,,0,2026-07-19
ifa_678746,Diego Hernandez,2018,0,10,0,10,2.49,5.960000000000001,8.995000000000001,23.04,18.4925,115.0,2.49,https://www.ebay.com/itm/407043836764?_skw=%22Diego+Hernandez%22+1st+Bowman+Chrome+auto&hash=item5ec5b40b5c:g:0g8AAeSw3bJqRqdH,https://www.ebay.com/itm/407043836764?_skw=%22Diego+Hernandez%22+1st+Bowman+Chrome+auto&hash=item5ec5b40b5c:g:0g8AAeSw3bJqRqdH,2023 1st Bowman Chrome Prospect Autographs Diego Hernandez Auto #CPA-DH Royals,1,2026-07-19
ifa_682785,Angel Bastardo,2019,0,0,0,0,,,,,,,,,,,0,2026-07-19
draft_2019_carson_coleman_r33p998,Carson Coleman,2020,0,0,0,0,,,,,,,,,,,0,2026-07-19
draft_2025_marek_houston_r1p16,Marek Houston,2026,0,36,1,36,24.95,30.0,36.0,39.626666666666665,40.6225,99.99,24.95,https://www.ebay.com/itm/287367620929?_skw=%22Marek+Houston%22+1st+Bowman+Chrome+auto&hash=item42e871e941:g:IBMAAeSw2ItqHaAR,https://www.ebay.com/itm/287367620929?_skw=%22Marek+Houston%22+1st+Bowman+Chrome+auto&hash=item42e871e941:g:IBMAAeSw2ItqHaAR,2026 Bowman Marek Houston 1st Bowman Auto Chrome On Card Auto Twins,1,2026-07-19
draft_2015_cd_pelham_r33p978,C.D. Pelham,2016,0,0,0,0,,,,,,,,,,,0,2026-07-19
draft_2019_noah_song_r4p137,Noah Song,2020,0,7,0,7,10.56,14.995000000000001,19.99,25.501428571428573,33.99,49.99,10.56,https://www.ebay.com/itm/198406819116?_skw=%22Noah+Song%22+1st+Bowman+Chrome+auto&hash=item2e31f7cd2c:g:0lQAAOSwfcxkAEgm,https://www.ebay.com/itm/198406819116?_skw=%22Noah+Song%22+1st+Bowman+Chrome+auto&hash=item2e31f7cd2c:g:0lQAAOSwfcxkAEgm,2019 Bowman Chrome 1st BDC99 Noah Song Philadelphia Phillies Signed Auto,1,2026-07-19
draft_2017_dylan_file_r21p624,Dylan File,2018,0,26,0,26,0.99,3.6225,4.74,10.334615384615384,6.8475,99.95,0.99,https://www.ebay.com/itm/256651066013?_skw=%22Dylan+File%22+1st+Bowman+Chrome+auto&hash=item3bc1987a9d:g:n6oAAOSwA1RmxT~2,https://www.ebay.com/itm/256651066013?_skw=%22Dylan+File%22+1st+Bowman+Chrome+auto&hash=item3bc1987a9d:g:n6oAAOSwA1RmxT~2,2020 Bowman Chrome Dylan File 1st Bowman Auto Milwaukee Brewers,1,2026-07-19
ifa_681643,Freddy Pacheco,2018,0,0,0,0,,,,,,,,,,,0,2026-07-19
draft_2023_bradley_stewart_r17p500,Bradley Stewart,2024,0,0,0,0,,,,,,,,,,,0,2026-07-19
draft_2025_caden_bodine_r1p30,Caden Bodine,2026,0,36,0,36,20.0,38.8725,43.5,77.82888888888888,59.9925,986.99,20.0,https://www.ebay.com/itm/298486369687?_skw=%22Caden+Bodine%22+1st+Bowman+Chrome+auto&hash=item457f2c8d97:g:9GEAAeSw3nlqTJPv,https://www.ebay.com/itm/298486369687?_skw=%22Caden+Bodine%22+1st+Bowman+Chrome+auto&hash=item457f2c8d97:g:9GEAAeSw3nlqTJPv,Bowman Chrome 2025 1st Bowman IP Auto Caden Bodine Orioles BDC-63,1,2026-07-19
ifa_828599,Lucas Spence,2024,0,0,0,0,,,,,,,,,,,0,2026-07-19
draft_2024_ryan_gallagher_r6p182,Ryan Gallagher,2025,0,0,0,0,,,,,,,,,,,0,2026-07-19
