player_id,name,card_year,denominator,draft_year,draft_round,is_international,bucket,debut_year,debut_date,days_since_debut,games_pitched,games_batted,innings_pitched,ip_per_game,role,primary_position,current_org,n_listings,n_auctions,n_fixed,price_min,price_p25,price_median,price_mean,price_p75,price_max,lowest_buynow_price,lowest_buynow_url,top_listing_url,top_listing_title,has_market,snapshot_date
draft_2022_henry_bolte_r2p56,Henry Bolte,2023,0,2022,2,0,R2-R3,2026,2026-05-13,19,,17,,,BAT,OF,Oakland Athletics,8,0,8,35.0,80.0,269.99,202.495,296.7425,309.99,35.0,https://www.ebay.com/itm/267672892970?_skw=%22Henry+Bolte%22+1st+Bowman+Chrome+auto&hash=item3e528c362a:g:CCIAAeSwSptqCl7h,https://www.ebay.com/itm/267672892970?_skw=%22Henry+Bolte%22+1st+Bowman+Chrome+auto&hash=item3e528c362a:g:CCIAAeSwSptqCl7h,2022 Bowman Chrome Draft Henry Bolte Signed 1st Bowman In Person (IP) Auto,1,2026-06-01
draft_2022_jake_bennett_r2p45,Jake Bennett,2023,0,2022,2,0,R2-R3,2026,2026-05-01,31,2,,10.33,5.17,SP,LHP,Washington Nationals,2,0,2,11.99,27.74,43.489999999999995,43.489999999999995,59.239999999999995,74.99,11.99,https://www.ebay.com/itm/397988778280?_skw=%22Jake+Bennett%22+1st+Bowman+Chrome+auto&hash=item5ca9fad128:g:o~cAAeSwQdhqFI~-,https://www.ebay.com/itm/397988778280?_skw=%22Jake+Bennett%22+1st+Bowman+Chrome+auto&hash=item5ca9fad128:g:o~cAAeSwQdhqFI~-,2022 1st Bowman Chrome Sapphire Jake Bennett Non-Auto #BDC-141 - BOS Rookie,1,2026-06-01
draft_2022_brycen_mautz_r2p59,Brycen Mautz,2023,0,2022,2,0,R2-R3,2026,2026-05-25,7,1,,3.0,3.0,SP,LHP,St. Louis Cardinals,3,0,3,30.0,32.5,35.0,35.0,37.5,40.0,30.0,https://www.ebay.com/itm/257523839692?_skw=%22Brycen+Mautz%22+1st+Bowman+Chrome+auto&hash=item3bf59df2cc:g:djAAAeSwyWlqEuj0,https://www.ebay.com/itm/257523839692?_skw=%22Brycen+Mautz%22+1st+Bowman+Chrome+auto&hash=item3bf59df2cc:g:djAAAeSwyWlqEuj0,2022 Bowman Chrome 1st IP Auto  Brycen Mautz St. Louis Cardinals Signed BAS,1,2026-06-01
draft_2022_connor_prielipp_r2p48,Connor Prielipp,2023,0,2022,2,0,R2-R3,2026,2026-04-22,40,7,,33.33,4.76,SP,LHP,Minnesota Twins,6,0,6,25.0,28.9925,37.495000000000005,36.163333333333334,43.7475,45.0,25.0,https://www.ebay.com/itm/376947741167?_skw=%22Connor+Prielipp%22+1st+Bowman+Chrome+auto&hash=item57c3d611ef:g:LukAAeSw1iVpiUhY,https://www.ebay.com/itm/376947741167?_skw=%22Connor+Prielipp%22+1st+Bowman+Chrome+auto&hash=item57c3d611ef:g:LukAAeSw1iVpiUhY,Connor Prielipp Signed 2022 1st Bowman Chrome Rookie Auto Minnesota Twins,1,2026-06-01
draft_2021_brendan_beck_r2p55,Brendan Beck,2022,0,2021,2,0,R2-R3,2026,2026-05-07,25,1,,3.0,3.0,SP,RHP,New York Yankees,5,0,5,5.3,12.99,20.0,28.032,32.99,68.88,5.3,https://www.ebay.com/itm/800059975669?_skw=%22Brendan+Beck%22+1st+Bowman+Chrome+auto&hash=itemba474a67f5:g:ic4AAeSwh5lqEixW,https://www.ebay.com/itm/800059975669?_skw=%22Brendan+Beck%22+1st+Bowman+Chrome+auto&hash=itemba474a67f5:g:ic4AAeSwh5lqEixW,2021 Bowman Draft Chrome Auto 1st Bowman Brendan Beck #CDA-BB Yankees,1,2026-06-01
draft_2020_dax_fulton_r2p40,Dax Fulton,2021,0,2020,2,0,R2-R3,2026,2026-05-06,26,1,,4.0,4.0,SP,RHP,Miami Marlins,1,0,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,https://www.ebay.com/itm/116734694180?_skw=%22Dax+Fulton%22+1st+Bowman+Chrome+auto&hash=item1b2dee1324:g:cH0AAeSw9mZonbHW,https://www.ebay.com/itm/116734694180?_skw=%22Dax+Fulton%22+1st+Bowman+Chrome+auto&hash=item1b2dee1324:g:cH0AAeSw9mZonbHW,Dax Fulton SIGNED 2020 Bowman Draft Chrome 1st RC #BD-131 IP AUTO,1,2026-06-01
draft_2022_william_kempner_r3p106,William Kempner,2023,0,2022,3,0,R2-R3,2026,2026-05-05,27,3,,3.33,1.11,RP,RHP,San Francisco Giants,0,0,0,,,,,,,,,,,0,2026-06-01
draft_2022_peyton_pallette_r2p62,Peyton Pallette,2023,0,2022,2,0,R2-R3,2026,2026-03-27,66,16,,20.67,1.29,RP,RHP,Chicago White Sox,1,0,1,14.98,14.98,14.98,14.98,14.98,14.98,14.98,https://www.ebay.com/itm/405882956757?_skw=%22Peyton+Pallette%22+1st+Bowman+Chrome+auto&hash=item5e80826bd5:g:NikAAOSwTntoLPuS,https://www.ebay.com/itm/405882956757?_skw=%22Peyton+Pallette%22+1st+Bowman+Chrome+auto&hash=item5e80826bd5:g:NikAAOSwTntoLPuS,Peyton Pallette 2022 1st Bowman Chrome Refractor Auto Chicago White Sox IP Sign,1,2026-06-01
draft_2022_nick_morabito_r2p75,Nick Morabito,2023,0,2022,2,0,R2-R3,2026,2026-05-19,13,,5,,,BAT,OF,New York Mets,4,0,4,39.99,69.99,79.99,69.99249999999999,79.99249999999999,80.0,39.99,https://www.ebay.com/itm/188427209593?_skw=%22Nick+Morabito%22+1st+Bowman+Chrome+auto&hash=item2bdf230b79:g:OnwAAeSwDPJqFcMR,https://www.ebay.com/itm/188427209593?_skw=%22Nick+Morabito%22+1st+Bowman+Chrome+auto&hash=item2bdf230b79:g:OnwAAeSwDPJqFcMR,Nick Morabito 2023 Bowman Chrome 1st Bowman Auto #CPA-NM New York Mets See Pics,1,2026-06-01
draft_2021_elmer_rodriguez-cruz_r4p105,Elmer Rodriguez-Cruz,2022,0,2021,4,0,R4-R10,2026,2026-04-29,33,3,,13.0,4.33,SP,RHP,Boston Red Sox,4,0,4,60.0,89.625,189.75,234.8725,334.9975,499.99,60.0,https://www.ebay.com/itm/267641185560?_skw=%22Elmer+Rodriguez-Cruz%22+1st+Bowman+Chrome+auto&hash=item3e50a86518:g:Lh4AAeSweSZp4PFn,https://www.ebay.com/itm/267641185560?_skw=%22Elmer+Rodriguez-Cruz%22+1st+Bowman+Chrome+auto&hash=item3e50a86518:g:Lh4AAeSweSZp4PFn,Elmer Rodriguez-Cruz Signed 1st Bowman Chrome Rookie Card Auto New York Yankees,1,2026-06-01
draft_2022_trevor_martin_r3p104,Trevor Martin,2023,0,2022,3,0,R2-R3,2026,2026-04-20,42,4,,7.33,1.83,SWG,RHP,Tampa Bay Rays,8,0,8,4.99,7.74,10.49,15.116249999999999,22.4975,29.99,4.99,https://www.ebay.com/itm/800046544796?_skw=%22Trevor+Martin%22+1st+Bowman+Chrome+auto&hash=itemba467d779c:g:MOQAAeSwSptqDlZO,https://www.ebay.com/itm/800046544796?_skw=%22Trevor+Martin%22+1st+Bowman+Chrome+auto&hash=itemba467d779c:g:MOQAAeSwSptqDlZO,2022 Bowman Chrome Trevor Martin 1st Bowman Auto - Rays,1,2026-06-01
