player_id,name,card_year,denominator,draft_year,draft_round,is_international,bucket,debut_year,debut_date,days_since_debut,games_pitched,games_batted,innings_pitched,ip_per_game,role,primary_position,current_org,n_listings,n_auctions,n_fixed,price_min,price_p25,price_median,price_mean,price_p75,price_max,lowest_buynow_price,lowest_buynow_url,top_listing_url,top_listing_title,has_market,snapshot_date
draft_2022_jake_bennett_r2p45,Jake Bennett,2023,0,2022,2,0,R2-R3,2026,2026-05-01,59,6,,33.0,5.5,SP,LHP,Washington Nationals,6,0,6,29.0,31.240000000000002,42.49,57.160000000000004,49.99,149.0,29.0,https://www.ebay.com/itm/277944895935?_skw=%22Jake+Bennett%22+1st+Bowman+Chrome+auto&hash=item40b6ce89bf:g:DQIAAeSwB3Fp8~eL,https://www.ebay.com/itm/277944895935?_skw=%22Jake+Bennett%22+1st+Bowman+Chrome+auto&hash=item40b6ce89bf:g:DQIAAeSwB3Fp8~eL,Jake Bennett signed auto autographed 2022 1st Bowman Chrome Refractor IP GTP,1,2026-06-29
draft_2022_connor_prielipp_r2p48,Connor Prielipp,2023,0,2022,2,0,R2-R3,2026,2026-04-22,68,12,,61.67,5.14,SP,LHP,Minnesota Twins,6,0,6,25.0,28.9925,37.495000000000005,36.163333333333334,43.7475,45.0,25.0,https://www.ebay.com/itm/376947741167?_skw=%22Connor+Prielipp%22+1st+Bowman+Chrome+auto&hash=item57c3d611ef:g:LukAAeSw1iVpiUhY,https://www.ebay.com/itm/376947741167?_skw=%22Connor+Prielipp%22+1st+Bowman+Chrome+auto&hash=item57c3d611ef:g:LukAAeSw1iVpiUhY,Connor Prielipp Signed 2022 1st Bowman Chrome Rookie Auto Minnesota Twins,1,2026-06-29
draft_2021_edwin_arroyo_r2p48,Edwin Arroyo,2022,0,2021,2,0,R2-R3,2026,2026-06-01,28,,22,,,BAT,SS,Seattle Mariners,6,0,6,39.99,131.2475,149.99,148.32500000000002,187.49,224.99,39.99,https://www.ebay.com/itm/206317377490?_skw=%22Edwin+Arroyo%22+1st+Bowman+Chrome+auto&hash=item30097957d2:g:nBYAAeSwlGRqHzP4,https://www.ebay.com/itm/206317377490?_skw=%22Edwin+Arroyo%22+1st+Bowman+Chrome+auto&hash=item30097957d2:g:nBYAAeSwlGRqHzP4,Edwin Arroyo 2021 Bowman Chrome Draft AUTO SIGNED 1ST ROOKIE REDS #74,1,2026-06-29
draft_2023_sean_sullivan_r2p46,Sean Sullivan,2024,0,2023,2,0,R2-R3,2026,2026-06-12,17,3,,12.0,4.0,SP,LHP,Colorado Rockies,9,0,9,8.5,12.5,14.99,16.543333333333333,19.95,25.0,8.5,https://www.ebay.com/itm/366499676372?_skw=%22Sean+Sullivan%22+1st+Bowman+Chrome+auto&hash=item55551540d4:g:tZgAAeSwKNZqOv69,https://www.ebay.com/itm/366499676372?_skw=%22Sean+Sullivan%22+1st+Bowman+Chrome+auto&hash=item55551540d4:g:tZgAAeSwKNZqOv69,Sean Sullivan 1st Bowman Chrome Auto 2023 Colorado Rockies Prospect #CDA-SS (RC),1,2026-06-29
draft_2020_dax_fulton_r2p40,Dax Fulton,2021,0,2020,2,0,R2-R3,2026,2026-05-06,54,3,,7.0,2.33,SWG,RHP,Miami Marlins,0,0,0,,,,,,,,,,,0,2026-06-29
draft_2021_brendan_beck_r2p55,Brendan Beck,2022,0,2021,2,0,R2-R3,2026,2026-05-07,53,1,,3.0,3.0,SP,RHP,New York Yankees,3,0,3,20.0,26.495,32.99,40.623333333333335,50.935,68.88,20.0,https://www.ebay.com/itm/306928594230?_skw=%22Brendan+Beck%22+1st+Bowman+Chrome+auto&hash=item47765ead36:g:mC8AAeSwvSpp~2xK,https://www.ebay.com/itm/306928594230?_skw=%22Brendan+Beck%22+1st+Bowman+Chrome+auto&hash=item47765ead36:g:mC8AAeSwvSpp~2xK,Brendan Beck 2021 Bowman Chrome On Card Autograph 1st Prospect Auto Card #CDA-BB,1,2026-06-29
draft_2022_brycen_mautz_r2p59,Brycen Mautz,2023,0,2022,2,0,R2-R3,2026,2026-05-25,35,1,,3.0,3.0,SP,LHP,St. Louis Cardinals,3,0,3,30.0,32.5,35.0,35.0,37.5,40.0,30.0,https://www.ebay.com/itm/257523839692?_skw=%22Brycen+Mautz%22+1st+Bowman+Chrome+auto&hash=item3bf59df2cc:g:djAAAeSwyWlqEuj0,https://www.ebay.com/itm/257523839692?_skw=%22Brycen+Mautz%22+1st+Bowman+Chrome+auto&hash=item3bf59df2cc:g:djAAAeSwyWlqEuj0,2022 Bowman Chrome 1st IP Auto  Brycen Mautz St. Louis Cardinals Signed BAS,1,2026-06-29
draft_2022_henry_bolte_r2p56,Henry Bolte,2023,0,2022,2,0,R2-R3,2026,2026-05-13,47,,42,,,BAT,OF,Oakland Athletics,6,0,6,50.0,113.7475,192.49,186.66166666666666,271.99,299.0,50.0,https://www.ebay.com/itm/227346419502?_skw=%22Henry+Bolte%22+1st+Bowman+Chrome+auto&hash=item34eee70f2e:g:AMEAAeSwz5hqCIJQ,https://www.ebay.com/itm/227346419502?_skw=%22Henry+Bolte%22+1st+Bowman+Chrome+auto&hash=item34eee70f2e:g:AMEAAeSwz5hqCIJQ,Signed auto HENRY BOLTE 2022 1st Bowman Chrome BDC-121 Card autographed COA,1,2026-06-29
draft_2022_peyton_pallette_r2p62,Peyton Pallette,2023,0,2022,2,0,R2-R3,2026,2026-03-27,94,16,,20.67,1.29,RP,RHP,Chicago White Sox,2,0,2,6.0,8.245000000000001,10.49,10.49,12.735,14.98,6.0,https://www.ebay.com/itm/198456071755?_skw=%22Peyton+Pallette%22+1st+Bowman+Chrome+auto&hash=item2e34e7564b:g:1v8AAeSwqZ9qPrYh,https://www.ebay.com/itm/198456071755?_skw=%22Peyton+Pallette%22+1st+Bowman+Chrome+auto&hash=item2e34e7564b:g:1v8AAeSwqZ9qPrYh,2022 1st Bowman Chrome Auto Peyton Pallette #CDA-PP,1,2026-06-29
draft_2023_gino_groover_r2p48,Gino Groover,2024,0,2023,2,0,R2-R3,2026,2026-06-05,24,,14,,,BAT,3B,Arizona Diamondbacks,21,0,21,24.0,29.95,34.99,38.18238095238095,43.99,95.0,24.0,https://www.ebay.com/itm/227391875455?_skw=%22Gino+Groover%22+1st+Bowman+Chrome+auto&hash=item34f19ca97f:g:TpAAAeSwSoNqMdkH,https://www.ebay.com/itm/227391875455?_skw=%22Gino+Groover%22+1st+Bowman+Chrome+auto&hash=item34f19ca97f:g:TpAAAeSwSoNqMdkH,2024 Bowman Chrome 1st Gino Groover Auto CPA-GG,1,2026-06-29
draft_2017_blake_hunt_r2p69,Blake Hunt,2018,0,2017,2,0,R2-R3,2026,2026-06-19,10,,2,,,BAT,C,San Diego Padres,5,0,5,4.0,5.89,5.99,16.419999999999998,16.9,49.32,4.0,https://www.ebay.com/itm/406937227503?_skw=%22Blake+Hunt%22+1st+Bowman+Chrome+auto&hash=item5ebf5950ef:g:NwcAAeSwamJqDI4o,https://www.ebay.com/itm/406937227503?_skw=%22Blake+Hunt%22+1st+Bowman+Chrome+auto&hash=item5ebf5950ef:g:NwcAAeSwamJqDI4o,Topps 2017 Bowman Draft Blake Hunt 1st Bowman Chrome Auto #CDA-BH,1,2026-06-29
draft_2020_trei_cruz_r3p73,Trei Cruz,2021,0,2020,3,0,R2-R3,2026,2026-06-19,10,,2,,,BAT,SS,Detroit Tigers,1,0,1,25.6,25.6,25.6,25.6,25.6,25.6,25.6,https://www.ebay.com/itm/278106062803?_skw=%22Trei+Cruz%22+1st+Bowman+Chrome+auto&hash=item40c069bfd3:g:8mwAAeSw~DVqNaK2,https://www.ebay.com/itm/278106062803?_skw=%22Trei+Cruz%22+1st+Bowman+Chrome+auto&hash=item40c069bfd3:g:8mwAAeSw~DVqNaK2,2020 1st Bowman Draft Chrome RC AUTO Trei Cruz #CDA-TC! Tigers! Rookie Autograph,1,2026-06-29
draft_2023_cole_carrigg_r2p65,Cole Carrigg,2024,0,2023,2,0,R2-R3,2026,2026-06-09,20,,17,,,BAT,C,Colorado Rockies,20,0,20,34.12,38.587500000000006,39.99,48.448,48.115,99.0,34.12,https://www.ebay.com/itm/198389456876?_skw=%22Cole+Carrigg%22+1st+Bowman+Chrome+auto&hash=item2e30eedfec:g:RB8AAeSwwu1qGmM5,https://www.ebay.com/itm/198389456876?_skw=%22Cole+Carrigg%22+1st+Bowman+Chrome+auto&hash=item2e30eedfec:g:RB8AAeSwwu1qGmM5,2023 Bowman Chrome Draft COLE CARRIGG 1st Auto Base Rookie RC Rockies,1,2026-06-29
draft_2020_zach_mccambley_r3p75,Zach McCambley,2021,0,2020,3,0,R2-R3,2026,2026-06-03,26,4,,4.33,1.08,RP,RHP,Miami Marlins,2,0,2,10.0,13.655000000000001,17.310000000000002,17.310000000000002,20.965,24.62,10.0,https://www.ebay.com/itm/318444866495?_skw=%22Zach+McCambley%22+1st+Bowman+Chrome+auto&hash=item4a24cb0bbf:g:EAoAAeSww81qK8gx,https://www.ebay.com/itm/318444866495?_skw=%22Zach+McCambley%22+1st+Bowman+Chrome+auto&hash=item4a24cb0bbf:g:EAoAAeSww81qK8gx,2020 BOWMAN 1ST CHROME DRAFT RC Signed ZACH MCCAMBLEY # BD-112 In Person Auto,1,2026-06-29
draft_2022_nick_morabito_r2p75,Nick Morabito,2023,0,2022,2,0,R2-R3,2026,2026-05-19,41,,5,,,BAT,OF,New York Mets,8,0,8,28.0,39.74,39.995000000000005,44.61875,44.9925,79.99,28.0,https://www.ebay.com/itm/198451597089?_skw=%22Nick+Morabito%22+1st+Bowman+Chrome+auto&hash=item2e34a30f21:g:szsAAeSwd2NqPDPm,https://www.ebay.com/itm/198451597089?_skw=%22Nick+Morabito%22+1st+Bowman+Chrome+auto&hash=item2e34a30f21:g:szsAAeSwd2NqPDPm,2023 1st Bowman Chrome Auto Nick Morabito #CPA-NM New York Mets,1,2026-06-29
draft_2023_kade_morris_r3p101,Kade Morris,2024,0,2023,3,0,R2-R3,2026,2026-06-06,23,1,,4.0,4.0,SP,RHP,New York Mets,0,0,0,,,,,,,,,,,0,2026-06-29
draft_2024_gage_jump_r2p73,Gage Jump,2025,0,2024,2,0,R2-R3,2026,2026-05-26,34,6,,35.33,5.89,SP,LHP,Oakland Athletics,8,0,8,82.75,99.9975,109.5,125.0925,150.0,199.0,82.75,https://www.ebay.com/itm/406972562106?_skw=%22Gage+Jump%22+1st+Bowman+Chrome+auto&hash=item5ec1747aba:g:Ex0AAeSwDPJqDrER,https://www.ebay.com/itm/406972562106?_skw=%22Gage+Jump%22+1st+Bowman+Chrome+auto&hash=item5ec1747aba:g:Ex0AAeSwDPJqDrER,2026 Bowman Gage Jump 1st Bowman Chrome Auto Athletics,1,2026-06-29
draft_2022_trevor_martin_r3p104,Trevor Martin,2023,0,2022,3,0,R2-R3,2026,2026-04-20,70,6,,11.33,1.89,SWG,RHP,Tampa Bay Rays,8,0,8,4.99,7.74,10.49,15.116249999999999,22.4975,29.99,4.99,https://www.ebay.com/itm/800046544796?_skw=%22Trevor+Martin%22+1st+Bowman+Chrome+auto&hash=itemba467d779c:g:MOQAAeSwSptqDlZO,https://www.ebay.com/itm/800046544796?_skw=%22Trevor+Martin%22+1st+Bowman+Chrome+auto&hash=itemba467d779c:g:MOQAAeSwSptqDlZO,2022 Bowman Chrome Trevor Martin 1st Bowman Auto - Rays,1,2026-06-29
draft_2022_william_kempner_r3p106,William Kempner,2023,0,2022,3,0,R2-R3,2026,2026-05-05,55,6,6,9.0,1.5,SWG,RHP,San Francisco Giants,0,0,0,,,,,,,,,,,0,2026-06-29
