season,abbrev,name,parent_org
1920,CUB,Cuban Stars West,Office of the Commissioner
1920,DAY,Dayton Marcos,Office of the Commissioner
1920,DTS,Detroit Stars,Office of the Commissioner
1920,SLG,St. Louis Giants,Office of the Commissioner
1920,ABC,Indianapolis ABC's,Office of the Commissioner
1920,KCM,Kansas City Monarchs,Office of the Commissioner
1920,CAG,Chicago American Giants,Office of the Commissioner
1920,CHG,Chicago Giants,Office of the Commissioner
1921,COL,Columbus Buckeyes,Office of the Commissioner
1921,CUB,Cincinnati Cuban Stars,Office of the Commissioner
1921,DAY,Dayton Marcos,Office of the Commissioner
1921,DTS,Detroit Stars,Office of the Commissioner
1921,SLG,St. Louis Giants,Office of the Commissioner
1921,ABC,Indianapolis ABC's,Office of the Commissioner
1921,KCM,Kansas City Monarchs,Office of the Commissioner
1921,CAG,Chicago American Giants,Office of the Commissioner
1921,CHG,Chicago Giants,Office of the Commissioner
1922,CTS,Cleveland Tate Stars,Office of the Commissioner
1922,PTK,Pittsburgh Keystones,Office of the Commissioner
1922,CUB,Cuban Stars West,Office of the Commissioner
1922,DAY,Dayton Marcos,Office of the Commissioner
1922,DTS,Detroit Stars,Office of the Commissioner
1922,SLS,St. Louis Stars,Office of the Commissioner
1922,ABC,Indianapolis ABC's,Office of the Commissioner
1922,KCM,Kansas City Monarchs,Office of the Commissioner
1922,CAG,Chicago American Giants,Office of the Commissioner
1923,CSE,Cuban Stars East,Office of the Commissioner
1923,SLS,St. Louis Stars,Office of the Commissioner
1923,TOL,Todelo Tigers,Office of the Commissioner
1923,BBS,Baltimore Black Sox,Office of the Commissioner
1923,BBB,Birmingham Black Barons,Office of the Commissioner
1923,BRG,Brooklyn Royal Giants,Office of the Commissioner
1923,CAG,Chicago American Giants,Office of the Commissioner
1923,CUB,Cuban Stars West,Office of the Commissioner
1923,DAY,Dayton Marcos,Office of the Commissioner
1923,DTS,Detroit Stars,Office of the Commissioner
1923,HIL,Hilldale Daisies,Office of the Commissioner
1923,ABC,Indianapolis ABC's,Office of the Commissioner
1923,KCM,Kansas City Monarchs,Office of the Commissioner
1923,MEM,Memphis Red Sox,Office of the Commissioner
1923,MIL,Milwaukee Bears,Office of the Commissioner
1923,NYL,New York Lincoln Giants,Office of the Commissioner
1923,BG,Atlantic City Bacharach Giants,Office of the Commissioner
1924,CSE,Cuban Stars East,Office of the Commissioner
1924,SLS,St. Louis Stars,Office of the Commissioner
1924,HBG,Harrisburg Giants,Office of the Commissioner
1924,WP,Washington Potomacs,Office of the Commissioner
1924,BBS,Baltimore Black Sox,Office of the Commissioner
1924,BBB,Birmingham Black Barons,Office of the Commissioner
1924,BRG,Brooklyn Royal Giants,Office of the Commissioner
1924,CAG,Chicago American Giants,Office of the Commissioner
1924,CLB,Cleveland Browns,Office of the Commissioner
1924,CUB,Cuban Stars West,Office of the Commissioner
1924,DAY,Dayton Marcos,Office of the Commissioner
1924,DTS,Detroit Stars,Office of the Commissioner
1924,HIL,Hilldale Daisies,Office of the Commissioner
1924,ABC,Indianapolis ABC's,Office of the Commissioner
1924,KCM,Kansas City Monarchs,Office of the Commissioner
1924,MEM,Memphis Red Sox,Office of the Commissioner
1924,NYL,New York Lincoln Giants,Office of the Commissioner
1924,BG,Atlantic City Bacharach Giants,Office of the Commissioner
1925,CSE,Cuban Stars East,Office of the Commissioner
1925,SLS,St. Louis Stars,Office of the Commissioner
1925,HBG,Harrisburg Giants,Office of the Commissioner
1925,WP,Wilmington Potomacs,Office of the Commissioner
1925,BBS,Baltimore Black Sox,Office of the Commissioner
1925,BBB,Birmingham Black Barons,Office of the Commissioner
1925,BRG,Brooklyn Royal Giants,Office of the Commissioner
1925,CAG,Chicago American Giants,Office of the Commissioner
1925,CUB,Cuban Stars West,Office of the Commissioner
