player_id,as_of,source,overall_rank,org_rank,list_size,org_rank_1y_ago,org_rank_2y_ago,org_rank_delta_1y,org_rank_delta_2y,mlbam_id,tbc_player_id,team,matched,match_method
draft_2024_ryan_waldschmidt_r1p31,2026-01-01,Baseball America,48,1,30,8,,7,,814439,239410,Arizona Diamondbacks,1,mlbam
draft_2025_kayson_cunning_r1p18,2026-01-01,Baseball America,97,2,30,,,,,815617,361993,Arizona Diamondbacks,1,mlbam
draft_2022_demetrio_crisantes_r7p198,2026-01-01,Baseball America,,3,30,2,,-1,,702679,284690,Arizona Diamondbacks,1,mlbam
draft_2024_slade_caldwell_r1p29,2026-01-01,Baseball America,,4,30,6,,2,,815154,331409,Arizona Diamondbacks,1,mlbam
draft_2024_david_hagaman_r4p133,2026-01-01,Baseball America,,5,30,,,,,701908,243162,Arizona Diamondbacks,1,mlbam
draft_2024_daniel_eagen_r3p102,2026-01-01,Baseball America,,6,30,16,,10,,811666,242245,Arizona Diamondbacks,1,mlbam
draft_2025_patrick_forbes_r1p29,2026-01-01,Baseball America,,7,30,,,,,804467,297327,Arizona Diamondbacks,1,mlbam
draft_2024_jd_dix_r1p35,2026-01-01,Baseball America,,8,30,11,,3,,807267,331434,Arizona Diamondbacks,1,mlbam
draft_2023_tommy_troy_r1p12,2026-01-01,Baseball America,,9,30,10,3,1,-6,694371,229473,Arizona Diamondbacks,1,mlbam
ifa_800198,2026-01-01,Baseball America,,10,30,12,16,2,6,800198,242031,Arizona Diamondbacks,1,mlbam
ifa_691441,2026-01-01,Baseball America,,11,30,14,,3,,691441,237092,Arizona Diamondbacks,1,mlbam
ifa_800306,2026-01-01,Baseball America,,12,30,5,6,-7,-6,800306,242026,Arizona Diamondbacks,1,mlbam
draft_2022_kohl_drake_r11p319,2026-01-01,Baseball America,,13,30,,,,,684442,252445,Arizona Diamondbacks,1,mlbam
draft_2022_ashton_izzi_r4p126,2026-01-01,Baseball America,,14,30,,,,,802416,284681,Arizona Diamondbacks,1,mlbam
draft_2023_gino_groover_r2p48,2026-01-01,Baseball America,,15,30,9,5,-6,-10,694410,230662,Arizona Diamondbacks,1,mlbam
draft_2023_brandyn_garcia_r11p337,2026-01-01,Baseball America,,16,30,,,,,805299,226522,Arizona Diamondbacks,1,mlbam
draft_2022_druw_jones_r1p2,2026-01-01,Baseball America,,17,30,4,2,-13,-15,702258,284647,Arizona Diamondbacks,1,mlbam
draft_2021_micah_bratt_r5p134,2026-01-01,Baseball America,,18,30,,,,,683352,233324,Arizona Diamondbacks,1,mlbam
ifa_808024,2026-01-01,Baseball America,,19,30,,,,,808024,291433,Arizona Diamondbacks,1,mlbam
draft_2025_brian_curley_r3p92,2026-01-01,Baseball America,,20,30,,,,,826536,294273,Arizona Diamondbacks,1,mlbam
