key_fangraphs,key_mlbam,name_first,name_last
13166,605152,Jed,Bradley
1000605,110625,Manuel,Barrios
1008165,118336,Frank,Martin
1001500,111603,Byron,Browne
-1,800935,John,Jackson
1002986,113051,Rolla,Daringer
1001836,111880,Fred,Caligiuri
1116,115817,Liván,Hernández
-1,818638,W. H.,Kelly
1007111,117263,Steve,Korcheck
-1,-1,R. F.,Cook
1012254,122501,Pop,Snyder
-1,-1,Edward,West
1012667,122925,Tony,Suck
1007065,117218,Mark,Knudson
11209,594987,Casey,Sadler
1005611,115724,Hank,Helf
788,219594,Tomo,Ohka
1011683,121937,Jack,Scott
1007666,117827,Larry,Littleton
-1,553832,Tracy,Ringolsby
24655,680911,Owen,Miller
1007585,117740,Mark,Lewis
586,407900,Miguel,Asencio
19470,669242,Tommy,Edman
1012982,123254,Kite,Thomas
2221,430655,Jorge,Vásquez
1001329,111361,Neal,Brady
1011012,121259,John,Roach
-1,817576,Bill,Reynolds
29891,703231,James,Meeker
19906,660636,Diego,Castillo
-1,819385,George,Giles
1006793,116963,Billy,Kelly
1001352,111391,Mike,Brannock
1000878,110907,Al,Bergman
1005748,115869,George,Hesselbacher
1009059,119255,Ed,Montague
1012964,123267,Bill,Thomas
-1,-1,Les,Cook
1000461,110478,Jesse,Baker
1002888,112952,John,Curran
1012901,123168,Pussy,Tebeau
1004225,114307,Tom,Ford
1012096,122469,Bill,Smith
1012823,123087,Lee,Tannehill
1002393,112443,George,Coffman
1001992,112040,Don,Carrithers
1011356,121605,Alex,Sabo
-1,431088,Bob,Webb
1014267,124589,Jimmy,Woulfe
1005053,115153,Tommy,Griffith
1008547,118729,Slim,McGrew
1003463,113525,Jeff,Doyle
1008214,118394,Leech,Maskrey
-1,817402,Frank,Russell
-1,818695,A.,Jones
1012042,122302,John,Skopec
-1,816448,Leovigildo,Xiqués
-1,-1,George,Smith
-1,818458,Coley,Logan
1012120,137203,Dan,Smith
13345,570666,Luis,Cessa
1001808,111852,Craig,Cacek
1003256,113320,Charlie,Dewald
1013656,123963,Herb,Washington
1013312,123602,Julio,Valdez
