PlayerId,player_id,mlbam_id,method,confidence,fg_name,repo_name
10059,draft_2009_max_stassi_r4p123,545358,A_chadwick,exact,Max Stassi,Max Stassi
10285,draft_2007_josh_smoker_r1p31,519294,A_chadwick,exact,Josh Smoker,Josh Smoker
11440,draft_2010_johnny_barbato_r6p184,592127,A_chadwick,exact,Johnny Barbato,Johnny Barbato
11467,draft_2010_aj_cole_r4p116,595918,A_chadwick,exact,A.J. Cole,A.J. Cole
11472,ifa_553988,553988,A_chadwick,exact,Dixon Machado,Dixon Machado
11604,ifa_596720,596720,A_chadwick,exact,Dovydas Neverauskas,Dovydas Neverauskas
11680,ifa_553869,553869,A_chadwick,exact,Elias Diaz,Elias Díaz
11681,ifa_469745,553883,A_chadwick,exact,Vicente Campos,Jose Campos
11694,draft_2010_nick_kingham_r4p117,592468,A_chadwick,exact,Nick Kingham,Nick Kingham
11761,draft_2010_drew_robinson_r4p136,592685,A_chadwick,exact,Drew Robinson,Drew Robinson
11850,draft_2010_tyler_austin_r13p415,592122,A_chadwick,exact,Tyler Austin,Tyler Austin
12090,ifa_570639,570639,A_chadwick,exact,Yefri Perez,Yefri Pérez
12158,draft_2011_austin_barnes_r9p283,605131,A_chadwick,exact,Austin Barnes,Austin Barnes
12160,draft_2010_ben_gamel_r10p325,592325,A_chadwick,exact,Ben Gamel,Ben Gamel
12174,ifa_593528,593528,A_chadwick,exact,Jorge Bonifacio,Jorge Bonifacio
12180,ifa_595751,595751,A_chadwick,exact,Jorge Alfaro,Jorge Alfaro
12718,draft_2011_adrian_houser_r2p69,605288,A_chadwick,exact,Adrian Houser,Adrian Houser
12758,ifa_591971,591971,A_chadwick,exact,Breyvic Valera,Breyvic Valera
12784,draft_2011_burch_smith_r14p443,572143,A_chadwick,exact,Burch Smith,Burch Smith
12833,draft_2011_alex_meyer_r1p23,543542,A_chadwick,exact,Alex Meyer,Alex Meyer
12857,draft_2011_shawn_armstrong_r18p548,542888,A_chadwick,exact,Shawn Armstrong,Shawn Armstrong
12858,draft_2011_brian_goodwin_r1p34,571718,A_chadwick,exact,Brian Goodwin,Brian Goodwin
12926,ifa_593700,593700,A_chadwick,exact,Alen Hanson,Alen Hanson
12927,draft_2011_brandon_nimmo_r1p13,607043,A_chadwick,exact,Brandon Nimmo,Brandon Nimmo
12938,ifa_593679,593679,A_chadwick,exact,Gabriel Ynoa,Gabriel Ynoa
12944,ifa_593647,593647,A_chadwick,exact,Socrates Brito,Sócrates Brito
12975,ifa_606291,606291,A_chadwick,exact,Mauricio Cabrera,Mauricio Cabrera
12977,draft_2011_michael_perez_r5p154,605421,A_chadwick,exact,Michael Perez,Michael Perez
12983,draft_2011_charlie_tilson_r2p79,605508,A_chadwick,exact,Charlie Tilson,Charlie Tilson
13058,ifa_594056,594056,A_chadwick,exact,Reymin Guduan,Reymin Guduan
13066,ifa_606192,606192,A_chadwick,exact,Teoscar Hernandez,Teoscar Hernández
13145,draft_2011_josh_bell_r2p61,605137,A_chadwick,exact,Josh Bell,Josh Bell
13188,ifa_606167,606167,A_chadwick,exact,Adalberto Mejia,Adalberto Mejía
13356,draft_2011_bubba_starling_r1p5,605490,A_chadwick,exact,Bubba Starling,Bubba Starling
13369,ifa_570481,570481,A_chadwick,exact,Erik Gonzalez,Erik González
13395,draft_2012_damien_magnifico_r5p185,571911,A_chadwick,exact,Damien Magnifico,Damien Magnifico
13403,ifa_570240,570240,A_chadwick,exact,Felix Pena,Félix Peña
13414,draft_2012_andrew_toles_r3p119,592808,A_chadwick,exact,Andrew Toles,Andrew Toles
13418,draft_2012_chris_beck_r2p76,571476,A_chadwick,exact,Chris Beck,Chris Beck
13419,draft_2012_christian_walker_r4p132,572233,A_chadwick,exact,Christian Walker,Christian Walker
13420,draft_2012_matt_koch_r3p107,571863,A_chadwick,exact,Matt Koch,Matt Koch
13483,draft_2011_connor_sadzeck_r11p354,592712,A_chadwick,exact,Connor Sadzeck,Connor Sadzeck
13499,draft_2012_tom_murphy_r3p105,608596,A_chadwick,exact,Tom Murphy,Tom Murphy
13546,draft_2011_roman_quinn_r2p66,596451,A_chadwick,exact,Roman Quinn,Roman Quinn
13580,draft_2012_steven_okert_r4p148,595345,A_chadwick,exact,Steven Okert,Steven Okert
13590,draft_2012_jesse_winker_r1p49,608385,A_chadwick,exact,Jesse Winker,Jesse Winker
13594,draft_2011_robert_stephenson_r1p27,596112,A_chadwick,exact,Robert Stephenson,Robert Stephenson
13616,draft_2011_taylor_guerrieri_r1p24,605260,A_chadwick,exact,Taylor Guerrieri,Taylor Guerrieri
13619,draft_2011_jake_junis_r29p876,596001,A_chadwick,exact,Jake Junis,Jake Junis
13620,draft_2012_carson_kelly_r2p86,608348,A_chadwick,exact,Carson Kelly,Carson Kelly
13621,ifa_600869,600869,A_chadwick,exact,Jeimer Candelario,Jeimer Candelario
13649,draft_2011_clay_holmes_r9p272,605280,A_chadwick,exact,Clay Holmes,Clay Holmes
13654,draft_2012_jharel_cotton_r20p626,605194,A_chadwick,exact,Jharel Cotton,Jharel Cotton
13675,draft_2012_tyrone_taylor_r2p92,621438,A_chadwick,exact,Tyrone Taylor,Tyrone Taylor
13684,draft_2011_john_gant_r21p642,607231,A_chadwick,exact,John Gant,John Gant
13690,draft_2011_sal_romano_r23p715,607219,A_chadwick,exact,Sal Romano,Sal Romano
13696,draft_2011_robert_gsellman_r13p402,607229,A_chadwick,exact,Robert Gsellman,Robert Gsellman
13699,draft_2011_jacob_faria_r10p330,607188,A_chadwick,exact,Jacob Faria,Jacob Faria
13707,draft_2011_joey_krehbiel_r12p375,607216,A_chadwick,exact,Joey Krehbiel,Joey Krehbiel
13743,draft_2012_max_fried_r1p7,608331,A_chadwick,exact,Max Fried,Max Fried
13755,draft_2012_tomas_nido_r8p260,621512,A_chadwick,exact,Tomas Nido,Tomas Nido
13761,draft_2012_chris_stratton_r1p20,608717,A_chadwick,exact,Chris Stratton,Chris Stratton
13767,draft_2012_jt_chargois_r2p72,608638,A_chadwick,exact,J.T. Chargois,J.T. Chargois
13799,draft_2012_matthew_strahm_r21p643,621381,A_chadwick,exact,Matt Strahm,Matthew Strahm
13801,draft_2012_austin_adams_r8p267,613534,A_chadwick,exact,Austin Adams,Austin Adams
13804,draft_2012_andrew_lockett_r4p135,621141,A_chadwick,exact,Walker Lockett,Andrew Lockett
13834,draft_2012_alec_mills_r22p673,621219,A_chadwick,exact,Alec Mills,Alec Mills
13866,draft_2012_bruce_maxwell_r2p62,622194,A_chadwick,exact,Bruce Maxwell,Bruce Maxwell
13892,draft_2012_paul_sewald_r10p320,623149,A_chadwick,exact,Paul Sewald,Paul Sewald
13896,draft_2012_chris_flexen_r14p440,623167,A_chadwick,exact,Chris Flexen,Chris Flexen
14093,ifa_573589,573589,A_chadwick,exact,Michael Ynoa,Michael Ynoa
14101,draft_2012_branden_kline_r2p65,571858,A_chadwick,exact,Branden Kline,Branden Kline
14103,draft_2012_rio_ruiz_r4p129,547004,A_chadwick,exact,Rio Ruiz,Rio Ruiz
14109,draft_2012_albert_almora_r1p6,546991,A_chadwick,exact,Albert Almora,Albert Almora
14111,draft_2011_eric_haase_r7p218,606992,A_chadwick,exact,Eric Haase,Eric Haase
14130,draft_2011_daniel_vogelbach_r2p68,596129,A_chadwick,exact,Dan Vogelbach,Daniel Vogelbach
14139,ifa_602083,602083,A_chadwick,exact,Miguel Almonte,Miguel Almonte
14140,ifa_602922,602922,A_chadwick,exact,Jose Rondon,José Rondon
14145,draft_2012_daniel_robertson_r1p34,621002,A_chadwick,exact,Daniel Robertson,Daniel Robertson
14169,draft_2012_kyle_zimmer_r1p5,622092,A_chadwick,exact,Kyle Zimmer,Kyle Zimmer
14212,draft_2012_josh_hader_r19p582,623352,A_chadwick,exact,Josh Hader,Josh Hader
14244,draft_2011_ray_black_r7p237,605143,A_chadwick,exact,Ray Black,Ray Black
14272,draft_2012_brian_johnson_r1p31,598271,A_chadwick,exact,Brian Johnson,Brian Johnson
14274,draft_2012_mitch_haniger_r1p38,571745,A_chadwick,exact,Mitch Haniger,Mitch Haniger
14288,draft_2012_luke_bard_r1p42,572703,A_chadwick,exact,Luke Bard,Luke Bard
14309,ifa_593423,593423,A_chadwick,exact,Frankie Montas,Frankie Montas
14329,draft_2012_anthony_alford_r3p112,546990,A_chadwick,exact,Anthony Alford,Anthony Alford
14350,ifa_606132,606132,A_chadwick,exact,Raimel Tapia,Raimel Tapia
14352,draft_2012_lewis_brinson_r1p29,621446,A_chadwick,exact,Lewis Brinson,Lewis Brinson
14361,draft_2012_ty_blach_r5p178,621389,A_chadwick,exact,Ty Blach,Ty Blach
14374,draft_2011_tyler_glasnow_r5p152,607192,A_chadwick,exact,Tyler Glasnow,Tyler Glasnow
14375,draft_2011_amir_garrett_r22p685,607237,A_chadwick,exact,Amir Garrett,Amir Garrett
14387,ifa_593979,623912,A_chadwick,exact,Harold Ramirez,Harold Ramirez
14388,ifa_608597,608597,A_chadwick,exact,Ronald Guzman,Ronald Guzmán
14391,ifa_622795,622795,A_chadwick,exact,Yohander Mendez,Yohander Méndez
14477,draft_2011_jake_cave_r6p209,595909,A_chadwick,exact,Jake Cave,Jake Cave
14503,ifa_600524,600524,A_chadwick,exact,Renato Nunez,Renato Núñez
14510,ifa_600986,600986,A_chadwick,exact,Thyago Viera,Thyago Vieira
14523,ifa_600474,600474,A_chadwick,exact,Pedro Severino,Pedro Severino
14524,ifa_600917,600917,A_chadwick,exact,Jose Leclerc,José Leclerc
