llevel,mlevel,minorMasterId,playerName,playerNameRoute,UPURL,UPID,positionDB,playerTeamId,RPM,Vel,cRisk,cETA,cFV,cWeight,cHeight,cRank,cOVR,cORG,cTrend,cDraftSchool,Hit,Game,Raw,Spd,Fld,Arm,FB,SL,CB,CH,SPL,CT,CMD,cSeason,playerPageSortOrder,cCollegeCommit,ID,RowID,FirstName,LastName,Position,Age,Team,Season,Type,PlayerId,DraftRank,ProjTeam,Ovr_Rank,Org_Rank,FV_Current,Risk_Current,ETA_Current,Draft,CollegeCommit,Height,Weight,Bats,Throws,School,Summary,YouTube,pHit,fHit,pGame,fGame,pRaw,fRaw,pSpd,fSpd,pFld,fFld,pArm,fArm,bRPM,fRPM,Range,Touch,options,servicetime,pFB,fFB,pSL,fSL,pCB,fCB,pCH,fCH,pCMD,fCMD,pSPL,fSPL,pCT,fCT
MLB,MLB,sa864590,Yoán Moncada,Yoan Moncada,/players/yoan-moncada/17232/stats/batting,17232,3B,1.0,,,,2017,70,205,"6' 2""",,1,1,,Cuba,30 / 60,40 / 60,60 / 60,70 / 70,40 / 50,70 / 70,,,,,,,,2017,0,,4618,1,Yoan,Moncada,INF,21,CHW,2017,2017 Report,17232,0,,1,1,70,0,2017,j2 2015,,74,205,S,R,Cuba,,9iT9egpGDX8,30.0,60.0,40.0,60.0,60.0,60.0,70.0,70.0,40.0,50.0,70.0,70.0,0,0,,0,n/a,8.106,,,,,,,,,,,,,,
MLB,MLB,sa738659,Andrew Benintendi,Andrew Benintendi,/players/andrew-benintendi/17901/stats/batting,17901,OF,4.0,,,,2017,65,175,"5' 10""",,2,1,,Arkansas,60 / 70,45 / 55,55 / 55,55 / 55,50 / 55,50 / 50,,,,,,,,2017,0,,4604,1,Andrew,Benintendi,OF,22,BOS,2017,2017 Report,17901,0,,2,1,65,0,2017,1st rd 2015,,70,175,L,L,Arkansas,,N5jHX2gf_x8,60.0,70.0,45.0,55.0,55.0,55.0,55.0,55.0,50.0,55.0,50.0,50.0,0,0,,0,n/a,9.062,,,,,,,,,,,,,,
MLB,MLB,sa732115,Amed Rosario,Amed Rosario,/players/amed-rosario/15518/stats/batting,15518,SS,9.0,,,,2017,65,170,"6' 2""",,3,1,,Dominican Republic,40 / 60,40 / 50,50 / 55,60 / 60,55 / 60,60 / 60,,,,,,,,2017,0,,5095,1,Amed,Rosario,SS,21,NYM,2017,2017 Report,15518,0,,3,1,65,0,2017,J2 2012,,74,170,R,R,Dominican Republic,,Do8MDHiurtQ,40.0,60.0,40.0,50.0,50.0,55.0,60.0,60.0,55.0,60.0,60.0,60.0,0,0,,0,n/a,8.062,,,,,,,,,,,,,,
MLB,MLB,sa659260,Dansby Swanson,Dansby Swanson,/players/dansby-swanson/18314/stats/batting,18314,SS,17.0,,,,2017,65,190,"6' 1""",,4,1,,Vanderbilt,50 / 55,40 / 45,50 / 50,60 / 60,55 / 60,60 / 60,,,,,,,,2017,0,,4884,1,Dansby,Swanson,SS,23,ATL,2017,2017 Report,18314,0,,4,1,65,0,2017,1st rd 2015,,73,190,R,R,Vanderbilt,,DV4QumfIO2E,50.0,55.0,40.0,45.0,50.0,50.0,60.0,60.0,55.0,60.0,60.0,60.0,0,0,,0,n/a,9.047,,,,,,,,,,,,,,
,MLB,sa737440,Austin Meadows,Austin Meadows,/players/austin-meadows/15672/stats/batting,15672,DH/OF,-1.0,,,,2017,65,200,"6' 3""",,5,1,,Grayson HS (GA),50 / 70,45 / 60,55 / 60,60 / 55,40 / 50,40 / 40,,,,,,,,2017,0,,5148,1,Austin,Meadows,OF,21,PIT,2017,2017 Report,15672,0,,5,1,65,0,2017,1st rd 2013,,75,200,L,L,Grayson HS (GA),,DGW11I8agcw,50.0,70.0,45.0,60.0,55.0,60.0,60.0,55.0,40.0,50.0,40.0,40.0,0,0,,0,n/a,5.074,,,,,,,,,,,,,,
,MLB,sa739551,Alex Reyes,Alex Reyes,/players/alex-reyes/15015/stats/pitching,15015,P,-1.0,,,,2017,65,220,"6' 3""",,6,1,,Dominican Republlic,,,,,,,70 / 70,45 / 50,60 / 60,55 / 60,,,40 / 50,2017,0,,5169,1,Alex,Reyes,RHP,22,StL,2017,2017 Report,15015,0,,6,1,65,0,2017,J2 2012,,75,220,R,R,Dominican Republlic,,Z_2KQ7Utxy4,,,,,,,,,,,,,0,0,,0,n/a,6.056,70.0,70.0,45.0,50.0,60.0,60.0,55.0,60.0,40.0,50.0,,,,
MLB,MLB,sa830372,Gleyber Torres,Gleyber Torres,/players/gleyber-torres/16997/stats/batting,16997,2B,6.0,,,,2018,60,185,"6' 1""",,7,1,,Venezuela,40 / 60,35 / 55,55 / 60,50 / 40,40 / 50,60 / 60,,,,,,,,2017,0,,4727,1,Gleyber,Torres,SS,20,NYY,2017,2017 Report,16997,0,,7,1,60,0,2018,J2 2013,,73,185,R,R,Venezuela,,,40.0,60.0,35.0,55.0,55.0,60.0,50.0,40.0,40.0,50.0,60.0,60.0,0,0,,0,n/a,7.162,,,,,,,,,,,,,,
MLB,MLB,sa828409,Victor Robles,Victor Robles,/players/victor-robles/18363/stats/batting,18363,OF,11.0,,,,2019,60,185,"6' 0""",,8,1,,Dominican Republic,40 / 70,30 / 45,40 / 50,70 / 60,45 / 55,70 / 70,,,,,,,,2017,0,,5075,1,Victor,Robles,CF,19,WSN,2017,2017 Report,18363,0,,8,1,60,0,2019,J2 2013,,72,185,R,R,Dominican Republic,,,40.0,70.0,30.0,45.0,40.0,50.0,70.0,60.0,45.0,55.0,70.0,70.0,0,0,,0,n/a,7.033,,,,,,,,,,,,,,
MLB,MLB,sa737507,J.P. Crawford,J.P. Crawford,/players/jp-crawford/15491/stats/batting,15491,SS,11.0,,,,2017,60,180,"6' 2""",,9,1,,Lakewood HS (CA),40 / 55,30 / 40,40 / 45,50 / 50,50 / 60,60 / 60,,,,,,,,2017,0,,5115,1,J.P.,Crawford,SS,22,PHI,2017,2017 Report,15491,0,,9,1,60,0,2017,1st rd 2013,,74,180,L,R,Lakewood HS (CA),,3LZkPwA2Qd4,40.0,55.0,30.0,40.0,40.0,45.0,50.0,50.0,50.0,60.0,60.0,60.0,0,0,,0,n/a,7.163,,,,,,,,,,,,,,
,MLB,sa872856,Anderson Espinoza,Anderson Espinoza,/players/anderson-espinoza/18593/stats/pitching,18593,P,-1.0,,,,2019,60,170,"6' 0""",,10,1,,Venezuela,,,,,,,60 / 70,,50 / 70,50 / 70,,,40 / 50,2017,0,,5193,1,Anderson,Espinoza,RHP,18,SDP,2017,2017 Report,18593,0,,10,1,60,0,2019,J2 2014,,72,170,R,R,Venezuela,,eF2DdHl9_dQ,,,,,,,,,,,,,0,0,,0,1,1.033,60.0,70.0,,,50.0,70.0,50.0,70.0,40.0,50.0,,,,
MLB,MLB,sa830219,Ozzie Albies,Ozzie Albies,/players/ozzie-albies/16556/stats/batting,16556,2B,16.0,,,,2018,60,160,"5' 9""",,11,2,,Curacao,45 / 70,20 / 30,40 / 40,70 / 70,50 / 60,55 / 55,,,,,,,,2017,0,,4885,2,Ozzie,Albies,2B,20,ATL,2017,2017 Report,16556,0,,11,2,60,0,2018,J2 2013,,69,160,S,R,Curacao,,Dojauvbby9k,45.0,70.0,20.0,30.0,40.0,40.0,70.0,70.0,50.0,60.0,55.0,55.0,0,0,,0,n/a,8.062,,,,,,,,,,,,,,
,AAA,sa868984,Yadier Alvarez,Yadier Alvarez,/players/yadier-lvarez/sa868984/stats/pitching,sa868984,P,-1.0,,,,2019,60,175,"6' 3""",,12,1,,Cuba,,,,,,,60 / 70,50 / 60,40 / 50,40 / 60,,,40 / 55,2017,0,,5029,1,Yadier,Alvarez,RHP,20,LAD,2017,2017 Report,sa868984,0,,12,1,60,0,2019,J2 2015,,75,175,R,R,Cuba,,GPeREXyoEzQ,,,,,,,,,,,,,0,0,,0,3,0.000,60.0,70.0,50.0,60.0,40.0,50.0,40.0,60.0,40.0,55.0,,,,
MLB,MLB,sa737794,Cody Bellinger,Cody Bellinger,/players/cody-bellinger/15998/stats/batting,15998,1B/OF,9.0,,,,2017,60,220,"6' 4""",,13,2,,Hamilton HS (AZ),30 / 45,40 / 60,60 / 70,45 / 40,60 / 70,60 / 60,,,,,,,,2017,0,,5030,2,Cody,Bellinger,1B,21,LAD,2017,2017 Report,15998,0,,13,2,60,0,2017,4th rd 2013,,76,220,L,L,Hamilton HS (AZ),,8FXTEFUVRe8,30.0,45.0,40.0,60.0,60.0,70.0,45.0,40.0,60.0,70.0,60.0,60.0,0,0,,0,n/a,8.160,,,,,,,,,,,,,,
