llevel,mlevel,minorMasterId,playerName,playerNameRoute,UPURL,UPID,positionDB,playerTeamId,RPM,Vel,cRisk,cETA,cFV,cWeight,cHeight,cRank,cOVR,cORG,cTrend,cDraftSchool,Hit,Game,Raw,Spd,Fld,Arm,FB,SL,CB,CH,SPL,CT,CMD,cSeason,playerPageSortOrder,cCollegeCommit,ID,RowID,FirstName,LastName,Position,Age,Team,Season,Type,PlayerId,DraftRank,ProjTeam,Ovr_Rank,Org_Rank,FV_Current,Risk_Current,ETA_Current,Draft,CollegeCommit,Height,Weight,Bats,Throws,School,Summary,YouTube,pHit,fHit,pGame,fGame,pRaw,fRaw,pSpd,fSpd,pFld,fFld,pArm,fArm,pFB,fFB,pSL,fSL,pCB,fCB,pSPL,fSPL,pCMD,fCMD,bRPM,fRPM,Range,Touch,Variance,options,servicetime,pCH,fCH,pCT,fCT
MLB,MLB,sa3023354,Shohei Ohtani,Shohei Ohtani,/players/shohei-ohtani/19755/stats/batting,19755,DH,22.0,,,Low,2018,70,203,"6' 4""",,1,1,,Japan,30 / 40,50 / 55,70 / 70,60 / 60,40 / 45,80 / 80,80 / 80,55 / 60,50 / 50,,70 / 70,,45 / 55,2018,0,,17041,1,Shohei,Ohtani,RHP,23,LAA,2018,2018 Report,19755,0,,1,1,70,0,2018,J2 2017,,76,203,L,R,Japan,"Ohtani has prototypical size, athleticism and stuff, sitting in the upper-90s with a bevy of plus (or better) secondary offerings, the best of which is a dominant splitter. He didn't pitch much last year due to a rash of mostly non-arm injuries. He'll be in the big leagues immediately and projects as a frontline starter who may also provide some value with the bat, though there's skepticism about his ability to hit big league pitching if he's only seeing it a couple times a week. That said, he has plus plus raw power, so he's sure to hit a few tape measure shots, even if his contact ability is an open question.",i09-1XQIMtc,30.0,40.0,50.0,55.0,70.0,70.0,60.0,60.0,40.0,45.0,80.0,80.0,80.0,80.0,55.0,60.0,50.0,50.0,70.0,70.0,45.0,55.0,0,0,,0,Low,n/a,8.000,,,,
MLB,MLB,sa877503,Ronald Acuña Jr.,Ronald Acuna Jr.,/players/ronald-acuna-jr/18401/stats/batting,18401,OF,16.0,,,Low,2018,65,180,"6' 0""",,2,1,,Venezuela,50 / 55,50 / 65,65 / 70,60 / 55,45 / 50,70 / 70,,,,,,,,2018,0,,17393,1,Ronald,Acuna,CF,19,ATL,2018,2018 Report,18401,0,,2,1,65,0,2018,J2 2014,,72,180,R,R,Venezuela,"In 2017, Acuna made the leap from scout favorite and known toolshed with limited experience in Low-A to one of the top prospects in baseball. He demolished High-A, Double-A and Triple-A as a 19-year-old, performing even better at each level, a near unprecedented performance. He will be the Braves starting right or left fielder (in deference to Ender Inciarte in center) in the first half of 2018 and projects for a peak season of at least 4 wins with about the lowest risk/variance a 20-year-old can offer.",jM2RtuJ_TJM,50.0,55.0,50.0,65.0,65.0,70.0,60.0,55.0,45.0,50.0,70.0,70.0,,,,,,,,,,,0,0,,0,Low,n/a,7.159,,,,
MLB,MLB,sa920245,Vladimir Guerrero Jr.,Vladimir Guerrero Jr.,/players/vladimir-guerrero-jr/19611/stats/batting,19611,1B,14.0,,,Low,2019,65,215,"6' 1""",,3,1,,Dominican Republic,40 / 65,40 / 70,65 / 70,40 / 30,40 / 50,60 / 60,,,,,,,,2018,0,,17348,1,Vladimir,"Guerrero, Jr.",1B,18,TOR,2018,2018 Report,19611,0,,3,1,65,0,2019,J2 2015,,73,215,R,R,Dominican Republic,"Guerrero was identified as an elite talent for his age years before the Jays signed him at age 16, evident from a similar advanced feel for hitting and raw power of his father. Unlike his Hall of Fame father, Vlad Jr. has generally developed earlier--physically looking too big for third base as a teenager and polishing his tools at a very young stage. Whether Vlad Jr. settles as a fringy third baseman or a first basemen/designated hitter is up for debate, but his easy plus hit and power tools (with ceiling for more) are not and will make his ascent to the big leagues a quick one.",0pq1nJRuxC4,40.0,65.0,40.0,70.0,65.0,70.0,40.0,30.0,40.0,50.0,60.0,60.0,,,,,,,,,,,0,0,,0,Low,n/a,6.157,,,,
MLB,MLB,sa828409,Victor Robles,Victor Robles,/players/victor-robles/18363/stats/batting,18363,OF,11.0,,,Low,2018,65,185,"6' 0""",,4,1,,Dominican Republic,55 / 70,35 / 45,40 / 50,70 / 70,60 / 70,70 / 70,,,,,,,,2018,0,,17599,1,Victor,Robles,CF,20,WSN,2018,2018 Report,18363,0,,4,1,65,0,2018,J2 2013,,72,185,R,R,Dominican Republic,"He's barely played a month above A-ball but Robles looked ready for the big leagues in 2017 and got a brief cup of coffee before finishing his season in the Arizona Fall League. He's a polished, instinctive player capable of making an impact in every facet of baseball. Robles has great feel for all-fields contact and sneaky power for his size which manifests itself in doubles and triples. He's also a potential Gold Glove center fielder with breathtaking range and arm strength and he was easily the best baserunner in the AFL, which featuers a pretty advanced group of prospects. Andrew McCutchen comps have been pretty common here because Robles has a similar build and swing, but from a skillset perspective Robles looks more like Lorenzo Cain. He's a likely star and arguably the most polished prospect on this list.",3VwXSd7XgXo,55.0,70.0,35.0,45.0,40.0,50.0,70.0,70.0,60.0,70.0,70.0,70.0,,,,,,,,,,,0,0,,0,Low,n/a,7.033,,,,
MLB,MLB,sa919910,Fernando Tatis Jr.,Fernando Tatis Jr.,/players/fernando-tatis-jr/19709/stats/batting,19709,SS/OF,29.0,,,Medium,2019,65,185,"6' 3""",,5,1,,Dominican Republic,30 / 55,40 / 60,60 / 70,55 / 45,50 / 55,60 / 60,,,,,,,,2018,0,,17712,1,Fernando,"Tatis, Jr.",3B,19,SDP,2018,2018 Report,19709,0,,5,1,65,0,2019,J2 2015,,75,185,R,R,Dominican Republic,"Scouts in the U.S. became enamored with Tatis during 2016 extended spring training in Arizona and San Diego poached him from the White Sox before he had even suited up for a professional game. He was sent to full-season Fort Wayne as an 18-year-old in 2017 and hit .280/.390/.520 with 20 homers and steals and, perhaps most impressively for his age, a 14.5% walk rate. He also flashes occasional acrobatic brilliance at shortstop, though scouts are not unanimous about his long term prospects there because of the size of Tatis' frame.",f-7iDniIWf0,30.0,55.0,40.0,60.0,60.0,70.0,55.0,45.0,50.0,55.0,60.0,60.0,,,,,,,,,,,0,0,,0,Medium,n/a,6.120,,,,
CPX,MLB,sa830373,Eloy Jiménez,Eloy Jimenez,/players/eloy-jimenez/17484/stats/batting,17484,DH/OF,14.0,,,Medium,2019,65,225,"6' 4""",,6,1,,Dominican Republic,30 / 50,50 / 70,70 / 80,45 / 40,45 / 50,60 / 60,,,,,,,,2018,0,,17099,1,Eloy,Jimenez,RF,21,CHW,2018,2018 Report,17484,0,,6,1,65,0,2019,J2 2013,,76,225,R,R,Dominican Republic,"Jimenez was largely compared head-to-head with SS Gleyber Torres (#11 on this list) as the top talents in the loaded 2013 July 2nd class (Victor Robles and Ozzie Albies were much lower regarded at the time), where both players signed with the Cubs, then later were traded as headliners in blockbuster trades for Aroldis Chapman and Jose Quintana. Jimenez has developed as expected, already showing the ability to hit for 70 game power due to a rare feel for hitting for a prospect with potential 80 raw power, along with a rare level of athleticism that allows him to play a solid right field--a combination present in players like Giancarlo Stanton and Aaron Judge.",qzcfGawJz30,30.0,50.0,50.0,70.0,70.0,80.0,45.0,40.0,45.0,50.0,60.0,60.0,,,,,,,,,,,0,0,,0,Medium,n/a,6.000,,,,
,MLB,sa873264,Nick Senzel,Nick Senzel,/players/nick-senzel/19293/stats/batting,19293,OF,-1.0,,,Low,2018,60,205,"6' 1""",,7,1,,Tennessee,55 / 70,40 / 55,55 / 55,55 / 55,45 / 55,55 / 55,,,,,,,,2018,0,,17447,1,Nick,Senzel,3B,22,CIN,2018,2018 Report,19293,0,,7,1,60,0,2018,1st rd 2016,,73,205,R,R,Tennessee,"One of the toughest outs in the minors, Senzel combines a patient, discerning, offensive approach with a simple swing, superlative hand-eye coordination, and bat control. He's an opportunistic power hitter who has shown dramatic improvement at third base over the last two years (he was not good at 3B as a soph at Tennessee) and is working to expand his defensive resume to accelerate his timetable to Cincinnati with Eugenio Suarez currently occupying third. He'll likely be up in 2018 and should make an offensive impact immediately.",1Jkza_J-9MU,55.0,70.0,40.0,55.0,55.0,55.0,55.0,55.0,45.0,55.0,55.0,55.0,,,,,,,,,,,0,0,,0,Low,n/a,5.127,,,,
,MLB,sa917930,Forrest Whitley,Forrest Whitley,/players/forrest-whitley/19586/stats/pitching,19586,P,-1.0,,,Medium,2018,60,230,"6' 7""",,8,1,,Alamo Heights HS (TX),,,,,,,70 / 70,55 / 60,60 / 60,55 / 60,,50 / 55,45 / 55,2018,0,,17523,1,Forrest,Whitley,RHP,20,HOU,2018,2018 Report,19586,0,,8,1,60,0,2018,1st rd 2016,,79,230,R,R,Alamo Heights HS (TX),"When Whitley remade his physique during his senior year of high school, his stuff and command both ticked up and they've continued to do so. He now sits 93-97. Whitley's size and delivery creates good angle up and down in the zone, and he can sink or cut his fastball if he wants to. He has a knee-buckling curveball, a hard slider and a burgeoning changeup that has quickly developed into a plus pitch. Whitley's delivery is a bit violent but he throws strikes and already has impressive control for a pitcher this size, age and with this kind of stuff. He has ace ceiling.",3dPGupFsWFY,,,,,,,,,,,,,70.0,70.0,55.0,60.0,60.0,60.0,,,45.0,55.0,0,0,,0,Medium,0,0.103,55.0,60.0,50.0,55.0
MLB,MLB,sa917949,Bo Bichette,Bo Bichette,/players/bo-bichette/19612/stats/batting,19612,SS,25.0,,,Medium,2019,60,200,"6' 0""",,9,2,,Lakewood HS (FL),30 / 50,40 / 60,65 / 70,45 / 45,45 / 50,55 / 55,,,,,,,,2018,0,,17349,2,Bo,Bichette,2B,19,TOR,2018,2018 Report,19612,0,,9,2,60,0,2019,2nd rd 2016,,72,200,R,R,Lakewood HS (FL),"Bichette was a well-known prospect in high school due to his bloodlines (father Dante and older brother Yankees 1st rounder Dante Jr.), his big tools (plus raw power) and his loud, max effort swing. Many teams didn't take him seriously as a top-2 round prospect, partly souring after his brother busted with a similar swing, but Bo has rare bat and body control along with good enough pitch selection to make his approach work, something his older brother did not. Bichette is playing shortstop now and likely will not at higher levels, with second base the most likely fit, but he has the tools to play any corner position and his bat profiles anywhere.",lRUNUyhGHkM,30.0,50.0,40.0,60.0,65.0,70.0,45.0,45.0,45.0,50.0,55.0,55.0,,,,,,,,,,,0,0,,0,Medium,n/a,6.063,,,,
MLB,MLB,sa874240,Kyle Tucker,Kyle Tucker,/players/kyle-tucker/18345/stats/batting,18345,OF,22.0,,,Low,2019,60,200,"6' 4""",,10,2,,Plant HS (FL),35 / 65,40 / 60,65 / 65,45 / 40,40 / 50,55 / 55,,,,,,,,2018,0,,17524,2,Kyle,Tucker,RF,21,HOU,2018,2018 Report,18345,0,,10,2,60,0,2019,1st rd 2015,,76,200,L,R,Plant HS (FL),"The player evaluation side of the industry doesn't anticipate Tucker will remain center field for very long and wasn't particularly enthused by his Fall League effort, but he's going to hit and, if last year's launch angle uptick is any indication, he's going to hit for power. Tucker was a flat-planed, hit-first prospect in high school who scouts hoped would grow into power. Instead it seems Tucker and Houston have taken advantage of his natural bat control and engineered a more power-friendly swing. He's had success through Double-A at age 20 and is likely to mature into a middle-of-the-order threat.",z84M9j2JoEc,35.0,65.0,40.0,60.0,65.0,65.0,45.0,40.0,40.0,50.0,55.0,55.0,,,,,,,,,,,0,0,,0,Low,n/a,6.079,,,,
