name,key_mlbam,key_fangraphs,age,year,primary_position,eta,report,Arm,Changeup,Control,Curveball,Cutter,Fastball,Field,Hit,Power,Run,Slider,Splitter,source,birthdate,mlb_played_first,debut_age,label,text
**Luke Heimlich,0,sa3008629,22.3,2018,LHP,0,"Heimlich is a Level 1 sex offender and wouldn't be on our board were we running a draft room. The general consensus around the industry is that a team is going to draft Heimlich, so we're compelled to cover his ability. We have him ranked where we think he fits on the continuum of talent, early in round two, though he probably won't be drafted until much later. Heimlich was projected to go early in round two last year, when he was a junior. Shortly before the draft, The Oregonian reported court documents that showed Heimlich plead guilty to sexually assaulting his niece. Court records showed the victim reported multiple incidents of molestation between 2009 and 2011, when Heimlich was 14-15 years old and the victim was 4-6. He plead guilty to one count which included a handwritten admission and the the other count was dismissed as part of a plea bargain. After this information surface, Heimlich spent the rest of the spring of 2017 away from Oregon State and went undrafted. He returned for his senior season and has pitched well while, amid intermediate media attention, he and his family (except for the immediate family of the victim) denied he committed the crime and say Heimlich plead guilty so the legal proceedings would end more quickly. This situation is abnormal, there's no precedent for it and it's unclear how a team would go about clearing Heimlich for employment if they wanted to, though ownership would certainly have to be involved.",0,55,55,55,0,55,0,0,0,0,0,0,fg_2018 Draft,1996-02-03,0,0.0,0,"PERSON is a Level 1 sex offender and wouldn't be on our board were we running a draft room. The general consensus around the industry is that a team is going to draft PERSON, so we're compelled to cover his ability. We have him ranked where we think he fits on the continuum of talent, early in round two, though he probably won't be drafted until much later. PERSON was projected to go early in round two last year, when he was a junior. Shortly before the draft, The GPE reported court documents that showed PERSON plead guilty to sexually assaulting his niece. Court records showed the victim reported multiple incidents of molestation between 2009 and 2011, when PERSON was 14-15 years old and the victim was 4-6. He plead guilty to one count which included a handwritten admission and the the other count was dismissed as part of a plea bargain. After this information surface, PERSON spent the rest of the spring of 2017 away from GPE State and went undrafted. He returned for his senior season and has pitched well while, amid intermediate media attention, he and his family (except for the immediate family of the victim) denied he committed the crime and say PERSON plead guilty so the legal proceedings would end more quickly. This situation is abnormal, there's no precedent for it and it's unclear how a team would go about clearing PERSON for employment if they wanted to, though ownership would certainly have to be involved."
**Noah Song,679977,sa917943,22.0,2019,RHP,0,"The way teams value Song depends on whether or not they feel confident the U.S. Department of Defense will re-write service academy athlete policy. Currently, Song must complete two years of Naval service. This administration may reinstate an Obama-era rule that allows athletes to petition for an exemption to pursue sports. If that rule were currently in place, Song would go in the top 50. He throws hard, attacks hitters with his fastball and slider, and will mix in the occasional knee-buckling, rainbow curveball. If teams think Song will have to serve and thus won't be able to pitch again until he's 24, he'll fall to Day 3.",0,45,50,55,0,60,0,0,0,0,55,0,fg_2019 Draft,1899-12-30,0,0.0,0,"The way teams value PERSON depends on whether or not they feel confident the ORGANIZATION of ORGANIZATION will re-write service academy athlete policy. PERSON, PERSON must complete two years of GPE service. This administration may reinstate an Obama-era rule that allows athletes to petition for an exemption to pursue sports. If that rule were currently in place, PERSON would go in the top 50. He throws hard, attacks hitters with his fastball and slider, and will mix in the occasional knee-buckling, rainbow curveball. If teams think PERSON will have to serve and thus won't be able to pitch again until he's 24, he'll fall to Day 3."
A.J. Alexy,669935,0,19.7,2018,RHP,2020,"Willie Calhoun was the headliner in the three-prospect package the Rangers received from the Dodgers for Yu Darvish last July, but Alexy quickly asserted himself as one of the best starting pitchers in his new system. Los Angeles signed him for a well over-slot $600,000 as an 11th-rounder in 2016, one month after he infamously threw a 164-pitch complete game at Twin Valley High (Elverson, Pa.). He impressed the Dodgers so much in his first spring training that they sent him to low Class A at age 18, and he struck out 113 in 94 1/3 innings between the two organizations.Alexy added strength during his first full year in pro ball, boosting his high-spin-rate fastball consistently into the low 90s, and his 6-foot-4 frame still has room to add more muscle. His curveball already had good depth and added power as well, becoming a consistent plus pitch. His changeup isn't as consistent as his other offerings but has the makings of an average pitch.Because Alexy didn't become a full-time pitcher until his junior year in high school, he's just scratching the surface of his potential. There's still some effort in his delivery but he's athletic and toned it down in his first full season, so the Rangers think he'll throw more strikes. His curveball and competitiveness will serve him well if he eventually moves into the bullpen.",0,50,45,60,0,60,0,0,0,0,0,0,mlbam,1998-04-21,0,0.0,-1,"PERSON PERSON was the headliner in the three-prospect package the ORGANIZATION received from the ORGANIZATION for PERSON last July, but PERSON quickly asserted himself as one of the best starting pitchers in his new system. PERSON signed him for a well over-slot $600,000 as an 11th-rounder in 2016, one month after he infamously threw a 164-pitch complete game at ORGANIZATION (PERSON, Pa.). He impressed the ORGANIZATION so much in his first spring training that they sent him to low Class A at age 18, and he struck out 113 in 94 1/3 innings between the two organizations.PERSON added strength during his first full year in pro ball, boosting his high-spin-rate fastball consistently into the low 90s, and his 6-foot-4 frame still has room to add more muscle. His curveball already had good depth and added power as well, becoming a consistent plus pitch. His changeup isn't as consistent as his other offerings but has the makings of an average pitch.Because PERSON didn't become a full-time pitcher until his junior year in high school, he's just scratching the surface of his potential. There's still some effort in his delivery but he's athletic and toned it down in his first full season, so the ORGANIZATION think he'll throw more strikes. His curveball and competitiveness will serve him well if he eventually moves into the bullpen."
A.J. Alexy,669935,0,18.7,2017,RHP,2020,"Alexy made headlines for all the wrong reasons when he threw a nine-inning, 164-pitch complete game at Twin Valley High (Elverson, Pa.) in May 2016. A month later, the Dodgers selected him in the 11th round and gave him $600,000 to pass up a commitment to Radford. He made such a good impression in his first Spring Training that he earned an assignment to low Class A at age 18, and he continued to stand out before the Rangers acquired him in the Yu Darvish trade in July.Alexy's best present weapon is his curveball, which has depth and could become a true plus offering once it adds more power. He usually works at 88-93 mph with his fastball and should add more velocity once he fills out his projectable 6-foot-4 frame. His changeup is more of a work in progress, but has some potential.He didn't become a full-time pitcher until he was a junior in high school, so Alexy still has room for lots of growth. He has a quick arm and his pitches should continue to improve as he gets stronger and refines his delivery. Club officials praise his competitive nature.",0,50,50,55,0,55,0,0,0,0,0,0,mlbam,1998-04-21,0,0.0,-1,"PERSON made headlines for all the wrong reasons when he threw a nine-inning, 164-pitch complete game at ORGANIZATION (PERSON, Pa.) in May 2016. A month later, the ORGANIZATION selected him in the 11th round and gave him $600,000 to pass up a commitment to GPE. He made such a good impression in his first Spring Training that he earned an assignment to low Class A at age 18, and he continued to stand out before the ORGANIZATION acquired him in the Yu Darvish trade in July.PERSON's best present weapon is his curveball, which has depth and could become a true plus offering once it adds more power. He usually works at 88-93 mph with his fastball and should add more velocity once he fills out his projectable 6-foot-4 frame. His changeup is more of a work in progress, but has some potential.He didn't become a full-time pitcher until he was a junior in high school, so PERSON still has room for lots of growth. He has a quick arm and his pitches should continue to improve as he gets stronger and refines his delivery. ORGANIZATION officials praise his competitive nature."
A.J. Cole,595918,11467,22.0,2014,RHP,2015," The Nationals have acquired Cole twice, first when they drafted him in 2010 and then again in March 2013 in the Michael Morse deal. In between, Cole was part of the package they sent to the A's for Gio Gonzalez. After a disappointing year with the A's, Cole broke out in his return to the Nationals, reaching Double-A Harrisburg and pitching in the 2013 Futures Game.  Cole relies on his fastball, which sits in the mid-90s and reaches 98 mph. He commands the pitch well and isn't afraid to come after hitters with it. Though both his changeup and curveball aren't as advanced as his fastball, both have the potential to be Major League-average offerings.  If Cole can hone his offspeed pitches, he has the potential to be the latest homegrown member of the Nationals rotation.",0,55,55,0,0,70,0,0,0,0,0,0,mlbam,1992-01-05,2015,23.01,1," The ORGANIZATION have acquired PERSON twice, first when they drafted him in 2010 and then again in March 2013 in the ORGANIZATION deal. In between, PERSON was part of the package they sent to the A's for PERSON. After a disappointing year with the A's, PERSON broke out in his return to the ORGANIZATION, reaching Double-A Harrisburg and pitching in the 2013 ORGANIZATION.  PERSON relies on his fastball, which sits in the mid-90s and reaches 98 mph. He commands the pitch well and isn't afraid to come after hitters with it. Though both his changeup and curveball aren't as advanced as his fastball, both have the potential to be Major League-average offerings.  If PERSON can hone his offspeed pitches, he has the potential to be the latest homegrown member of the ORGANIZATION rotation."
A.J. Cole,595918,11467,24.0,2016,RHP,2016,"Signed for an above-slot $2 million as a Nationals fourth-round pick in 2010, Cole was shipped to the Athletics as part of the Gio Gonzalez trade after the 2011 season, only to return to Washington in a three-team deal for Mike Morse the following year. A strong start at Triple-A last season led to an unexpected callup in late April for the right-hander, although he made only one start (his big league debut) and a pair of relief appearances before returning to the Minors.Cole works in the low 90s with his fastball, but he can reach back for a few more ticks as needed, and his clean arm action and simple, repeatable delivery allow him to locate the pitch to both sides of the plate. His changeup is his best secondary offering and plays nicely off his fastball, and he also demonstrates feel for an average slider. Cole's curveball has improved as he's climbed the ladder, but it is still below average and represents a distant fourth pitch.Cole's deep arsenal and strike-throwing ability gives him a solid floor as a back-end starter, but he's now behind several other young arms on the Nationals' depth chart.",0,55,55,45,0,55,0,0,0,0,50,0,mlbam,1992-01-05,2015,23.01,1,"Signed for an above-slot $2 million as a ORGANIZATION fourth-round pick in 2010, PERSON was shipped to the ORGANIZATION as part of the ORGANIZATION trade after the 2011 season, only to return to GPE in a three-team deal for PERSON the following year. A strong start at Triple-A last season led to an unexpected callup in late April for the right-hander, although he made only one start (his big league debut) and a pair of relief appearances before returning to the Minors.PERSON works in the low 90s with his fastball, but he can reach back for a few more ticks as needed, and his clean arm action and simple, repeatable delivery allow him to locate the pitch to both sides of the plate. His changeup is his best secondary offering and plays nicely off his fastball, and he also demonstrates feel for an average slider. PERSON's curveball has improved as he's climbed the ladder, but it is still below average and represents a distant fourth pitch.PERSON's deep arsenal and strike-throwing ability gives him a solid floor as a back-end starter, but he's now behind several other young arms on the ORGANIZATION' depth chart."
A.J. Cole,595918,11467,21.0,2013,RHP,2015," It often takes time for those high-ceilinged, hard-throwing high schoolers to develop into pitchers. For some, it takes longer than others and while Cole fits more into the latter category, there's still a lot to like about the projectable right-hander. Clearly, the Nationals agree as they re-acquired the player they initially drafted during this past offseason after sending him to the A's in the December 2011 deal that brought Gio Gonzalez to Washington. He still has the big arm that made him a big-time prospect in the 2010 Draft, delivering fastballs that touch 96 mph with good movement. His curve can be a bit slurvy, but has the chance to be at least an average power breaking ball. He has good feel for a fading changeup. There is still plenty of time for him to develop his secondary stuff and overall command and become the frontline starter many think he has the potential to become.",0,50,50,0,0,70,0,0,0,0,0,0,mlbam,1992-01-05,2015,23.01,1," It often takes time for those high-ceilinged, hard-throwing high schoolers to develop into pitchers. For some, it takes longer than others and while GPE fits more into the latter category, there's still a lot to like about the projectable right-hander. Clearly, the ORGANIZATION agree as they re-acquired the player they initially drafted during this past offseason after sending him to the A's in the December 2011 deal that brought PERSON to GPE. He still has the big arm that made him a big-time prospect in the 2010 Draft, delivering fastballs that touch 96 mph with good movement. His curve can be a bit slurvy, but has the chance to be at least an average power breaking ball. He has good feel for a fading changeup. There is still plenty of time for him to develop his secondary stuff and overall command and become the frontline starter many think he has the potential to become."
A.J. Cole,595918,11467,23.0,2015,RHP,2015," Signed for an above-slot $2 million as a Nationals fourth-round pick in 2010, Cole went to the Athletics as part of the Gio Gonzalez trade after the 2011 season and came back to Washington in a three-team deal for Mike Morse a year later. He has made steady progress, reaching Triple-A at age 22 last season and making his big league debut this April. Using a simple, clean delivery, Cole creates easy velocity. His fastball sits in the low- to mid-90s and he commands it effectively to both sides of the plate. He has good feel for his changeup and it provides good contrast to his fastball. He has tightened his breaking ball, going more with a short, biting slider that should give him an effective third offering.Cole earns praise for his makeup and attacking mentality on the mound. While the Nationals entered 2015 with a crowded rotation, he could soon become their latest homegrown starter.",0,55,55,45,0,65,0,0,0,0,50,0,mlbam,1992-01-05,2015,23.01,1," Signed for an above-slot $2 million as a ORGANIZATION fourth-round pick in 2010, GPE went to the ORGANIZATION as part of the ORGANIZATION trade after the 2011 season and came back to GPE in a three-team deal for PERSON a year later. He has made steady progress, reaching Triple-A at age 22 last season and making his big league debut this April. Using a simple, clean delivery, GPE creates easy velocity. His fastball sits in the low- to mid-90s and he commands it effectively to both sides of the plate. He has good feel for his changeup and it provides good contrast to his fastball. He has tightened his breaking ball, going more with a short, biting slider that should give him an effective third offering.GPE earns praise for his makeup and attacking mentality on the mound. While the ORGANIZATION entered 2015 with a crowded rotation, he could soon become their latest homegrown starter."
A.J. Gardner,gardner_aj,0,17.7,2017,OF,0,"PDP Premier Event: Jan. 14, 2017 - AtlantaFavorite MLB Team: New York MetsFavorite MLB Player: Mike Trout An Alabama State commit from Fayetteville, Ga., Gardner was named to the 2016 Southeast Top Prospect Showcase Top Prospect List.At the plate, Gardner has a good body and legitimate bat speed. He uses his hands well and has showed the ability to hit line drives to all fields.Defensively, he has average arm strength with carry, and it's clear that he's an athlete.",0,0,0,0,0,0,0,0,0,0,0,0,mlbam,1899-12-30,0,0.0,0,"ORGANIZATION Premier Event: Jan. 14, 2017 - ORGANIZATION MLB Team: GPE ORGANIZATION MLB Player: PERSON State commit from GPE, Ga., PERSON was named to the 2016 LOCATION Prospect Showcase Top Prospect List.At the plate, PERSON has a good body and legitimate bat speed. He uses his hands well and has showed the ability to hit line drives to all fields.Defensively, he has average arm strength with carry, and it's clear that he's an athlete."
A.J. Jimenez,543362,7077,22.7,2013,C,2014,"Jimenez was off to a solid start during his first taste of Double-A ball in 2012 when he needed Tommy John surgery after just 27 games. He's a defensive-minded catcher, so getting that arm back healthy is important, especially considering it was responsible for throwing out 43 percent of would-be basestealers throughout his Minor League career. He's athletic and agile behind the plate, giving him outstanding defensive grades across the board. The backstop from Puerto Rico was showing that while he's glove first, he can do some things with his bat. He has quality at-bats, squares up consistently with some extra-base pop that could turn into a bit more. Once 100 percent, he has the chance to be a regular big league catcher and at least he doesn't have Travis d'Arnaud blocking him in the Minors anymore.",60,0,0,0,0,0,60,50,50,30,0,0,mlbam,1990-05-01,2017,26.69,0,"PERSON was off to a solid start during his first taste of Double-A ball in 2012 when he needed PERSON surgery after just 27 games. He's a defensive-minded catcher, so getting that arm back healthy is important, especially considering it was responsible for throwing out 43 percent of would-be basestealers throughout his ORGANIZATION career. He's athletic and agile behind the plate, giving him outstanding defensive grades across the board. The backstop from GPE was showing that while he's glove first, he can do some things with his bat. He has quality at-bats, squares up consistently with some extra-base pop that could turn into a bit more. Once 100 percent, he has the chance to be a regular big league catcher and at least he doesn't have PERSON d'Arnaud blocking him in the Minors anymore."
