player_id,name,bucket,draft_year,draft_round,primary_position,current_org,cur_level_2026,age_at_snap,years_in_pro,p_TOP_100_PROSPECT,p_MLB_DEBUT,p_ESTABLISHED_MLB,p_STAR_PLUS_ELITE,time_to_debut,passes_filter,ebay_price_median,ebay_price_p25,ebay_n_listings,ebay_top_listing_url
ifa_699024,Leo Bernal,IFA,,,C,,AAA,22.0,5,0.09390145,0.8811066,0.48812485,0.079395056,2.54410111550873,True,,,,
draft_2024_dylan_dreiling_r2p65,Dylan Dreiling,R2-R3,2024.0,2.0,OF,Texas Rangers,AA,23.0,2,0.2202425,0.8471055,0.012612609,0.0046077897,1.6144578493262425,True,24.975,20.0,14.0,https://www.ebay.com/itm/267331620058?_skw=%22Dylan+Dreiling%22+1st+Bowman+Chrome+auto&hash=item3e3e34ccda:g:6igAAeSwvI1oetSx
draft_2025_josiah_hartshorn_r6p181,Josiah Hartshorn,R4-R10,2025.0,6.0,OF,Chicago Cubs,A+,19.0,1,0.67618525,0.8412335,0.031202003,0.012015913,1.8755344044910776,True,74.49,70.5525,10.0,https://www.ebay.com/itm/227336111533?_skw=%22Josiah+Hartshorn%22+1st+Bowman+Chrome+auto&hash=item34ee49c5ad:g:kzkAAeSwur5p~oAh
draft_2024_jonathan_santucci_r2p46,Jonathan Santucci,R2-R3,2024.0,2.0,LHP,New York Mets,AA,24.0,2,0.046476252,0.8356776,0.005227319,0.0036994256,1.5502761464215993,True,44.99,37.49,3.0,https://www.ebay.com/itm/188386893894?_skw=%22Jonathan+Santucci%22+1st+Bowman+Chrome+auto&hash=item2bdcbbe046:g:gyoAAeSw~F1qB4R-
draft_2024_sam_petersen_r8p230,Sam Petersen,R4-R10,2024.0,8.0,OF,Washington Nationals,AA,23.0,2,0.20162366,0.8273005,0.012202401,0.0041161817,1.7225464848164072,True,15.99,14.99,3.0,https://www.ebay.com/itm/267671725009?_skw=%22Sam+Petersen%22+1st+Bowman+Chrome+auto&hash=item3e527a63d1:g:TiQAAeSwGYJqCMsI
ifa_800325,Luis Lara,IFA,,,CF,,AAA,22.0,4,0.09463376,0.81777656,0.4168215,0.08432067,2.3911280104942305,True,87.5,74.99,24.0,https://www.ebay.com/itm/205482332564?_skw=%22Luis+Lara%22+1st+Bowman+Chrome+auto&hash=item2fd7b39194:g:~GQAAOSwGu9l4rsX
draft_2024_david_shields_r2p41,David Shields,R2-R3,2024.0,2.0,LHP,Kansas City Royals,A+,20.0,2,0.36765715,0.8101462,0.019010387,0.007887968,2.0191127345311903,True,69.99,62.495,15.0,https://www.ebay.com/itm/198356279831?_skw=%22David+Shields%22+1st+Bowman+Chrome+auto&hash=item2e2ef4a217:g:jq8AAeSwVKVqBqUF
draft_2024_sean_keys_r4p125,Sean Keys,R4-R10,2024.0,4.0,3B,Toronto Blue Jays,AAA,23.0,2,0.22590223,0.8099934,0.025418896,0.0055966536,1.6822490595468447,True,38.64,32.495,4.0,https://www.ebay.com/itm/336566844409?_skw=%22Sean+Keys%22+1st+Bowman+Chrome+auto&hash=item4e5cf27bf9:g:kf8AAeSwN8dp9-Kn
draft_2024_joshua_kuroda-grauer_r3p75,Joshua Kuroda-Grauer,R2-R3,2024.0,3.0,SS,Oakland Athletics,AAA,23.0,2,0.22361936,0.80490863,0.31889188,0.09288755,1.4203205647278148,True,,,,
draft_2024_jackson_kent_r4p108,Jackson Kent,R4-R10,2024.0,4.0,LHP,Washington Nationals,AAA,23.0,2,0.15125388,0.80369663,0.0114691155,0.003729636,1.6706187826442975,True,,,,
