player_id,name,bucket,draft_year,draft_round,primary_position,current_org,cur_level_2026,age_at_snap,years_in_pro,p_TOP_100_PROSPECT,p_MLB_DEBUT,p_ESTABLISHED_MLB,p_STAR_PLUS_ELITE,time_to_debut,passes_filter,ebay_price_median,ebay_price_p25,ebay_n_listings,ebay_top_listing_url
draft_2024_joshua_kuroda-grauer_r3p75,Joshua Kuroda-Grauer,R2-R3,2024.0,3.0,SS,Oakland Athletics,AAA,22.0,2,0.420313,0.88050866,0.63104254,0.23402266,1.558726648735672,True,,,,
ifa_699024,Leo Bernal,IFA,,,C,,AAA,22.0,5,0.07806478,0.855444,0.41460535,0.055328857,2.431406120105481,True,,,,
draft_2024_sean_keys_r4p125,Sean Keys,R4-R10,2024.0,4.0,3B,Toronto Blue Jays,AAA,22.0,2,0.22748029,0.84780586,0.42982927,0.099110276,2.0683298820693765,True,38.64,32.495,4.0,https://www.ebay.com/itm/336566844409?_skw=%22Sean+Keys%22+1st+Bowman+Chrome+auto&hash=item4e5cf27bf9:g:kf8AAeSwN8dp9-Kn
draft_2025_josiah_hartshorn_r6p181,Josiah Hartshorn,R4-R10,2025.0,6.0,OF,Chicago Cubs,A+,22.0,1,0.54762846,0.8365606,0.36998305,0.12982129,1.5500186021774571,True,74.49,70.5525,10.0,https://www.ebay.com/itm/227336111533?_skw=%22Josiah+Hartshorn%22+1st+Bowman+Chrome+auto&hash=item34ee49c5ad:g:kzkAAeSwur5p~oAh
draft_2024_devin_fitz-gerald_r5p165,Devin Fitz-Gerald,R4-R10,2024.0,5.0,SS,Texas Rangers,A+,22.0,2,0.43330938,0.836473,0.45785925,0.16182686,2.028649505704762,True,69.99,65.0,21.0,https://www.ebay.com/itm/277989624838?_skw=%22Devin+Fitz-Gerald%22+1st+Bowman+Chrome+auto&hash=item40b9790c06:g:LyYAAeSwgV5pzfgE
ifa_800325,Luis Lara,IFA,,,CF,,AAA,22.0,4,0.024408406,0.8089016,0.29543686,0.05798573,2.497805064471166,True,87.5,74.99,24.0,https://www.ebay.com/itm/205482332564?_skw=%22Luis+Lara%22+1st+Bowman+Chrome+auto&hash=item2fd7b39194:g:~GQAAOSwGu9l4rsX
draft_2023_cooper_ingle_r4p125,Cooper Ingle,R4-R10,2023.0,4.0,C,Cleveland Guardians,AAA,24.0,3,0.044510018,0.78836143,0.025708662,0.009974864,1.4270788846604752,True,52.0,44.99,16.0,https://www.ebay.com/itm/306939589076?_skw=%22Cooper+Ingle%22+1st+Bowman+Chrome+auto&hash=item47770671d4:g:TzEAAeSwFU1qBn7I
draft_2025_tanner_thach_r8p227,Tanner Thach,R4-R10,2025.0,8.0,1B,Colorado Rockies,A,22.0,1,0.4085507,0.7729534,0.41006172,0.11037241,2.500691462386185,True,,,,
draft_2025_miguel_sime_jr_r4p111,Miguel Sime Jr.,R4-R10,2025.0,4.0,RHP,Washington Nationals,A+,22.0,1,0.32929254,0.7723082,0.24546324,0.060795218,2.0262513782737024,True,39.99,36.495000000000005,7.0,https://www.ebay.com/itm/318308616430?_skw=%22Miguel+Sime%22+1st+Bowman+Chrome+auto&hash=item4a1cac08ee:g:jwcAAeSweFVqB2yV
draft_2024_herick_hernandez_r4p129,Herick Hernandez,R4-R10,2024.0,4.0,LHP,Atlanta Braves,AA,22.0,2,0.050980493,0.7720418,0.29247576,0.05736595,2.2035971896256203,True,19.99,15.5,11.0,https://www.ebay.com/itm/168345584938?_skw=%22Herick+Hernandez%22+1st+Bowman+Chrome+auto&hash=item27322dc52a:g:aRkAAeSwKOdp9KAl
draft_2023_mitch_jebb_r2p42,Mitch Jebb,R2-R3,2023.0,2.0,SS,Pittsburgh Pirates,AAA,24.0,3,0.010645979,0.764877,0.017863046,0.004134451,1.433198509217571,True,15.0,12.3725,16.0,https://www.ebay.com/itm/287331942041?_skw=%22Mitch+Jebb%22+1st+Bowman+Chrome+auto&hash=item42e6517e99:g:D7AAAeSwA9FqBkAQ
draft_2025_adonys_guzman_r5p144,Adonys Guzman,R4-R10,2025.0,5.0,C,Pittsburgh Pirates,A+,22.0,1,0.05521747,0.75666505,0.27936003,0.04079988,2.0532892898619086,True,11.99,9.99,29.0,https://www.ebay.com/itm/198246732735?_skw=%22Adonys+Guzman%22+1st+Bowman+Chrome+auto&hash=item2e286d13bf:g:buIAAeSw33ZpzX-E
draft_2023_alonzo_tredwell_r2p61,Alonzo Tredwell,R2-R3,2023.0,2.0,RHP,Houston Astros,NONE,24.0,3,0.007551746,0.75458163,0.0053328834,0.002834773,1.8860400255768905,True,,,,
