========================================================================================
DEBUT LASSO -> OUTCOME REPORT
========================================================================================
lasso model: models/debut_lasso_universe_v1.17h.pkl
snap_offset evaluated: 2
buckets: ALL, R1, R2-R3, R4-R10, R10+, IFA
events: TOP_100_PROSPECT, MLB_DEBUT, ESTABLISHED_MLB, STAR_PLUS_ELITE

CURVE: per (bucket, event), realized rate by lasso-score percentile band
       (bands are within-cohort percentiles; top-of-list first)

--- event: TOP_100_PROSPECT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  ALL           0-10%   342   15   4.4%   4.68    +1.442    +8.670     +4.166
  ALL          10-20%   341    7   2.1%   2.19    +0.446    +1.427     +0.827
  ALL          20-30%   342    2   0.6%   0.62    +0.186    +0.446     +0.301
  ALL          30-40%   342    2   0.6%   0.62    +0.115    +0.186     +0.141
  ALL          40-50%   341    4   1.2%   1.25    +0.088    +0.115     +0.103
  ALL          50-60%   342    0   0.0%   0.00    +0.080    +0.088     +0.084
  ALL          60-70%   342    1   0.3%   0.31    +0.053    +0.080     +0.061
  ALL          70-80%   342    0   0.0%   0.00    +0.025    +0.053     +0.041
  ALL          80-90%   341    1   0.3%   0.31    -0.022    +0.025     +0.004
  ALL          90-95%   171    0   0.0%   0.00    -0.054    -0.022     -0.036
  ALL          95-99%   137    0   0.0%   0.00    -0.138    -0.054     -0.071
  ALL         99-100%    34    0   0.0%   0.00    -0.469    -0.147     -0.289
  R1            0-10%     4    2  50.0%   1.75    +8.119    +8.670     +8.359
  R1           10-20%     3    2  66.7%   2.33    +7.347    +7.970     +7.618
  R1           20-30%     3    2  66.7%   2.33    +3.579    +5.188     +4.501
  R1           30-40%     4    1  25.0%   0.88    +2.134    +3.535     +2.784
  R1           40-50%     4    1  25.0%   0.88    +1.364    +2.090     +1.619
  R1           50-60%     3    1  33.3%   1.17    +1.036    +1.092     +1.058
  R1           60-70%     3    1  33.3%   1.17    +0.578    +0.867     +0.752
  R1           70-80%     4    0   0.0%   0.00    +0.247    +0.415     +0.325
  R1           80-90%     4    0   0.0%   0.00    +0.189    +0.234     +0.213
  R1           90-95%     1    0   0.0%   0.00    +0.141    +0.141     +0.141
  R1           95-99%     2    0   0.0%   0.00    +0.091    +0.110     +0.100
  R2-R3         0-10%     9    0   0.0%   0.00    +7.833    +8.483     +8.098
  R2-R3        10-20%     9    1  11.1%   2.04    +7.212    +7.795     +7.588
  R2-R3        20-30%    10    0   0.0%   0.00    +5.710    +6.844     +6.250
  R2-R3        30-40%     9    1  11.1%   2.04    +4.665    +5.677     +5.096
  R2-R3        40-50%     9    1  11.1%   2.04    +2.774    +4.660     +3.922
  R2-R3        50-60%     9    0   0.0%   0.00    +1.505    +2.577     +1.991
  R2-R3        60-70%     9    2  22.2%   4.09    +0.902    +1.482     +1.153
  R2-R3        70-80%    10    0   0.0%   0.00    +0.371    +0.836     +0.529
  R2-R3        80-90%     9    0   0.0%   0.00    +0.158    +0.341     +0.263
  R2-R3        90-95%     4    0   0.0%   0.00    +0.123    +0.150     +0.141
  R2-R3        95-99%     4    0   0.0%   0.00    +0.074    +0.105     +0.091
  R2-R3       99-100%     1    0   0.0%   0.00    +0.035    +0.035     +0.035
  R4-R10        0-10%    28    1   3.6%   4.96    +6.537    +8.462     +7.559
  R4-R10       10-20%    28    0   0.0%   0.00    +2.890    +6.239     +4.161
  R4-R10       20-30%    27    0   0.0%   0.00    +1.549    +2.801     +2.184
  R4-R10       30-40%    28    0   0.0%   0.00    +1.014    +1.544     +1.214
  R4-R10       40-50%    28    0   0.0%   0.00    +0.642    +0.997     +0.800
  R4-R10       50-60%    28    0   0.0%   0.00    +0.358    +0.636     +0.467
  R4-R10       60-70%    28    0   0.0%   0.00    +0.240    +0.358     +0.297
  R4-R10       70-80%    27    1   3.7%   5.15    +0.143    +0.227     +0.182
  R4-R10       80-90%    28    0   0.0%   0.00    +0.068    +0.143     +0.102
  R4-R10       90-95%    14    0   0.0%   0.00    +0.033    +0.067     +0.053
  R4-R10       95-99%    11    0   0.0%   0.00    -0.047    +0.029     -0.005
  R4-R10      99-100%     3    0   0.0%   0.00    -0.089    -0.053     -0.075
  R10+          0-10%   118    1   0.8%   4.98    +0.893    +8.522     +2.946
  R10+         10-20%   117    0   0.0%   0.00    +0.361    +0.890     +0.558
  R10+         20-30%   117    0   0.0%   0.00    +0.170    +0.361     +0.243
  R10+         30-40%   118    0   0.0%   0.00    +0.092    +0.170     +0.126
  R10+         40-50%   118    0   0.0%   0.00    +0.081    +0.092     +0.084
  R10+         50-60%   117    1   0.9%   5.02    +0.052    +0.081     +0.059
  R10+         60-70%   117    0   0.0%   0.00    +0.030    +0.052     +0.046
  R10+         70-80%   118    0   0.0%   0.00    -0.002    +0.030     +0.015
  R10+         80-90%   118    0   0.0%   0.00    -0.033    -0.002     -0.016
  R10+         90-95%    58    0   0.0%   0.00    -0.056    -0.033     -0.044
