========================================================================================
DEBUT LASSO -> OUTCOME REPORT
========================================================================================
lasso model: models/debut_lasso_universe_v1.17_prod.pkl
snap_offset evaluated: 2
buckets: ALL, R1, R2-R3, R4-R10, R10+, IFA
events: TOP_100_PROSPECT, MLB_DEBUT, ESTABLISHED_MLB, STAR_PLUS_ELITE

CURVE: per (bucket, event), realized rate by lasso-score percentile band
       (bands are within-cohort percentiles; top-of-list first)

--- event: TOP_100_PROSPECT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  ALL           0-10%   342   18   5.3%   5.62    +1.470   +10.101     +4.615
  ALL          10-20%   341    5   1.5%   1.57    +0.400    +1.466     +0.808
  ALL          20-30%   342    0   0.0%   0.00    +0.139    +0.397     +0.247
  ALL          30-40%   342    4   1.2%   1.25    +0.064    +0.139     +0.087
  ALL          40-50%   341    3   0.9%   0.94    +0.039    +0.063     +0.052
  ALL          50-60%   342    0   0.0%   0.00    +0.031    +0.039     +0.035
  ALL          60-70%   342    1   0.3%   0.31    +0.009    +0.031     +0.015
  ALL          70-80%   342    0   0.0%   0.00    -0.018    +0.009     -0.004
  ALL          80-90%   341    1   0.3%   0.31    -0.059    -0.018     -0.037
  ALL          90-95%   171    0   0.0%   0.00    -0.085    -0.059     -0.070
  ALL          95-99%   137    0   0.0%   0.00    -0.227    -0.085     -0.112
  ALL         99-100%    34    0   0.0%   0.00    -1.059    -0.235     -0.339
  R1            0-10%     4    3  75.0%   2.62    +8.759   +10.101     +9.225
  R1           10-20%     3    2  66.7%   2.33    +8.411    +8.655     +8.557
  R1           20-30%     3    1  33.3%   1.17    +5.048    +8.280     +7.084
  R1           30-40%     4    3  75.0%   2.62    +3.238    +3.464     +3.351
  R1           40-50%     4    1  25.0%   0.88    +1.549    +2.511     +2.017
  R1           50-60%     3    0   0.0%   0.00    +0.946    +1.237     +1.123
  R1           60-70%     3    0   0.0%   0.00    +0.581    +0.884     +0.700
  R1           70-80%     4    0   0.0%   0.00    +0.228    +0.556     +0.407
  R1           80-90%     4    0   0.0%   0.00    +0.074    +0.213     +0.141
  R1           90-95%     1    0   0.0%   0.00    +0.063    +0.063     +0.063
  R1           95-99%     2    0   0.0%   0.00    +0.055    +0.057     +0.056
  R2-R3         0-10%     9    1  11.1%   2.04    +8.629    +9.193     +8.904
  R2-R3        10-20%     9    0   0.0%   0.00    +7.733    +8.500     +8.104
  R2-R3        20-30%    10    1  10.0%   1.84    +6.561    +7.525     +7.152
  R2-R3        30-40%     9    1  11.1%   2.04    +5.808    +6.497     +6.183
  R2-R3        40-50%     9    0   0.0%   0.00    +3.809    +5.697     +4.632
  R2-R3        50-60%     9    1  11.1%   2.04    +2.126    +3.790     +2.529
  R2-R3        60-70%     9    0   0.0%   0.00    +1.081    +1.995     +1.524
  R2-R3        70-80%    10    1  10.0%   1.84    +0.323    +0.737     +0.491
  R2-R3        80-90%     9    0   0.0%   0.00    +0.112    +0.314     +0.212
  R2-R3        90-95%     4    0   0.0%   0.00    +0.058    +0.081     +0.068
  R2-R3        95-99%     4    0   0.0%   0.00    +0.026    +0.055     +0.043
  R2-R3       99-100%     1    0   0.0%   0.00    -0.012    -0.012     -0.012
  R4-R10        0-10%    28    1   3.6%   4.96    +7.136    +9.736     +8.055
  R4-R10       10-20%    28    0   0.0%   0.00    +3.229    +6.563     +4.662
  R4-R10       20-30%    27    0   0.0%   0.00    +1.577    +3.154     +2.351
  R4-R10       30-40%    28    0   0.0%   0.00    +0.813    +1.573     +1.090
  R4-R10       40-50%    28    0   0.0%   0.00    +0.510    +0.791     +0.656
  R4-R10       50-60%    28    0   0.0%   0.00    +0.312    +0.472     +0.386
  R4-R10       60-70%    28    0   0.0%   0.00    +0.167    +0.312     +0.239
  R4-R10       70-80%    27    1   3.7%   5.15    +0.082    +0.159     +0.119
  R4-R10       80-90%    28    0   0.0%   0.00    +0.032    +0.077     +0.053
  R4-R10       90-95%    14    0   0.0%   0.00    -0.010    +0.031     +0.013
  R4-R10       95-99%    11    0   0.0%   0.00    -0.080    -0.011     -0.041
  R4-R10      99-100%     3    0   0.0%   0.00    -0.113    -0.087     -0.100
  R10+          0-10%   118    1   0.8%   4.98    +0.919    +8.662     +3.038
  R10+         10-20%   117    0   0.0%   0.00    +0.258    +0.912     +0.480
  R10+         20-30%   117    0   0.0%   0.00    +0.109    +0.257     +0.175
  R10+         30-40%   118    0   0.0%   0.00    +0.039    +0.108     +0.066
  R10+         40-50%   118    0   0.0%   0.00    +0.024    +0.039     +0.036
  R10+         50-60%   117    1   0.9%   5.02    +0.010    +0.023     +0.013
  R10+         60-70%   117    0   0.0%   0.00    -0.015    +0.010     +0.001
  R10+         70-80%   118    0   0.0%   0.00    -0.040    -0.015     -0.027
  R10+         80-90%   118    0   0.0%   0.00    -0.067    -0.041     -0.052
  R10+         90-95%    58    0   0.0%   0.00    -0.085    -0.067     -0.075
  R10+         95-99%    47    0   0.0%   0.00    -0.095    -0.086     -0.091
