event,horizon_eval,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,1,1,19069,109,0.005716,0.985495,0.468264,81.920356,0.003988,0.005546,0.970313,0.126789,0.000000,0.500000,27,13,18947,82,0.675000,0.247706,0.362416,0.995018,40
MLB_DEBUT,1,1,19315,594,0.030753,0.946787,0.452105,14.701027,0.021736,0.031890,1.036959,0.267211,0.000000,0.500000,151,91,18630,443,0.623967,0.254209,0.361244,0.972353,242
ESTABLISHED_MLB,1,1,19315,4,0.000207,0.958689,0.007732,37.337194,0.000214,0.000429,2.072306,0.022864,0.001484,0.500000,0,0,19311,4,,0.000000,,0.999793,0
STAR_PLUS_ELITE,1,1,19315,5,0.000259,0.932015,0.003124,12.066369,0.000264,0.000150,0.580496,0.024075,0.000819,0.500000,0,0,19310,5,,0.000000,,0.999741,0
TOP_100_PROSPECT,2,2,18488,199,0.010764,0.980444,0.504479,46.868368,0.007171,0.009625,0.894242,0.171737,0.000000,0.500000,54,27,18262,145,0.666667,0.271357,0.385714,0.990697,81
MLB_DEBUT,2,2,18729,1172,0.062577,0.933456,0.566889,9.059099,0.038689,0.062588,1.000176,0.363672,0.000000,0.500000,383,153,17404,789,0.714552,0.326792,0.448478,0.949704,536
ESTABLISHED_MLB,2,2,18729,75,0.004004,0.963907,0.156940,39.190975,0.003654,0.003884,0.969962,0.101490,0.000000,0.500000,2,3,18651,73,0.400000,0.026667,0.050000,0.995942,5
STAR_PLUS_ELITE,2,2,18729,19,0.001014,0.909778,0.015894,15.667604,0.001052,0.000652,0.642727,0.045190,0.000000,0.500000,0,0,18710,19,,0.000000,,0.998986,0
TOP_100_PROSPECT,3,3,17817,250,0.014032,0.976541,0.486358,34.661783,0.009534,0.012563,0.895321,0.194167,0.000000,0.500000,61,37,17530,189,0.622449,0.244000,0.350575,0.987315,98
MLB_DEBUT,3,3,18051,1679,0.093014,0.924017,0.620534,6.671388,0.053198,0.093134,1.001284,0.426628,0.000000,0.500000,586,209,16163,1093,0.737107,0.349017,0.473727,0.927871,795
ESTABLISHED_MLB,3,3,18051,225,0.012465,0.948682,0.262275,21.041427,0.010547,0.012002,0.962870,0.172443,0.000000,0.500000,23,20,17806,202,0.534884,0.102222,0.171642,0.987702,43
STAR_PLUS_ELITE,3,3,18051,41,0.002271,0.904384,0.031494,13.866015,0.002327,0.001662,0.731591,0.066686,0.000000,0.500000,0,0,18010,41,,0.000000,,0.997729,0
TOP_100_PROSPECT,4,4,17041,267,0.015668,0.974765,0.480953,30.696347,0.010664,0.014758,0.941901,0.204244,0.000000,0.500000,70,41,16733,197,0.630631,0.262172,0.370370,0.986034,111
MLB_DEBUT,4,4,17265,2034,0.117811,0.918416,0.650701,5.523283,0.064111,0.117216,0.994955,0.467275,0.000000,0.500000,775,252,14979,1259,0.754625,0.381023,0.506370,0.912482,1027
