event,h,bucket,n,avg_pred,actual,diff
TOP_100_PROSPECT,3,0-5%,36027,0.001076,0.001194,0.000117
TOP_100_PROSPECT,3,5-10%,228,0.072533,0.087719,0.015186
TOP_100_PROSPECT,3,10-20%,168,0.139693,0.101190,-0.038502
TOP_100_PROSPECT,3,20-30%,80,0.248680,0.212500,-0.036180
TOP_100_PROSPECT,3,30-40%,35,0.348474,0.314286,-0.034188
TOP_100_PROSPECT,3,40-50%,38,0.452060,0.578947,0.126887
TOP_100_PROSPECT,3,50-60%,27,0.545231,0.777778,0.232547
TOP_100_PROSPECT,3,60-70%,20,0.647005,0.300000,-0.347005
TOP_100_PROSPECT,3,70-80%,15,0.752066,0.800000,0.047934
TOP_100_PROSPECT,3,80-90%,17,0.843245,0.705882,-0.137363
TOP_100_PROSPECT,6,0-5%,29144,0.001752,0.002059,0.000306
TOP_100_PROSPECT,6,5-10%,246,0.072388,0.097561,0.025173
TOP_100_PROSPECT,6,10-20%,211,0.141150,0.118483,-0.022667
TOP_100_PROSPECT,6,20-30%,94,0.246532,0.180851,-0.065680
TOP_100_PROSPECT,6,30-40%,43,0.347878,0.232558,-0.115320
TOP_100_PROSPECT,6,40-50%,40,0.449838,0.575000,0.125162
TOP_100_PROSPECT,6,50-60%,27,0.538279,0.629630,0.091351
TOP_100_PROSPECT,6,60-70%,27,0.647844,0.481481,-0.166362
TOP_100_PROSPECT,6,80-90%,17,0.844650,0.823529,-0.021120
MLB_DEBUT,3,0-5%,31943,0.004592,0.006606,0.002013
MLB_DEBUT,3,5-10%,1442,0.071824,0.089459,0.017635
MLB_DEBUT,3,10-20%,1312,0.142784,0.179878,0.037094
MLB_DEBUT,3,20-30%,692,0.248097,0.242775,-0.005322
MLB_DEBUT,3,30-40%,464,0.343583,0.379310,0.035727
MLB_DEBUT,3,40-50%,275,0.446550,0.432727,-0.013822
MLB_DEBUT,3,50-60%,221,0.545595,0.628959,0.083364
MLB_DEBUT,3,60-70%,150,0.646016,0.706667,0.060651
MLB_DEBUT,3,70-80%,126,0.750023,0.714286,-0.035737
MLB_DEBUT,3,80-90%,163,0.854573,0.809816,-0.044757
MLB_DEBUT,3,90-100%,67,0.923473,0.835821,-0.087652
MLB_DEBUT,6,0-5%,23557,0.006970,0.009509,0.002539
MLB_DEBUT,6,5-10%,1907,0.072194,0.097011,0.024817
MLB_DEBUT,6,10-20%,1676,0.142890,0.167661,0.024771
MLB_DEBUT,6,20-30%,890,0.247852,0.289888,0.042036
MLB_DEBUT,6,30-40%,599,0.345039,0.363940,0.018901
MLB_DEBUT,6,40-50%,416,0.448013,0.449519,0.001506
MLB_DEBUT,6,50-60%,296,0.549835,0.557432,0.007597
MLB_DEBUT,6,60-70%,212,0.648647,0.669811,0.021164
MLB_DEBUT,6,70-80%,202,0.745940,0.811881,0.065941
MLB_DEBUT,6,80-90%,184,0.855342,0.847826,-0.007515
MLB_DEBUT,6,90-100%,76,0.924137,0.907895,-0.016242
ESTABLISHED_MLB,3,0-5%,36366,0.001157,0.001980,0.000823
ESTABLISHED_MLB,3,5-10%,211,0.070334,0.104265,0.033932
ESTABLISHED_MLB,3,10-20%,139,0.137738,0.194245,0.056507
ESTABLISHED_MLB,3,20-30%,60,0.243872,0.366667,0.122794
ESTABLISHED_MLB,3,30-40%,42,0.339311,0.357143,0.017832
ESTABLISHED_MLB,3,40-50%,25,0.440212,0.480000,0.039788
ESTABLISHED_MLB,6,0-5%,28246,0.003451,0.005629,0.002178
ESTABLISHED_MLB,6,5-10%,727,0.070703,0.103164,0.032461
ESTABLISHED_MLB,6,10-20%,567,0.138803,0.192240,0.053437
ESTABLISHED_MLB,6,20-30%,217,0.241968,0.354839,0.112871
ESTABLISHED_MLB,6,30-40%,116,0.343718,0.413793,0.070075
ESTABLISHED_MLB,6,40-50%,73,0.444894,0.506849,0.061956
ESTABLISHED_MLB,6,50-60%,43,0.546988,0.767442,0.220454
ESTABLISHED_MLB,6,60-70%,23,0.632398,0.695652,0.063254
STAR_PLUS_ELITE,3,0-5%,36832,0.000334,0.000434,0.000100
STAR_PLUS_ELITE,3,5-10%,19,0.068340,0.157895,0.089555
STAR_PLUS_ELITE,6,0-5%,29761,0.001306,0.001579,0.000273
STAR_PLUS_ELITE,6,5-10%,159,0.069887,0.056604,-0.013283
STAR_PLUS_ELITE,6,10-20%,77,0.131750,0.272727,0.140977
