event,snap_offset,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
TOP_100_PROSPECT,0,6,2696,124,0.045994,0.915824,0.534700,11.625413,0.029831,0.045238,0.983555,0.301736,0.000000,0.500000,42,18,2554,82,0.700000,0.338710,0.456522,0.962908,60
TOP_100_PROSPECT,1,6,2513,86,0.034222,0.928445,0.523914,15.309268,0.021961,0.034327,1.003063,0.269822,0.000000,0.500000,31,11,2416,55,0.738095,0.360465,0.484375,0.973737,42
TOP_100_PROSPECT,2,6,2305,48,0.020824,0.943066,0.514143,24.689558,0.014025,0.020319,0.975732,0.219167,0.000000,0.500000,15,5,2252,33,0.750000,0.312500,0.441176,0.983514,20
TOP_100_PROSPECT,3,6,2038,17,0.008342,0.966615,0.520362,62.382259,0.005663,0.009831,1.178509,0.147012,0.000000,0.500000,5,2,2019,12,0.714286,0.294118,0.416667,0.993131,7
TOP_100_PROSPECT,4,6,1800,7,0.003889,0.948928,0.509552,131.027776,0.002913,0.003678,0.945748,0.096791,0.000039,0.500000,1,0,1793,6,1.000000,0.142857,0.250000,0.996667,1
TOP_100_PROSPECT,5,6,1607,1,0.000622,0.679950,0.001942,3.120388,0.000634,0.000859,1.380446,0.015545,0.533466,0.500000,0,0,1606,1,,0.000000,,0.999378,0
TOP_100_PROSPECT,6,6,1450,0,0.000000,,,,0.000001,0.000329,,,,0.500000,0,0,1450,0,,,,1.000000,0
TOP_100_PROSPECT,7,6,1319,0,0.000000,,,,0.000000,0.000226,,,,0.500000,0,0,1319,0,,,,1.000000,0
TOP_100_PROSPECT,8,6,1190,0,0.000000,,,,0.000000,0.000176,,,,0.500000,0,0,1190,0,,,,1.000000,0
TOP_100_PROSPECT,9,6,1059,0,0.000000,,,,0.000000,0.000175,,,,0.500000,0,0,1059,0,,,,1.000000,0
TOP_100_PROSPECT,10,6,924,0,0.000000,,,,0.000000,0.000157,,,,0.500000,0,0,924,0,,,,1.000000,0
MLB_DEBUT,0,6,2702,566,0.209474,0.824400,0.582403,2.780306,0.123132,0.201697,0.962871,0.457293,0.000000,0.500000,209,101,2035,357,0.674194,0.369258,0.477169,0.830496,310
MLB_DEBUT,1,6,2552,579,0.226881,0.875266,0.725755,3.198839,0.108552,0.228989,1.009294,0.544443,0.000000,0.500000,304,118,1855,275,0.720379,0.525043,0.607393,0.846003,422
MLB_DEBUT,2,6,2360,524,0.222034,0.898966,0.757766,3.412838,0.098602,0.224896,1.012889,0.574403,0.000000,0.500000,316,121,1715,208,0.723112,0.603053,0.657648,0.860593,437
MLB_DEBUT,3,6,2094,385,0.183859,0.912278,0.757104,4.117859,0.082952,0.197863,1.076168,0.553230,0.000000,0.500000,229,84,1625,156,0.731629,0.594805,0.656160,0.885387,313
MLB_DEBUT,4,6,1839,231,0.125612,0.923866,0.698024,5.556998,0.064420,0.147089,1.170979,0.486616,0.000000,0.500000,116,50,1558,115,0.698795,0.502165,0.584383,0.910277,166
MLB_DEBUT,5,6,1630,125,0.076687,0.939126,0.614414,8.011953,0.044244,0.093609,1.220667,0.404776,0.000000,0.500000,50,21,1484,75,0.704225,0.400000,0.510204,0.941104,71
MLB_DEBUT,6,6,1463,63,0.043062,0.951406,0.559351,12.989366,0.027153,0.053379,1.239576,0.317430,0.000000,0.500000,19,12,1388,44,0.612903,0.301587,0.404255,0.961722,31
MLB_DEBUT,7,6,1329,27,0.020316,0.969420,0.511289,25.166786,0.014050,0.027139,1.335834,0.229411,0.000000,0.500000,10,7,1295,17,0.588235,0.370370,0.454545,0.981941,17
MLB_DEBUT,8,6,1196,9,0.007525,0.980904,0.489070,64.991949,0.005687,0.013899,1.847046,0.143968,0.000001,0.500000,2,0,1187,7,1.000000,0.222222,0.363636,0.994147,2
MLB_DEBUT,9,6,1065,3,0.002817,0.958883,0.096970,34.424242,0.003172,0.006975,2.476141,0.084249,0.005940,0.500000,0,1,1061,3,0.000000,0.000000,,0.996244,1
MLB_DEBUT,10,6,930,1,0.001075,0.991389,0.111111,103.333333,0.001238,0.003915,3.641324,0.055788,0.089067,0.500000,0,0,929,1,,0.000000,,0.998925,0
ESTABLISHED_MLB,0,6,2702,164,0.060696,0.833393,0.304257,5.012818,0.049208,0.058265,0.959950,0.275759,0.000000,0.500000,12,7,2531,152,0.631579,0.073171,0.131148,0.941155,19
ESTABLISHED_MLB,1,6,2552,201,0.078762,0.887673,0.432173,5.487097,0.055722,0.070619,0.896612,0.361743,0.000000,0.500000,31,18,2333,170,0.632653,0.154229,0.248000,0.926332,49
ESTABLISHED_MLB,2,6,2360,192,0.081356,0.896283,0.498811,6.131218,0.054634,0.071772,0.882203,0.375287,0.000000,0.500000,37,13,2155,155,0.740000,0.192708,0.305785,0.928814,50
ESTABLISHED_MLB,3,6,2094,121,0.057784,0.917707,0.514396,8.902027,0.038906,0.057601,0.996828,0.337631,0.000000,0.500000,16,7,1966,105,0.695652,0.132231,0.222222,0.946514,23
ESTABLISHED_MLB,4,6,1839,73,0.039695,0.917211,0.487262,12.274998,0.027525,0.039255,0.988898,0.282177,0.000000,0.500000,8,2,1764,65,0.800000,0.109589,0.192771,0.963567,10
ESTABLISHED_MLB,5,6,1630,31,0.019018,0.928968,0.252735,13.288986,0.016119,0.021326,1.121331,0.202970,0.000000,0.500000,0,1,1598,31,0.000000,0.000000,,0.980368,1
ESTABLISHED_MLB,6,6,1463,11,0.007519,0.962372,0.349169,46.439481,0.006283,0.009780,1.300791,0.138362,0.000000,0.500000,0,0,1452,11,,0.000000,,0.992481,0
ESTABLISHED_MLB,7,6,1329,3,0.002257,0.980392,0.110589,48.990836,0.002223,0.004355,1.929344,0.078976,0.003966,0.500000,0,0,1326,3,,0.000000,,0.997743,0
ESTABLISHED_MLB,8,6,1196,0,0.000000,,,,0.000066,0.002146,,,,0.500000,0,0,1196,0,,,,1.000000,0
ESTABLISHED_MLB,9,6,1065,0,0.000000,,,,0.000037,0.001334,,,,0.500000,0,0,1065,0,,,,1.000000,0
ESTABLISHED_MLB,10,6,930,0,0.000000,,,,0.000019,0.000940,,,,0.500000,0,0,930,0,,,,1.000000,0
STAR_PLUS_ELITE,0,6,2702,26,0.009623,0.846944,0.123524,12.836980,0.009005,0.010006,1.039838,0.117326,0.000000,0.500000,0,0,2676,26,,0.000000,,0.990377,0
STAR_PLUS_ELITE,1,6,2552,33,0.012931,0.908417,0.243836,18.856632,0.011142,0.011873,0.918186,0.159840,0.000000,0.500000,1,0,2519,32,1.000000,0.030303,0.058824,0.987461,1
STAR_PLUS_ELITE,2,6,2360,25,0.010593,0.908111,0.246253,23.246312,0.009424,0.010662,1.006538,0.144734,0.000000,0.500000,0,0,2335,25,,0.000000,,0.989407,0
STAR_PLUS_ELITE,3,6,2094,18,0.008596,0.881048,0.136110,15.834075,0.007953,0.006830,0.794507,0.121855,0.000000,0.500000,0,0,2076,18,,0.000000,,0.991404,0
STAR_PLUS_ELITE,4,6,1839,9,0.004894,0.841591,0.125367,25.616728,0.004552,0.004277,0.873974,0.082578,0.000393,0.500000,0,0,1830,9,,0.000000,,0.995106,0
STAR_PLUS_ELITE,5,6,1630,1,0.000613,0.999386,0.500000,815.000000,0.000538,0.002067,3.368786,0.042835,0.083834,0.500000,0,0,1629,1,,0.000000,,0.999387,0
STAR_PLUS_ELITE,6,6,1463,0,0.000000,,,,0.000008,0.000881,,,,0.500000,0,0,1463,0,,,,1.000000,0
STAR_PLUS_ELITE,7,6,1329,0,0.000000,,,,0.000003,0.000432,,,,0.500000,0,0,1329,0,,,,1.000000,0
STAR_PLUS_ELITE,8,6,1196,0,0.000000,,,,0.000000,0.000255,,,,0.500000,0,0,1196,0,,,,1.000000,0
