scorer,event,h,n,pos,base,auc,ap,brier,calib
F,TOP_100_PROSPECT,1,23519,123,0.005229814192780305,0.9951073910209096,0.6578949112679617,0.002853472475416703,1.0447437830345025
F,TOP_100_PROSPECT,2,22852,218,0.0095396464204446,0.9894552564826968,0.6671525324614382,0.0051881949024531705,0.9320255712423371
F,TOP_100_PROSPECT,3,22076,276,0.012502264903062148,0.9848937142667198,0.6411728342700102,0.0070685802364663,0.9106809688144535
F,TOP_100_PROSPECT,4,21158,297,0.014037243595803005,0.9833279990031822,0.6356038710719587,0.008002728903500615,0.9235896335187737
F,TOP_100_PROSPECT,5,20088,303,0.01508363201911589,0.9819875543278362,0.6263006063831205,0.008719134487789423,0.9225529114246875
F,TOP_100_PROSPECT,6,18863,302,0.01601017865662938,0.9809637882749952,0.6228342838787695,0.009300606064140425,0.91568387835245
F,TOP_100_PROSPECT,7,17518,296,0.016896906039502228,0.9799241306688177,0.6158400400171515,0.009917490032367497,0.900119834549219
F,TOP_100_PROSPECT,8,16155,285,0.017641597028783658,0.978994903768558,0.6202751274084916,0.010353172270406144,0.8825050478387423
F,TOP_100_PROSPECT,9,14780,272,0.018403247631935047,0.9779444707990724,0.6173981551279497,0.010871702871621732,0.8675989344587968
F,TOP_100_PROSPECT,10,13404,256,0.019098776484631454,0.9758910575752966,0.6098232239240381,0.011387688235773064,0.8730265880146106
F,MLB_DEBUT,1,23864,650,0.027237680187730474,0.9690566037735849,0.5339216812490668,0.017577834345251262,1.0413767711706616
F,MLB_DEBUT,2,23192,1281,0.05523456364263539,0.9606762379252581,0.6396998677525454,0.03073371450932997,0.9794824534637585
F,MLB_DEBUT,3,22409,1852,0.08264536570128074,0.9506941059736869,0.6855181538327396,0.04287742712912955,0.9648604452989905
F,MLB_DEBUT,4,21482,2252,0.10483195233218509,0.9446055346654363,0.7043925563953253,0.05244220596116315,0.954819374393659
F,MLB_DEBUT,5,20398,2456,0.12040396117266398,0.9412459986884993,0.7147071841231973,0.05877394064522265,0.9493330347403591
F,MLB_DEBUT,6,19155,2508,0.13093187157400157,0.9399180985716254,0.7255964821449239,0.0625623990230427,0.9547033705110897
F,MLB_DEBUT,7,17790,2463,0.13844856661045532,0.9383112248264593,0.7302452103104946,0.06552348257467948,0.9433068647918819
F,MLB_DEBUT,8,16407,2362,0.1439629426464314,0.9363469270932401,0.7292879941568406,0.06812863777383699,0.9344515618230003
F,MLB_DEBUT,9,15013,2238,0.14907080530207154,0.9340945665423245,0.7272928808451237,0.07071759601637809,0.9258370331180841
F,MLB_DEBUT,10,13617,2100,0.1542189909671734,0.9312017431788205,0.7249312829678809,0.07345155634100238,0.9279121025812838
F,ESTABLISHED_MLB,1,23864,6,0.00025142474019443513,0.9810755302204711,0.13482680937807195,0.00023992719992246012,1.5121228035422973
F,ESTABLISHED_MLB,2,23192,74,0.003190755432907899,0.9705737076292487,0.22328141012784736,0.002786129480226748,0.8992549654486612
F,ESTABLISHED_MLB,3,22409,238,0.010620732741309296,0.9687699580305714,0.34477058486399614,0.008355024043039234,0.9413924900323426
F,ESTABLISHED_MLB,4,21482,446,0.020761567824224933,0.9590245464320399,0.41818684312761223,0.015335732016104647,0.8771406790088485
F,ESTABLISHED_MLB,5,20398,640,0.03137562506128052,0.9505863922208727,0.4481797875959898,0.022291265838392957,0.8830943812947026
F,ESTABLISHED_MLB,6,19155,793,0.04139911250326286,0.9437068343759998,0.4764012596823506,0.028574644072939217,0.8830125802437251
F,ESTABLISHED_MLB,7,17790,895,0.05030916245081506,0.9414056917437807,0.5040851367563708,0.03376466282097865,0.8762546608453217
F,ESTABLISHED_MLB,8,16407,948,0.05778021576156519,0.9380511891670439,0.5138132281892162,0.03816850171229316,0.8778022884684497
F,ESTABLISHED_MLB,9,15013,962,0.0640777992406581,0.9343584426852523,0.5150868611287638,0.04209711911279604,0.8700066489549303
F,ESTABLISHED_MLB,10,13617,950,0.06976573400895938,0.9301462565389554,0.5181715512640078,0.04565838327217572,0.8562829264136083
F,STAR_PLUS_ELITE,1,23864,7,0.0002933288635601743,0.9974490865214762,0.13301889422731764,0.00028580694953016467,0.8865055116320946
F,STAR_PLUS_ELITE,2,23192,19,0.0008192480165574336,0.9869585066104609,0.14852978122736876,0.0007886669945403972,0.5726883259075725
F,STAR_PLUS_ELITE,3,22409,36,0.0016064973894417422,0.9640998326355676,0.13639196250261787,0.0015115505373136595,0.7832915688630288
F,STAR_PLUS_ELITE,4,21482,58,0.002699934829159296,0.9654947078365224,0.25829069729802867,0.002417138973281783,0.8715270556332174
F,STAR_PLUS_ELITE,5,20398,86,0.0042160996176095695,0.9587252809657713,0.22392186292498856,0.0037389656154293103,0.8950896422277892
F,STAR_PLUS_ELITE,6,19155,112,0.00584703732706865,0.9540572182504257,0.2338139283741661,0.005118493509937651,0.9385135162267083
F,STAR_PLUS_ELITE,7,17790,132,0.007419898819561552,0.9517297507868354,0.21927685503355954,0.006514882281849581,0.9496572675792032
F,STAR_PLUS_ELITE,8,16407,147,0.008959590418723715,0.9495015103212257,0.21785399742208542,0.007859415304073223,0.9518782260697941
F,STAR_PLUS_ELITE,9,15013,162,0.010790648104975688,0.9474498121671152,0.22358000409067919,0.009418363695655225,0.8938042053724855
F,STAR_PLUS_ELITE,10,13617,170,0.012484394506866416,0.9454630160236921,0.24111846572461043,0.010795990708123827,0.8368652078411877
E+F,TOP_100_PROSPECT,1,23519,123,0.005229814192780305,0.995167855807469,0.658045009820114,0.0028495700101000827,1.0615033838774002
E+F,TOP_100_PROSPECT,2,22852,218,0.0095396464204446,0.9895630751171615,0.6669995580559982,0.005178660880183726,0.9368433044066913
E+F,TOP_100_PROSPECT,3,22076,276,0.012502264903062148,0.9848920522536897,0.6398312790137934,0.0070788312959440694,0.9160868186991995
E+F,TOP_100_PROSPECT,4,21158,297,0.014037243595803005,0.9832059792272629,0.633154387279409,0.00802118242949134,0.9276109599808668
E+F,TOP_100_PROSPECT,5,20088,303,0.01508363201911589,0.9819211640648522,0.6236894488104897,0.008737855782614868,0.9272313399895258
E+F,TOP_100_PROSPECT,6,18863,302,0.01601017865662938,0.9809693186347076,0.6205285798941118,0.009320499248988137,0.920143247520733
E+F,TOP_100_PROSPECT,7,17518,296,0.016896906039502228,0.9799578712959853,0.6144914964470131,0.00992922569781777,0.9048787974966216
E+F,TOP_100_PROSPECT,8,16155,285,0.017641597028783658,0.9790358062768766,0.6185739588790593,0.010368093158694393,0.8875551219763893
E+F,TOP_100_PROSPECT,9,14780,272,0.018403247631935047,0.9779855232001817,0.6152911641671206,0.010886337854873857,0.8730621650621649
