oof,cal,event,h,slice,n,ece,brier,logloss,ratio,top_n,top_pred,top_actual,top_gap
single,hyip2,TOP_100_PROSPECT,1,all,45520,0.0003675659940731643,0.001953510117685617,0.007710016809524836,0.9819059381729932,20,0.8329787184211599,0.95,0.11702128157884006
single,hyip2,TOP_100_PROSPECT,1,yip<=3,19353,0.0008742802421430518,0.004335854478677342,0.016935900050771228,0.9767757365046502,19,0.8289656106239106,0.9473684210526315,0.11840281042872092
single,hyip2,TOP_100_PROSPECT,3,all,42236,0.0012859272215699398,0.00515873102492058,0.02057225900722344,0.9328633709912486,66,0.8019564135218872,0.7727272727272727,-0.029229140794614472
single,hyip2,TOP_100_PROSPECT,3,yip<=3,19336,0.0028680337246936153,0.010895929579607982,0.04303997523417692,0.9186262893123677,64,0.8014221827718335,0.765625,-0.035797182771833524
single,hyip2,TOP_100_PROSPECT,6,all,35351,0.00144819688558978,0.00705385250699134,0.027964732273740977,0.9384648777547341,68,0.8029504185430628,0.7647058823529411,-0.03824453619012169
single,hyip2,TOP_100_PROSPECT,6,yip<=3,17531,0.00315030269339856,0.013937018761035973,0.0550100744449136,0.9183791678002444,66,0.8024624979678948,0.7575757575757576,-0.04488674039213725
single,hyip2,MLB_DEBUT,1,all,45887,0.0017905852530637385,0.011771347489423418,0.04323524107372932,0.941170144648969,87,0.7819729486963025,0.6781609195402298,-0.10381202915607268
single,hyip2,MLB_DEBUT,1,yip<=3,19535,0.001440089842814825,0.014670140298987819,0.05322145996349252,0.973250053828564,59,0.7811390107194939,0.6779661016949152,-0.10317290902457865
single,hyip2,MLB_DEBUT,3,all,42591,0.005234118153286642,0.030932888281700172,0.10720254366105907,0.9455868918987137,411,0.8181875171470492,0.7615571776155717,-0.05663033953147745
single,hyip2,MLB_DEBUT,3,yip<=3,19518,0.008032581155537866,0.0470525151180298,0.16064361584653192,0.9399749164770919,302,0.8188673758160789,0.7649006622516556,-0.053966713564423285
single,hyip2,MLB_DEBUT,6,all,35658,0.00640648203154469,0.04758484959316359,0.1589515643891238,0.9714341015759546,646,0.8160905198618825,0.7894736842105263,-0.026616835651356197
single,hyip2,MLB_DEBUT,6,yip<=3,17696,0.011481190180708686,0.07570497707826133,0.24968121247270433,0.9554191840239059,532,0.8148545669288345,0.7894736842105263,-0.025380882718308184
single,hyip2,ESTABLISHED_MLB,1,all,45887,5.6208000059377844e-05,8.13842751074474e-05,0.0005292319231544042,1.2097184455287489,0,,,
single,hyip2,ESTABLISHED_MLB,1,yip<=3,19535,6.030134532195447e-05,0.00019075889413495785,0.0011396937252801662,0.7055033047839048,0,,,
single,hyip2,ESTABLISHED_MLB,3,all,42591,0.0017227051543680099,0.004885761662368381,0.01996505647742896,0.7409248682048135,1,0.7128864562254765,1.0,0.28711354377452347
single,hyip2,ESTABLISHED_MLB,3,yip<=3,19518,0.0030904829073953814,0.00822402806384331,0.031838845205601075,0.730596289137135,1,0.7128864562254765,1.0,0.28711354377452347
single,hyip2,ESTABLISHED_MLB,6,all,35658,0.0025395311561831474,0.01727902710303819,0.06556332782067556,0.8921187590148315,19,0.7372737619413973,0.6842105263157895,-0.053063235625607774
single,hyip2,ESTABLISHED_MLB,6,yip<=3,17696,0.004546195485274848,0.029148813963606916,0.10854079853098952,0.8864356340618129,18,0.7379056377478899,0.7222222222222222,-0.015683415525667654
single,hyip2,STAR_PLUS_ELITE,1,all,45887,1.1876137915530388e-06,8.346851546687073e-05,0.00044736079611623495,0.9863759914867515,0,,,
single,hyip2,STAR_PLUS_ELITE,1,yip<=3,19535,4.355158257282726e-05,0.00019603810183389578,0.0010100589992919561,0.7873049586099549,0,,,
single,hyip2,STAR_PLUS_ELITE,3,all,42591,0.0002372491280046129,0.0007864523966995403,0.003973224937371718,0.719314510809876,0,,,
single,hyip2,STAR_PLUS_ELITE,3,yip<=3,19518,0.0004978387933332764,0.0015160208011592337,0.00744442894386454,0.6963494509912848,0,,,
single,hyip2,STAR_PLUS_ELITE,6,all,35658,0.000608215073482426,0.00371301532183195,0.016981337030653392,0.9450252260878116,0,,,
single,hyip2,STAR_PLUS_ELITE,6,yip<=3,17696,0.0009020434470386117,0.006543294611945236,0.029051590999810677,0.9754221543174498,0,,,
single,spline,TOP_100_PROSPECT,1,all,45520,0.0003365953051811738,0.0019531970507593046,0.007708470468902469,0.984601860964866,20,0.837036516040946,0.95,0.11296348395905398
single,spline,TOP_100_PROSPECT,1,yip<=3,19353,0.0008029899985384985,0.0043353953017132105,0.016932548377283314,0.9792189249894921,19,0.8329638993348197,0.9473684210526315,0.11440452171781179
single,spline,TOP_100_PROSPECT,3,all,42236,0.0012597718247747433,0.0051587340317988985,0.020571058900177963,0.9331495903248193,67,0.8038336470377262,0.7611940298507462,-0.04263961718697995
