yip,n,pos,calib,scorer
0,2715,201,1.007975724008382,A_raw
1,2703,353,0.9503950354769976,A_raw
2,2656,432,0.9190596233011663,A_raw
3,2504,368,0.9253070898818644,A_raw
4,2218,245,0.9163596296354959,A_raw
5,1969,133,0.9146490887595939,A_raw
6,1776,67,0.8944499136225784,A_raw
7,1639,31,0.9010444534501858,A_raw
8,1518,13,0.941480668690775,A_raw
9,1406,6,0.7265904979058014,A_raw
0,2715,201,0.9055954717152104,A_cal
1,2703,353,0.8970848018521592,A_cal
2,2656,432,0.886851995240399,A_cal
3,2504,368,0.8926061587418511,A_cal
4,2218,245,0.8744917859640913,A_cal
5,1969,133,0.8506663902140476,A_cal
6,1776,67,0.8149550417626841,A_cal
7,1639,31,0.8027158992073428,A_cal
8,1518,13,0.7957741475304603,A_cal
9,1406,6,0.5423056995404114,A_cal
0,2715,201,1.0002193317242776,D_cal
1,2703,353,0.9413158263640659,D_cal
2,2656,432,0.8999321892712767,D_cal
3,2504,368,0.9132240431044333,D_cal
4,2218,245,0.8992441388661992,D_cal
5,1969,133,0.9037088465202678,D_cal
6,1776,67,0.8976184661864056,D_cal
7,1639,31,0.9331148722884689,D_cal
8,1518,13,1.0495074722627167,D_cal
9,1406,6,0.8662647694839096,D_cal
