event,h,arm,n,pos,ap,auc,calib
ESTABLISHED_MLB,3,deployed_4x,42119,291,0.24799555656590586,0.9675543717406615,0.6569979889419167
ESTABLISHED_MLB,3,joint_small,42119,291,0.1831636017025051,0.9596606886588737,0.845215296484786
ESTABLISHED_MLB,3,joint_small_xcal,42119,291,0.1823697975884597,0.9557125531591163,1.0087039827012114
ESTABLISHED_MLB,3,mcw5,42119,291,0.2173385681140361,0.9606691960892373,0.9145408382933727
ESTABLISHED_MLB,3,mcw5_xcal,42119,291,0.21627047188909423,0.955034313324375,1.0034564943125799
ESTABLISHED_MLB,3,cond,42119,291,0.2106624628992604,0.9621579471092055,0.9054443631289187
ESTABLISHED_MLB,3,cond_xcal,42119,291,0.20787096462071072,0.9597090786125607,1.006249177772707
ESTABLISHED_MLB,3,cond_d5,42119,291,0.2058688300695037,0.9613000318437114,0.8943489603954288
ESTABLISHED_MLB,3,cond_d5_xcal,42119,291,0.20264621797295135,0.9591129948961333,1.0040340945690815
ESTABLISHED_MLB,3,blend,42119,291,0.22343762849245905,0.9629609410096066,0.9099925333118751
ESTABLISHED_MLB,3,blend_xcal,42119,291,0.22106119809062827,0.9592931221855368,1.0062433910517699
ESTABLISHED_MLB,6,deployed_4x,35279,956,0.3226204076550771,0.9355539827947565,0.7555611883227656
ESTABLISHED_MLB,6,joint_small,35279,956,0.26216499114288927,0.9249557672453801,0.7960618040154233
ESTABLISHED_MLB,6,joint_small_xcal,35279,956,0.26782860474536724,0.9245805629195545,1.0019441588970497
ESTABLISHED_MLB,6,mcw5,35279,956,0.2810762572131981,0.9246973618943932,0.7775573420794252
ESTABLISHED_MLB,6,mcw5_xcal,35279,956,0.2860633014664238,0.9241286659335378,1.0024435655704753
ESTABLISHED_MLB,6,cond,35279,956,0.2887828819950901,0.9286919934996074,0.8219127039577048
ESTABLISHED_MLB,6,cond_xcal,35279,956,0.29029357466196054,0.9279577980389841,1.0020671124529823
ESTABLISHED_MLB,6,cond_d5,35279,956,0.2897490132221563,0.9277674606619833,0.7912225361122402
ESTABLISHED_MLB,6,cond_d5_xcal,35279,956,0.2910271587675303,0.9269204128585475,1.0026780298934048
ESTABLISHED_MLB,6,blend,35279,956,0.2921305219705446,0.9283461832015005,0.7997350917552368
ESTABLISHED_MLB,6,blend_xcal,35279,956,0.2963692182571323,0.9277261048344931,0.9989608094960741
STAR_PLUS_ELITE,3,deployed_4x,42119,44,0.05418363962106615,0.9626357154432021,0.5623308071836537
STAR_PLUS_ELITE,3,joint_small,42119,44,0.03563434728669836,0.953285799168152,0.7477181259600911
STAR_PLUS_ELITE,3,joint_small_xcal,42119,44,0.02642530201275441,0.9519642953600173,0.9698720321728886
STAR_PLUS_ELITE,3,mcw5,42119,44,0.054783611742070366,0.9515632258413007,1.1469678534776904
STAR_PLUS_ELITE,3,mcw5_xcal,42119,44,0.036850169696171484,0.9486838978015448,0.9709639536568566
STAR_PLUS_ELITE,3,cond,42119,44,0.05417103003192792,0.9519094690217685,1.2007323929865379
STAR_PLUS_ELITE,3,cond_xcal,42119,44,0.04062214331804157,0.9501253173445687,0.9888254840874046
STAR_PLUS_ELITE,3,cond_d5,42119,44,0.051641001935851034,0.9512102306487333,1.1917732894071378
STAR_PLUS_ELITE,3,cond_d5_xcal,42119,44,0.03771029632818932,0.9487524982444768,0.9888523813526902
STAR_PLUS_ELITE,3,blend,42119,44,0.05672994438509314,0.9558091611300168,1.1738501789513975
STAR_PLUS_ELITE,3,blend_xcal,42119,44,0.04507532062464216,0.9553467833414357,0.9795677098185527
STAR_PLUS_ELITE,6,deployed_4x,35279,153,0.13224661761549966,0.9491023724489133,0.774079373971208
STAR_PLUS_ELITE,6,joint_small,35279,153,0.07582123023109791,0.9308097757503427,0.8029295470355553
STAR_PLUS_ELITE,6,joint_small_xcal,35279,153,0.06616798490694996,0.9277022885678783,0.9925033380295175
STAR_PLUS_ELITE,6,mcw5,35279,153,0.10558702983922252,0.9315538757020013,0.7102039672930426
STAR_PLUS_ELITE,6,mcw5_xcal,35279,153,0.08385276283931695,0.9214512163308262,1.0036588025906485
STAR_PLUS_ELITE,6,cond,35279,153,0.11267590561353714,0.9356578688337298,0.71477005656906
STAR_PLUS_ELITE,6,cond_xcal,35279,153,0.0880773232301072,0.9308626200579871,0.9866800200204051
STAR_PLUS_ELITE,6,cond_d5,35279,153,0.10707969677498363,0.935215949007476,0.6886762771694586
STAR_PLUS_ELITE,6,cond_d5_xcal,35279,153,0.08649882148483208,0.9303166862599963,0.9846399774189512
STAR_PLUS_ELITE,6,blend,35279,153,0.11610681870533997,0.9366308367375116,0.7124870387742941
STAR_PLUS_ELITE,6,blend_xcal,35279,153,0.09244209733329355,0.9325434039697983,0.9922310944297755
