event,h,arm,n,pos,ap,auc,calib
ESTABLISHED_MLB,3,deployed_4x,42119,291,0.24799555656590586,0.9675543717406615,0.6569979889419167
ESTABLISHED_MLB,3,joint_small,42119,291,0.2477587541566595,0.9646027488779938,0.8178038783115414
ESTABLISHED_MLB,3,joint_small_xcal,42119,291,0.24859094368312198,0.962080884670227,1.0077951592725038
ESTABLISHED_MLB,3,mcw5,42119,291,0.2302699765898791,0.9607452726547961,0.8501793201676733
ESTABLISHED_MLB,3,mcw5_xcal,42119,291,0.23565460554979759,0.9577242278721533,1.004136981807801
ESTABLISHED_MLB,3,cond,42119,291,0.253069134799521,0.9679119973236823,0.7915932455442565
ESTABLISHED_MLB,3,cond_xcal,42119,291,0.25223318731869593,0.9660380984210579,1.0035529690411857
ESTABLISHED_MLB,3,blend,42119,291,0.2468410857382591,0.9656660133612137,0.8208862491563296
ESTABLISHED_MLB,3,blend_xcal,42119,291,0.24837344935577746,0.9632744076790338,1.0027949011752304
ESTABLISHED_MLB,6,deployed_4x,35279,956,0.3226204076550771,0.9355539827947565,0.7555611883227656
ESTABLISHED_MLB,6,joint_small,35279,956,0.3205556469197163,0.9337000714477539,0.8069479744082558
ESTABLISHED_MLB,6,joint_small_xcal,35279,956,0.32280123999871496,0.9336252835327494,1.0050897568141894
ESTABLISHED_MLB,6,mcw5,35279,956,0.3157125936398975,0.9291144202680979,0.7925231026789509
ESTABLISHED_MLB,6,mcw5_xcal,35279,956,0.31893683232911146,0.9294390955136149,1.0018902938911027
ESTABLISHED_MLB,6,cond,35279,956,0.33397268327230656,0.93608906381256,0.8182503453487039
ESTABLISHED_MLB,6,cond_xcal,35279,956,0.3378994002199326,0.9353459389065021,1.0021929987589557
ESTABLISHED_MLB,6,blend,35279,956,0.3305787043074714,0.934189773816233,0.8053866896454915
ESTABLISHED_MLB,6,blend_xcal,35279,956,0.3360825697337319,0.9338864774306896,1.00367316927622
STAR_PLUS_ELITE,3,deployed_4x,42119,44,0.05418363962106615,0.9626357154432021,0.5623308071836537
STAR_PLUS_ELITE,3,joint_small,42119,44,0.0595146012222329,0.9606984281315831,0.6666382664261619
STAR_PLUS_ELITE,3,joint_small_xcal,42119,44,0.045857622934481534,0.9594714524928429,0.9526708423346565
STAR_PLUS_ELITE,3,mcw5,42119,44,0.031689570874838355,0.9619980554205153,0.8517376144736772
STAR_PLUS_ELITE,3,mcw5_xcal,42119,44,0.026077038165518564,0.9600613082698645,0.9801452025945114
STAR_PLUS_ELITE,3,cond,42119,44,0.05392655171584233,0.955684924107384,0.7961815328453667
STAR_PLUS_ELITE,3,cond_xcal,42119,44,0.03841615670773513,0.951198347107438,0.9492302093841254
STAR_PLUS_ELITE,3,blend,42119,44,0.042425964516623296,0.9610967968454598,0.8239596015191637
STAR_PLUS_ELITE,3,blend_xcal,42119,44,0.0321691804538301,0.9584354237562794,0.9652650356808526
STAR_PLUS_ELITE,6,deployed_4x,35279,153,0.13224661761549966,0.9491023724489133,0.774079373971208
STAR_PLUS_ELITE,6,joint_small,35279,153,0.12825275354469814,0.9476468280948621,0.7768073137986528
STAR_PLUS_ELITE,6,joint_small_xcal,35279,153,0.112090533327712,0.9442190188151784,0.9995705427054812
STAR_PLUS_ELITE,6,mcw5,35279,153,0.12765157145179368,0.9453064206950217,0.792863975247076
STAR_PLUS_ELITE,6,mcw5_xcal,35279,153,0.1083580624068841,0.9407890697131782,0.9891117332756801
STAR_PLUS_ELITE,6,cond,35279,153,0.13933517439372825,0.94668316376637,0.7751001372470769
STAR_PLUS_ELITE,6,cond_xcal,35279,153,0.11260006706598974,0.9431440837262234,0.9800437311664006
STAR_PLUS_ELITE,6,blend,35279,153,0.13635870600834327,0.9485583924017329,0.7839820294038338
STAR_PLUS_ELITE,6,blend_xcal,35279,153,0.11959720392270735,0.9449620023378025,0.9768105379715035
