event,h,arm,n,pos,ap,auc,calib,ece
TOP_100_PROSPECT,3,joint,41821,319,0.4576875662322339,0.9762791958207553,0.98965941568792,0.0009599978761338651
TOP_100_PROSPECT,3,dedicated,41821,319,0.43624016561213297,0.9745525728336695,1.0136933172310516,0.0006162465011167243
TOP_100_PROSPECT,6,joint,35035,368,0.43124484073506886,0.9692388513822819,0.9973603660601531,0.0014132027518717696
TOP_100_PROSPECT,6,dedicated,35035,368,0.4151221427474569,0.9658755240856798,1.0174985423267473,0.0012435904195218493
MLB_DEBUT,3,joint,42119,2217,0.5221769364632545,0.9424199742684868,0.8846166595116041,0.007155132671763467
MLB_DEBUT,3,dedicated,42119,2217,0.5105496413956285,0.9387243955177781,0.8999461932280041,0.007473781439199184
MLB_DEBUT,6,joint,35279,3063,0.5630618574613828,0.9239464793269008,0.9188058503792924,0.009894645836973718
MLB_DEBUT,6,dedicated,35279,3063,0.5499434825879779,0.9188615769851253,0.9585049604585874,0.008556018951483627
ESTABLISHED_MLB,3,joint,42119,291,0.24799555656590586,0.9675543717406615,0.6569979889419167,0.0024157800925229053
ESTABLISHED_MLB,3,dedicated,42119,291,0.19950453440065616,0.9343432949269912,0.5345898492270656,0.0033841077463506166
ESTABLISHED_MLB,6,joint,35279,956,0.3226204076550771,0.9355539827947565,0.7555611883227656,0.006849812961017014
ESTABLISHED_MLB,6,dedicated,35279,956,0.28086439651800654,0.9200509874381904,0.8416180879998677,0.00822196827484185
STAR_PLUS_ELITE,3,joint,42119,44,0.05418363962106615,0.9626357154432021,0.5623308071836537,0.0004652375381528337
STAR_PLUS_ELITE,3,dedicated,42119,44,0.04845515147546723,0.9505771619942742,0.4288048457141589,0.0005967042614634016
STAR_PLUS_ELITE,6,joint,35279,153,0.13224661761549966,0.9491023724489133,0.774079373971208,0.0010493616334115166
STAR_PLUS_ELITE,6,dedicated,35279,153,0.08716104842059602,0.9402484389531022,0.827039155310848,0.0007697370674677366
