event,h,arm,pos,ap,auc,calib
TOP_100_PROSPECT,3,deployed_feats,319,0.4222406329073721,0.9737720563609659,1.0140971298687773
TOP_100_PROSPECT,3,plus_rank,319,0.41243295391050255,0.9731048809028781,1.0070163403373662
TOP_100_PROSPECT,6,deployed_feats,368,0.4054968864518471,0.9641237605706358,1.0290998861185787
TOP_100_PROSPECT,6,plus_rank,368,0.39547885300945235,0.9629373253894543,1.012211855033392
MLB_DEBUT,3,deployed_feats,2217,0.5131685012147001,0.9387591389612715,0.8958966849441596
MLB_DEBUT,3,plus_rank,2217,0.5144996284414645,0.9384720745800147,0.9014662958256295
MLB_DEBUT,6,deployed_feats,3063,0.5537764936527484,0.9182340638009792,0.9321526959791189
MLB_DEBUT,6,plus_rank,3063,0.5524373003035998,0.917744200893074,0.9414426714907032
ESTABLISHED_MLB,3,deployed_feats,291,0.2075132420277857,0.9580820177674108,0.7121725601840041
ESTABLISHED_MLB,3,plus_rank,291,0.21329284260233788,0.9574105147343712,0.7028018230956953
ESTABLISHED_MLB,6,deployed_feats,956,0.27808288482702215,0.9263178124333722,0.7795374239792088
ESTABLISHED_MLB,6,plus_rank,956,0.27636167821457264,0.9251341123466862,0.7837639472476604
STAR_PLUS_ELITE,3,deployed_feats,44,0.06525021682141022,0.9542151461135419,0.656429225481575
STAR_PLUS_ELITE,3,plus_rank,44,0.0607294102719869,0.9531893804353697,0.6924335092573235
STAR_PLUS_ELITE,6,deployed_feats,153,0.08013034667397376,0.930390835755054,0.9662462722972901
STAR_PLUS_ELITE,6,plus_rank,153,0.07767769050926712,0.9307116230310378,0.9563045331478291
