model,h,n,ap,auc,calib,ece,brier,top_n,top_pred,top_actual
A (deployed v2.4),1,45887,0.3997506332581332,0.9676852132109237,0.941170144648969,0.0017905852530637385,0.011771347489423418,87,0.7819729486963025,0.6781609195402298
A (deployed v2.4),3,42591,0.5245783287112998,0.9455270641320548,0.9455868918987137,0.005234118153286642,0.030932888281700172,411,0.8181875171470492,0.7615571776155717
A (deployed v2.4),6,35658,0.5688744696481977,0.9303108917899362,0.9714341015759546,0.00640648203154469,0.04758484959316359,646,0.8160905198618825,0.7894736842105263
C1,1,45887,0.39165241321828353,0.9598957117558156,0.8648030768398232,0.0029683210114423778,0.011890192348037062,80,0.8001900434320776,0.675
C1,3,42591,0.5145013618409316,0.9344414089970197,0.8843350369784281,0.007144728975999859,0.031337477078349926,353,0.8266168979757664,0.7790368271954674
C1,6,35658,0.5570843663531398,0.9187123595368745,0.9336340846520212,0.006359878667152605,0.04835361593143061,540,0.8089808805778598,0.7981481481481482
B1,1,45887,0.38375932562457016,0.9531154440637621,0.827247918108901,0.0030850627600784103,0.0119905535329261,41,0.7797299075182871,0.6585365853658537
B1,3,42591,0.5187911194349634,0.9342309685506769,0.9340231798014282,0.004966352544531694,0.03121746796275338,377,0.8246230327277427,0.7931034482758621
B1,6,35658,0.5562887331683452,0.9164996180212195,0.9399963714314602,0.0073210089494852425,0.04852353522457567,649,0.8116919609044146,0.7889060092449923
blend C1 50 / B1 50,1,45887,0.3935921003977612,0.9574136193971566,0.8316663032517821,0.0030350208230418775,0.011875618493970806,60,0.7801660357383079,0.7166666666666667
blend C1 50 / B1 50,3,42591,0.5213938118234818,0.9351147364151703,0.9026589531163346,0.0056660480978287416,0.031109753139376212,357,0.8254465212677491,0.7955182072829131
blend C1 50 / B1 50,6,35658,0.5606563063769451,0.9186141620590657,0.9316686654435732,0.0074277819131967375,0.04819330430691539,578,0.8102585937003328,0.7802768166089965
blend C1 30 / B1 70,1,45887,0.3911251076605049,0.9558959694158072,0.8262922797478217,0.0030449706758470642,0.011905952914054312,50,0.7803678188071511,0.66
blend C1 30 / B1 70,3,42591,0.5211513189457719,0.9349354115829925,0.9135657936360889,0.0053173530167891,0.031110732638641662,359,0.8263518861796276,0.7938718662952646
blend C1 30 / B1 70,6,35658,0.5597000631782734,0.9180074335768048,0.9337246974170333,0.007638472057379322,0.048267068203328475,612,0.80906552677666,0.7826797385620915
blend A 50 / B1 50,1,45887,0.39965549071902623,0.9640718400047472,0.8497032181984703,0.0026798622174312747,0.011808172785648604,59,0.7722232233692933,0.7457627118644068
blend A 50 / B1 50,3,42591,0.5284419361982845,0.9423621900905935,0.9245473066676302,0.00552241582501629,0.03083557988703227,371,0.8251326848525622,0.7816711590296496
blend A 50 / B1 50,6,35658,0.5690735287451781,0.9261589499412022,0.9422902566673865,0.0065443431879734166,0.047668449017196766,624,0.812716598102792,0.7948717948717948
