event,h,vs,d_ap,lo,hi
MLB_DEBUT,3,control,0.011451380907219616,0.004776317781558384,0.018569164113137023
MLB_DEBUT,3,mix_v3,-0.00029980414173590245,-0.0029835552535872833,0.0021486724534303973
MLB_DEBUT,6,control,0.002898894995749596,-0.0023382997215956685,0.007947769454495192
MLB_DEBUT,6,mix_v3,-0.002714447483765115,-0.005370146539686291,-0.0006491950806589764
TOP_100_PROSPECT,3,control,0.0003116658232051369,-0.009870944817811518,0.009953152337766285
TOP_100_PROSPECT,3,mix_v3,-0.009455232449055788,-0.018574836098910853,0.00028557948964241987
TOP_100_PROSPECT,6,control,-0.0017603185704396266,-0.01313433524351506,0.009054217260528276
TOP_100_PROSPECT,6,mix_v3,-0.00877459019753957,-0.018912284856566958,-0.00017713390542124378
ESTABLISHED_MLB,3,control,0.020534375551722595,-0.002611262593426285,0.04216454730524229
ESTABLISHED_MLB,3,mix_cond,-0.0020510447228230823,-0.020637825849566895,0.013448148858873937
ESTABLISHED_MLB,6,control,0.018227140909098646,0.00196169667431263,0.033682483263419
ESTABLISHED_MLB,6,mix_v3,0.0036195076821065575,-0.007897357531963285,0.01424192046879161
STAR_PLUS_ELITE,3,control,0.010149062887596951,-0.033523991262773035,0.07291983011878998
STAR_PLUS_ELITE,3,mix_cond,-0.026213250444810036,-0.10424020165676605,0.03014775854537466
STAR_PLUS_ELITE,6,control,0.012612936306932346,-0.01380734133629418,0.0523424999530202
STAR_PLUS_ELITE,6,mix_cond,-0.027179680632139405,-0.05263816289272178,-0.0022548020509751254
