event,h,vs,d_ap,lo,hi
MLB_DEBUT,3,control,0.01141361111114871,0.0043486577767913315,0.01873819038088301
MLB_DEBUT,3,mix_v3,-0.0003375739378068091,-0.0032045932039732852,0.002791631698680424
MLB_DEBUT,6,control,0.003113520572090203,-0.001918300773093895,0.008231816489913238
MLB_DEBUT,6,mix_v3,-0.002499821907424508,-0.00498273039860333,-0.000235923910428049
TOP_100_PROSPECT,3,control,0.0015478168655573652,-0.011780987888154385,0.014154779200168159
TOP_100_PROSPECT,3,mix_haz,-0.009149268689250463,-0.01984611686249164,0.0011235954729674864
TOP_100_PROSPECT,6,control,-0.001961661696375605,-0.017669369525946697,0.013053760627932924
TOP_100_PROSPECT,6,mix_haz,-0.01389614560142375,-0.023239523277196826,-0.004382388156953201
ESTABLISHED_MLB,3,control,0.019554614798352882,-0.0033926336375531673,0.040668908347758194
ESTABLISHED_MLB,3,mix_cond,-0.0030308054761927984,-0.021854820942033754,0.0140656734241982
ESTABLISHED_MLB,6,control,0.019972648742687185,0.0030879412302649047,0.03604634694031469
ESTABLISHED_MLB,6,mix_v3,0.005365015515695098,-0.006117426708733602,0.01653625411117844
STAR_PLUS_ELITE,3,control,0.002387309030560228,-0.045785835589506975,0.053773482401805926
STAR_PLUS_ELITE,3,mix_cond,-0.03397500430184676,-0.12385960335837282,0.023686856364790735
STAR_PLUS_ELITE,6,control,0.02182774940078535,-0.012480464861865659,0.06637235134393873
STAR_PLUS_ELITE,6,mix_cond,-0.0179648675382864,-0.04799247518634058,0.012953294038538937
