event,h,arm,pos,ap,auc,calib
MLB_DEBUT,3,control,2217,0.5310208825556558,0.9425152742848757,0.889263960379514
MLB_DEBUT,3,stacker,2217,0.5426042675564604,0.9438115093752358,0.9998613983691825
MLB_DEBUT,3,mix_v3,2217,0.5428664039173395,0.9440234460761749,0.9362360071908454
MLB_DEBUT,3,mix_haz,2217,0.5372773829680053,0.9429802949567442,0.9012622475877295
MLB_DEBUT,6,control,3063,0.5671287577366119,0.9233250769516016,0.9171852759560398
MLB_DEBUT,6,stacker,3063,0.5703437001683135,0.9241997232036675,1.000080144026042
MLB_DEBUT,6,mix_v3,3063,0.5728024639660493,0.9247383763092433,0.9361331374935723
MLB_DEBUT,6,mix_haz,3063,0.5719274920878056,0.9242557136164063,0.9239262098397688
TOP_100_PROSPECT,3,control,319,0.4550399249131201,0.976540468429784,0.9702307953935627
TOP_100_PROSPECT,3,stacker,319,0.45619083653068154,0.9755210992068545,0.9876905991333614
TOP_100_PROSPECT,3,mix_v3,319,0.46478921407276924,0.9766408579941305,0.9575138625274912
TOP_100_PROSPECT,3,mix_haz,319,0.4657273436144648,0.9777166114310201,0.90304135192036
TOP_100_PROSPECT,6,control,368,0.43028776672720964,0.9686223909471364,0.9862659532472999
TOP_100_PROSPECT,6,stacker,368,0.4265512367609805,0.9661648003940605,0.9902853698147497
TOP_100_PROSPECT,6,mix_v3,368,0.43695081903248123,0.9677357469539898,0.9545791429789726
TOP_100_PROSPECT,6,mix_haz,368,0.441860459120738,0.9689916268407353,0.9483265815907489
ESTABLISHED_MLB,3,control,291,0.24838576097671292,0.9672864195607803,0.6185125472073258
ESTABLISHED_MLB,3,stacker,291,0.2679725144529839,0.967198471436125,1.002744091268079
ESTABLISHED_MLB,3,mix_v3,291,0.26735511163671294,0.9688367055133656,0.6840801196652685
ESTABLISHED_MLB,3,mix_cond,291,0.2709227543610002,0.9692510598960824,0.7323407496743533
ESTABLISHED_MLB,3,mix_haz,291,0.2607243343716702,0.9667029468085142,0.7097167592148281
ESTABLISHED_MLB,6,control,956,0.32507182789451816,0.9358281441979267,0.736610845486163
ESTABLISHED_MLB,6,stacker,956,0.344415411255375,0.937459840352487,0.999002356210972
ESTABLISHED_MLB,6,mix_v3,956,0.3396009586299923,0.9388578776055237,0.7722860976856711
ESTABLISHED_MLB,6,mix_cond,956,0.33805126386860707,0.9383298822398145,0.7860159547243425
ESTABLISHED_MLB,6,mix_haz,956,0.3390581120679654,0.9375285330828943,0.7663414114356528
STAR_PLUS_ELITE,3,control,44,0.05987537158504156,0.9653005995786744,0.4707565494107395
STAR_PLUS_ELITE,3,stacker,44,0.06130141385999444,0.9575401069518718,0.9719856779526814
STAR_PLUS_ELITE,3,mix_v3,44,0.06874520864026473,0.9636258304974883,0.5225253350003961
STAR_PLUS_ELITE,3,mix_cond,44,0.09147088206948528,0.9653878355750014,0.5697541455726123
STAR_PLUS_ELITE,3,mix_haz,44,0.07121867807477814,0.9631594015016475,0.5021646433438536
STAR_PLUS_ELITE,6,control,153,0.13505504813261549,0.9519301011224205,0.7663588683014106
STAR_PLUS_ELITE,6,stacker,153,0.15493688946572964,0.94261350082746,0.9868202092729508
STAR_PLUS_ELITE,6,mix_v3,153,0.16194165544478684,0.9497176178828114,0.7842268464684936
STAR_PLUS_ELITE,6,mix_cond,153,0.1730755203864004,0.9503483072516903,0.8299359777341886
STAR_PLUS_ELITE,6,mix_haz,153,0.16724204624447006,0.9516361081432706,0.7372893149892753
