event,h,arm,d_ap,lo,hi
TOP_100_PROSPECT,3,deployed_4x,0.036687216562036926,0.0065506320721110435,0.06800129467667272
TOP_100_PROSPECT,3,mcw100,0.007106749756118073,-0.008500294151488516,0.025274201912051795
TOP_100_PROSPECT,3,mcw100_xcal,0.006571133402214099,-0.01212670981882859,0.025587061894882353
TOP_100_PROSPECT,3,mcw20,-0.03709381384010273,-0.06188456674319338,-0.008531030288987081
TOP_100_PROSPECT,3,mcw20_xcal,-0.03531355423858904,-0.06258005080792392,-0.009315636219100509
TOP_100_PROSPECT,3,mcw5,-0.0515685444159617,-0.08231222112952798,-0.0265831744035603
TOP_100_PROSPECT,3,mcw5_xcal,-0.06020911352842561,-0.088288355107919,-0.03594920294219687
TOP_100_PROSPECT,6,deployed_4x,0.020443090024090484,-0.009026758589052865,0.05010458036596748
TOP_100_PROSPECT,6,mcw100,-0.000982029993986715,-0.016142573842375572,0.013633481141362303
TOP_100_PROSPECT,6,mcw100_xcal,-0.004172103354588185,-0.021735386277125027,0.012262770965258407
TOP_100_PROSPECT,6,mcw20,-0.030294432683678894,-0.05607259008439763,-0.0054610986374221725
TOP_100_PROSPECT,6,mcw20_xcal,-0.032399573267098684,-0.05781515547848441,-0.007109545279192635
TOP_100_PROSPECT,6,mcw5,-0.03919325092122294,-0.06537940485538266,-0.015657793820102472
TOP_100_PROSPECT,6,mcw5_xcal,-0.053115054712675816,-0.07843836625454749,-0.028747998715878974
