event,h,arm,n,pos,ap,auc,calib,ece
ESTABLISHED_MLB,3,control,42119,291,0.19035591379681466,0.9566274847707202,0.6904386995687889,0.0023662792371392538
ESTABLISHED_MLB,3,haz,42119,291,0.1849587791254846,0.9518689613199136,0.7884750465451416,0.0015317801399021048
ESTABLISHED_MLB,3,mix_haz,42119,291,0.2020079492766394,0.957564310987855,0.7394568730569653,0.0018935817180744253
ESTABLISHED_MLB,3,v3,42119,291,0.19692471193579805,0.9541024575523984,0.8084415129517198,0.001478588586918763
ESTABLISHED_MLB,3,mix_v3,42119,291,0.20934041809261467,0.9597513068573741,0.7494401062602543,0.001786061983113827
ESTABLISHED_MLB,3,v3cond,42119,291,0.1826052245752075,0.9559932395373363,0.9128343531618097,0.0007641135051336969
ESTABLISHED_MLB,3,mix_cond,42119,291,0.2031937715488762,0.9605071431458629,0.8016365263652994,0.0014941608469594824
ESTABLISHED_MLB,6,control,35279,956,0.26731567222984065,0.9251201543739592,0.7799814850719803,0.007656360391707261
ESTABLISHED_MLB,6,haz,35279,956,0.2777962452648536,0.9267346621079562,0.8081510359314242,0.007010505468850403
ESTABLISHED_MLB,6,mix_haz,35279,956,0.2831425176149626,0.9304973871772189,0.7940662605017024,0.00685445184228496
ESTABLISHED_MLB,6,v3,35279,956,0.286015832806908,0.9277449237169364,0.8669056399220697,0.005484364017685655
ESTABLISHED_MLB,6,mix_v3,35279,956,0.28568898131311804,0.93108013253857,0.8234435624970251,0.005829900949921432
ESTABLISHED_MLB,6,v3cond,35279,956,0.2846483689136526,0.9281451792514552,0.8564555887879133,0.004987504559317067
ESTABLISHED_MLB,6,mix_cond,35279,956,0.2839264331175401,0.9307657886309447,0.8182185369299468,0.005541356778164074
STAR_PLUS_ELITE,3,control,42119,44,0.06311594078361846,0.9527364554637282,0.6758851362982264,0.0003518067848566557
STAR_PLUS_ELITE,3,haz,42119,44,0.07109281163343424,0.9481742559282667,0.7479196690655965,0.000263338031793579
STAR_PLUS_ELITE,3,mix_haz,42119,44,0.0727319454076456,0.9567031275320046,0.7119024026819114,0.0003143745020931152
STAR_PLUS_ELITE,3,v3,42119,44,0.03265069916430008,0.9387460163128613,1.094311220617949,0.00012439174906449374
STAR_PLUS_ELITE,3,mix_v3,42119,44,0.06390248681659409,0.9559371792794252,0.8850981784580877,0.00013154638654847456
STAR_PLUS_ELITE,3,v3cond,42119,44,0.08367452681758088,0.9556030897207367,1.2094459975834855,0.0002701133502325315
STAR_PLUS_ELITE,3,mix_cond,42119,44,0.08536533837000454,0.9632798573975045,0.9426655669408559,7.150204229789738e-05
STAR_PLUS_ELITE,6,control,35279,153,0.08355869212797133,0.9317184559488736,0.9523232823566556,0.0007066678644070461
STAR_PLUS_ELITE,6,haz,35279,153,0.11383427729507303,0.9277238728625501,0.9340068230288463,0.00062217404312788
STAR_PLUS_ELITE,6,mix_haz,35279,153,0.10638829613397485,0.9356921059907954,0.9431650526927511,0.0005527421999588
STAR_PLUS_ELITE,6,v3,35279,153,0.07551702712266292,0.9155800090728466,1.1108668986109027,0.00048081395412194624
STAR_PLUS_ELITE,6,mix_v3,35279,153,0.08718655625896492,0.9299927357684139,1.0315950904837792,0.00022795271191952029
STAR_PLUS_ELITE,6,v3cond,35279,153,0.09472066132391684,0.9317276664884101,1.0507793944778323,0.0004437335579288846
STAR_PLUS_ELITE,6,mix_cond,35279,153,0.09553680359822522,0.9359560484217601,1.0015513384172439,0.0003214705888323899
