scorer,event,h,n,pos,base,auc,ap,brier,calib
G_raw(fullraw bag),TOP_100_PROSPECT,1,23519,123,0.005229814192780305,0.9915107787169511,0.6110159287516976,0.00307188870336632,0.9415538150449987
G_raw(fullraw bag),TOP_100_PROSPECT,2,22852,218,0.0095396464204446,0.9816078028264696,0.5825337004644682,0.005794542310355373,0.8987990388126275
G_raw(fullraw bag),TOP_100_PROSPECT,3,22076,276,0.012502264903062148,0.9755871061029118,0.5570138656975945,0.007857311066479447,0.8828425545122786
G_raw(fullraw bag),TOP_100_PROSPECT,4,21158,297,0.014037243595803005,0.9728069406656243,0.5525299350946963,0.00886385884731589,0.8881342740551007
G_raw(fullraw bag),TOP_100_PROSPECT,5,20088,303,0.01508363201911589,0.9703362299838778,0.5446034597205783,0.009616917023105504,0.8872524385506579
G_raw(fullraw bag),TOP_100_PROSPECT,6,18863,302,0.01601017865662938,0.9683610796832067,0.5419982710732307,0.010240027102289766,0.8799736850298377
G_raw(fullraw bag),TOP_100_PROSPECT,7,17518,296,0.016896906039502228,0.9665548975697333,0.5361456791679124,0.010887856540065006,0.866677180350673
G_raw(fullraw bag),TOP_100_PROSPECT,8,16155,285,0.017641597028783658,0.9646797996882566,0.5349209890274211,0.011403026124428063,0.8495753340598592
G_raw(fullraw bag),TOP_100_PROSPECT,9,14780,272,0.018403247631935047,0.9628101990382587,0.5311346924370295,0.011977130706721371,0.8356726457283565
G_raw(fullraw bag),TOP_100_PROSPECT,10,13404,256,0.019098776484631454,0.9605095297288561,0.5276284759531041,0.012494882423804147,0.83342197766353
G_raw(fullraw bag),MLB_DEBUT,1,23864,650,0.027237680187730474,0.9581545287657979,0.4450575249351309,0.01922100950263518,0.982180270762832
G_raw(fullraw bag),MLB_DEBUT,2,23192,1281,0.05523456364263539,0.9461405342477129,0.5576698317333478,0.034299860495610957,0.916568368989701
G_raw(fullraw bag),MLB_DEBUT,3,22409,1852,0.08264536570128074,0.9343881170734146,0.6125848118334133,0.04768300591066267,0.8988999853810279
G_raw(fullraw bag),MLB_DEBUT,4,21482,2252,0.10483195233218509,0.9280070110442072,0.6394930597619708,0.05802531851830564,0.8895073658351385
G_raw(fullraw bag),MLB_DEBUT,5,20398,2456,0.12040396117266398,0.9245990269224359,0.6555686499460546,0.06485411276010172,0.8829806635039178
G_raw(fullraw bag),MLB_DEBUT,6,19155,2508,0.13093187157400157,0.9240850255933579,0.6695419391926932,0.06883395216140026,0.8856497128991436
G_raw(fullraw bag),MLB_DEBUT,7,17790,2463,0.13844856661045532,0.9224675255767483,0.6761823847595597,0.07198983450321746,0.8768234197960049
G_raw(fullraw bag),MLB_DEBUT,8,16407,2362,0.1439629426464314,0.9198185552727731,0.6748252529494703,0.074882024722194,0.8693582789499851
G_raw(fullraw bag),MLB_DEBUT,9,15013,2238,0.14907080530207154,0.9169146340823596,0.6715464755068102,0.07772559795402346,0.8596115771754799
G_raw(fullraw bag),MLB_DEBUT,10,13617,2100,0.1542189909671734,0.9133085252856027,0.6707846156589085,0.08057618915610315,0.8595955061367809
G_raw(fullraw bag),ESTABLISHED_MLB,1,23864,6,0.00025142474019443513,0.9866012797943386,0.07915001081053635,0.00024554251029011075,1.6481659216824482
G_raw(fullraw bag),ESTABLISHED_MLB,2,23192,74,0.003190755432907899,0.9646402826392445,0.18232899415772996,0.0028519309141586653,0.9681439536197521
G_raw(fullraw bag),ESTABLISHED_MLB,3,22409,238,0.010620732741309296,0.9532101325488024,0.2676061378494122,0.008890203112094137,0.981867226709706
G_raw(fullraw bag),ESTABLISHED_MLB,4,21482,446,0.020761567824224933,0.9398550275120933,0.33729939374877754,0.016328816648023207,0.9341700895414181
G_raw(fullraw bag),ESTABLISHED_MLB,5,20398,640,0.03137562506128052,0.9292478046867092,0.3556645058461227,0.02409517693526067,0.911313797309367
G_raw(fullraw bag),ESTABLISHED_MLB,6,19155,793,0.04139911250326286,0.9204635498527374,0.3811341272290372,0.030969604245468484,0.8997913969423054
G_raw(fullraw bag),ESTABLISHED_MLB,7,17790,895,0.05030916245081506,0.9169931601859002,0.4079273822512537,0.036664832499758014,0.8871981544510077
G_raw(fullraw bag),ESTABLISHED_MLB,8,16407,948,0.05778021576156519,0.9127902089179408,0.42016405767999593,0.04149517791324493,0.8803149659017151
G_raw(fullraw bag),ESTABLISHED_MLB,9,15013,962,0.0640777992406581,0.908063601395037,0.4241554219709748,0.04574278772786095,0.8644868597553558
G_raw(fullraw bag),ESTABLISHED_MLB,10,13617,950,0.06976573400895938,0.903169321028948,0.42916835252476776,0.04955363979590387,0.8434274688489563
G_raw(fullraw bag),STAR_PLUS_ELITE,1,23864,7,0.0002933288635601743,0.9925149252390733,0.1765141610819035,0.0002850352482755647,0.9610937386675817
G_raw(fullraw bag),STAR_PLUS_ELITE,2,23192,19,0.0008192480165574336,0.9515815820135503,0.11852672520042125,0.0007915414049760794,0.5977874037325819
G_raw(fullraw bag),STAR_PLUS_ELITE,3,22409,36,0.0016064973894417422,0.925790387222694,0.06327995745674991,0.00155802517449877,0.8376307065835691
G_raw(fullraw bag),STAR_PLUS_ELITE,4,21482,58,0.002699934829159296,0.9221357452808323,0.1165458710840043,0.0025498725983991136,1.0090591147845929
G_raw(fullraw bag),STAR_PLUS_ELITE,5,20398,86,0.0042160996176095695,0.9243221443161105,0.11224121937529537,0.004005398453205265,1.1527221450164582
G_raw(fullraw bag),STAR_PLUS_ELITE,6,19155,112,0.00584703732706865,0.9229907783887594,0.10884722687680982,0.005538584478421997,1.194301948080457
G_raw(fullraw bag),STAR_PLUS_ELITE,7,17790,132,0.007419898819561552,0.92267840655965,0.11273312941395858,0.007000493115780025,1.204187043800106
G_raw(fullraw bag),STAR_PLUS_ELITE,8,16407,147,0.008959590418723715,0.9220032047259249,0.11816725457127498,0.008419001015733708,1.1964807861165794
G_raw(fullraw bag),STAR_PLUS_ELITE,9,15013,162,0.010790648104975688,0.9222673619683921,0.13151868786799545,0.00998629474261998,1.1151205896050367
G_raw(fullraw bag),STAR_PLUS_ELITE,10,13617,170,0.012484394506866416,0.9211341694408113,0.15116415721079654,0.011363765421413189,1.0408220511179773
"G_cal(OOF,honest)",TOP_100_PROSPECT,1,23519,123,0.005229814192780305,0.99160981586735,0.6115083015298978,0.003081703074313497,0.8543991265456509
"G_cal(OOF,honest)",TOP_100_PROSPECT,2,22852,218,0.0095396464204446,0.981592197497797,0.5821973070140263,0.005809232659707259,0.8351256629214401
"G_cal(OOF,honest)",TOP_100_PROSPECT,3,22076,276,0.012502264903062148,0.9753971380135621,0.5565736835448342,0.007875358156398752,0.8330297370826277
"G_cal(OOF,honest)",TOP_100_PROSPECT,4,21158,297,0.014037243595803005,0.972660710616705,0.5523060933994859,0.008880074216858243,0.8485282253964543
"G_cal(OOF,honest)",TOP_100_PROSPECT,5,20088,303,0.01508363201911589,0.970221047881892,0.5444665415444747,0.009633472955929909,0.8580246273115327
"G_cal(OOF,honest)",TOP_100_PROSPECT,6,18863,302,0.01601017865662938,0.9682476181097516,0.5418534220843625,0.010257327409309425,0.861991866192392
"G_cal(OOF,honest)",TOP_100_PROSPECT,7,17518,296,0.016896906039502228,0.9664183657295664,0.5363176696149394,0.010907317214154217,0.8601835127565381
"G_cal(OOF,honest)",TOP_100_PROSPECT,8,16155,285,0.017641597028783658,0.9645259178191224,0.5349603805196809,0.011428010269429691,0.8549322679726324
"G_cal(OOF,honest)",TOP_100_PROSPECT,9,14780,272,0.018403247631935047,0.9626502974018392,0.5307487311068154,0.012005448815902275,0.8527567002448014
"G_cal(OOF,honest)",TOP_100_PROSPECT,10,13404,256,0.019098776484631454,0.9603419662210982,0.5273186007010193,0.012523941198002486,0.8628692379103239
"G_cal(OOF,honest)",MLB_DEBUT,1,23864,650,0.027237680187730474,0.9580710910524817,0.4448091336750999,0.019301296704928857,0.9008825425113887
"G_cal(OOF,honest)",MLB_DEBUT,2,23192,1281,0.05523456364263539,0.9460772593236189,0.5575668690247938,0.03446860783380798,0.8633771263445216
"G_cal(OOF,honest)",MLB_DEBUT,3,22409,1852,0.08264536570128074,0.9343360309547566,0.6126414165490739,0.04786258607575206,0.8583164379907912
"G_cal(OOF,honest)",MLB_DEBUT,4,21482,2252,0.10483195233218509,0.9279712769327825,0.6395988051769672,0.05821801728786777,0.8567404421273548
"G_cal(OOF,honest)",MLB_DEBUT,5,20398,2456,0.12040396117266398,0.9245926727526299,0.6556202848395869,0.06506111966348713,0.8548796694101866
"G_cal(OOF,honest)",MLB_DEBUT,6,19155,2508,0.13093187157400157,0.9240983068154395,0.6696294916982088,0.06903493719165435,0.8605534344855862
"G_cal(OOF,honest)",MLB_DEBUT,7,17790,2463,0.13844856661045532,0.9224756049611235,0.6762018037667824,0.07220008877648165,0.8542139684894402
"G_cal(OOF,honest)",MLB_DEBUT,8,16407,2362,0.1439629426464314,0.9198491964711226,0.6749291003618175,0.075094877483279,0.84865296993403
"G_cal(OOF,honest)",MLB_DEBUT,9,15013,2238,0.14907080530207154,0.9169499605637546,0.67162719027676,0.07793615765098764,0.8410585559731946
"G_cal(OOF,honest)",MLB_DEBUT,10,13617,2100,0.1542189909671734,0.9133558673100219,0.6709275277953513,0.0807635245709479,0.8432260162871881
"G_cal(OOF,honest)",ESTABLISHED_MLB,1,23864,6,0.00025142474019443513,0.986377734931679,0.0807756192335175,0.0002460696079967096,0.9700698326048312
"G_cal(OOF,honest)",ESTABLISHED_MLB,2,23192,74,0.003190755432907899,0.9657105847087679,0.18218387873994518,0.0028541011014034294,0.7721397931024545
"G_cal(OOF,honest)",ESTABLISHED_MLB,3,22409,238,0.010620732741309296,0.9538269955945935,0.2677133454867164,0.008912918402030233,0.8523418259272196
"G_cal(OOF,honest)",ESTABLISHED_MLB,4,21482,446,0.020761567824224933,0.9402932043893151,0.33748747014330466,0.016366316471877303,0.8410318251882567
"G_cal(OOF,honest)",ESTABLISHED_MLB,5,20398,640,0.03137562506128052,0.9295374025711103,0.35626455139276836,0.024138992229360817,0.8374889686569919
"G_cal(OOF,honest)",ESTABLISHED_MLB,6,19155,793,0.04139911250326286,0.9206112038775184,0.3818220011108248,0.03102775014701246,0.8379015506293334
"G_cal(OOF,honest)",ESTABLISHED_MLB,7,17790,895,0.05030916245081506,0.9171272780780403,0.4081772296357851,0.03674387728663034,0.8359043918498603
"G_cal(OOF,honest)",ESTABLISHED_MLB,8,16407,948,0.05778021576156519,0.9129237116390354,0.4205894216487516,0.04158925166122619,0.8381419273411042
"G_cal(OOF,honest)",ESTABLISHED_MLB,9,15013,962,0.0640777992406581,0.9081752750708698,0.4240979727617124,0.04585119461369751,0.832629574935445
"G_cal(OOF,honest)",ESTABLISHED_MLB,10,13617,950,0.06976573400895938,0.9032559530981872,0.429188331613519,0.04967127238910532,0.8234426041830091
"G_cal(OOF,honest)",STAR_PLUS_ELITE,1,23864,7,0.0002933288635601743,0.9930658267414776,0.17799135934838503,0.00028629642591293915,0.6093253186654115
"G_cal(OOF,honest)",STAR_PLUS_ELITE,2,23192,19,0.0008192480165574336,0.9534962422238222,0.11825353579295925,0.0007947195762336744,0.45623933416220963
"G_cal(OOF,honest)",STAR_PLUS_ELITE,3,22409,36,0.0016064973894417422,0.9271288060509443,0.06273655481457036,0.0015596743759972987,0.7190130527565577
